role,path,size_bytes,sha256,pre_reorg04_path,pre_reorg04_size_bytes,pre_reorg04_sha256,refreeze_reason
figure,40_evidence/artifacts/visualization/figures/fig_v05_target_grasp_points.png,399005,C55DEBF424C8AE1F4E02F8BA661DEA29323B5BCDE2DBF17F45686B35944F2F23,figures/visualization/fig_v05_target_grasp_points.png,399005,C55DEBF424C8AE1F4E02F8BA661DEA29323B5BCDE2DBF17F45686B35944F2F23,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v06_workspace_keepout.png,417703,52FE862A7E3DA41357B50FF9D519113BDAEEA170136D13853CCFE595262FC8EA,figures/visualization/fig_v06_workspace_keepout.png,417703,52FE862A7E3DA41357B50FF9D519113BDAEEA170136D13853CCFE595262FC8EA,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v07_gate_reason_breakdown.png,206896,C574C882866EFE870D345D158F88616172F36F8E293E5C1D61381B4123BE16DF,figures/visualization/fig_v07_gate_reason_breakdown.png,206896,C574C882866EFE870D345D158F88616172F36F8E293E5C1D61381B4123BE16DF,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v08_candidate_status_matrix.png,200094,6BAF613A9996E4CFB80788E4BD7ED287364E6AC342819424F5E73D91D4CCD74E,figures/visualization/fig_v08_candidate_status_matrix.png,200094,6BAF613A9996E4CFB80788E4BD7ED287364E6AC342819424F5E73D91D4CCD74E,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v09_ancf_solver_attempt_timeline.png,304053,D8F2406F5B0A506130718B9016CE850D359BA5FDBAC604ABE74ABAB51BC5CD8A,figures/visualization/fig_v09_ancf_solver_attempt_timeline.png,304053,D8F2406F5B0A506130718B9016CE850D359BA5FDBAC604ABE74ABAB51BC5CD8A,root_namespace_path_refreeze_reorg04
figure,40_evidence/artifacts/visualization/figures/fig_v10_binding_constraint_map.png,264735,0575EB439B0E6600376F899B583FBF92048E57EFC97AC45E5181CE1EE3395145,figures/visualization/fig_v10_binding_constraint_map.png,264735,0575EB439B0E6600376F899B583FBF92048E57EFC97AC45E5181CE1EE3395145,root_namespace_path_refreeze_reorg04
builder_or_test,70_tools/project_visualization/src/build_visual_dashboard.py,45914,0A81107C2354E53F35BC984D1D4494EE1C193186CE11262ABFA3A8A237858FAE,src/visualization/build_visual_dashboard.py,45226,9ED9CFEDF4C42FFC81C589C401C50BA8AAD655FC26AA871404A1478A806985A3,root_namespace_path_refreeze_reorg04
table,40_evidence/artifacts/visualization/tables/asset_audit.csv,16810,7E510AD291888FB3C7A16638A754107841D0BA3975DD95CD5255861554C2D0D9,tables/visualization/asset_audit.csv,16171,72CB31FDCAD3987A4B963013204776AC28A497CFCE6C63E5AD0BE26EC3C62544,root_namespace_path_refreeze_reorg04
table,40_evidence/artifacts/visualization/tables/frame_registry_v1.csv,2941,637DBDE5FF4EE10C2D86D30BB795DF3EE5BDCF8DA83BF3EF8C670AE207AAEF06,tables/visualization/frame_registry_v1.csv,2796,7FCCB79256F805DA80A6394D031E5F542CBAD4F07EC68DA158FFA0A9B5BE67F6,root_namespace_path_refreeze_reorg04
table,40_evidence/artifacts/visualization/tables/gate_artifact_protection_manifest.csv,15659,F4DC5A2BEAD7D13DDE2E12C52CFFA61C7F6B492CB12FFED3F92A626BAE527952,tables/visualization/gate_artifact_protection_manifest.csv,7121,0D5B3B1C730AB36D687ACDE0C48437D217D9AA9E91142131BAADEA4AEDBC5778,root_namespace_path_refreeze_reorg04
table,40_evidence/artifacts/visualization/tables/replay_keyframe_check.csv,6146,AA0E5E5BA5A0493BFF5C8B7B2B4EF0C50049CA934C5EAFAAC2938FAD0DA2DF2F,tables/visualization/replay_keyframe_check.csv,6146,AA0E5E5BA5A0493BFF5C8B7B2B4EF0C50049CA934C5EAFAAC2938FAD0DA2DF2F,root_namespace_path_refreeze_reorg04
builder_or_test,70_tools/project_visualization/tests/run_all.py,3213,D184F8058C7B31E344FE0F167859EC001C212DAA4E70320C655CBE4DB6F24B91,tests/visualization/run_all.py,3153,90A4E991220BB6C070BCD008219CB3933ECF0BDBA1B0DE79A199B8489141B830,root_namespace_path_refreeze_reorg04
report,70_tools/project_visualization/tests/viz_gate0_test_report.md,2666,C4CA13BC57FAE6FDF35F5154DC71330402EC16309A9B05C8A3C68642A46E2548,tests/visualization/viz_gate0_test_report.md,2650,5E283654E7A031250B2304B36924B6AE435B73E401396DA1BD3084D668700A42,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v01_target_tumble.mp4,1259546,AF78FE47C6A24993842D25B5A9FB63C306C9F594168766306FC32F7FAE55CC59,videos/visualization/anim_v01_target_tumble.mp4,1259546,AF78FE47C6A24993842D25B5A9FB63C306C9F594168766306FC32F7FAE55CC59,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v02_b601_approach.mp4,346585,64C420374D9099B8F95954C2739F4482F3A4FE00B031DE0D84051162DCE017DD,videos/visualization/anim_v02_b601_approach.mp4,346585,64C420374D9099B8F95954C2739F4482F3A4FE00B031DE0D84051162DCE017DD,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v03_base_reaction.mp4,675724,A2311C0D20E60824105FC78D0BFD71BC0E9346F95A8551B3F064EDA5D9C43EEE,videos/visualization/anim_v03_base_reaction.mp4,675724,A2311C0D20E60824105FC78D0BFD71BC0E9346F95A8551B3F064EDA5D9C43EEE,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v04_capture_impulse.mp4,623553,E8EE0B8BFFBD183C2630639FED80AE06DE151A27C5DAB7AB09D0DA8C7D3A3F2B,videos/visualization/anim_v04_capture_impulse.mp4,623553,E8EE0B8BFFBD183C2630639FED80AE06DE151A27C5DAB7AB09D0DA8C7D3A3F2B,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v05_flex_diagnostic.mp4,472971,106248432BD0CB1AC708DB67C2C897EC129DF9DAA3AC6B96D2228EF940E21B17,videos/visualization/anim_v05_flex_diagnostic.mp4,472971,106248432BD0CB1AC708DB67C2C897EC129DF9DAA3AC6B96D2228EF940E21B17,root_namespace_path_refreeze_reorg04
video,40_evidence/artifacts/visualization/videos/anim_v06_gate_explanation.mp4,428965,1F635F7BDB4467E1D1D5FA8F7D27EE70F55CC7FF43041AB3C025C4B5BDF0035C,videos/visualization/anim_v06_gate_explanation.mp4,428965,1F635F7BDB4467E1D1D5FA8F7D27EE70F55CC7FF43041AB3C025C4B5BDF0035C,root_namespace_path_refreeze_reorg04
