target,tumble_dps,H_Nms,t_detumble_s,lever_m,torque_Nm,thruster_force_N,total_impulse_Ns,isp_class,propellant_g
target_debris_v0,0.25,0.35503,3600.0,0.1,9.9e-05,0.000493,3.5503,green_mono_220s,1.6456
target_debris_v0,0.25,0.35503,3600.0,0.17,9.9e-05,0.00029,2.0884,cold_gas_60s,3.5493
target_debris_v0,0.25,0.35503,3600.0,0.17,9.9e-05,0.00029,2.0884,green_mono_220s,0.968
target_debris_v0,0.5,0.62219,60.0,0.05,0.01037,0.103699,12.4439,cold_gas_60s,21.1487
target_debris_v0,0.5,0.62219,60.0,0.05,0.01037,0.103699,12.4439,green_mono_220s,5.7678
target_debris_v0,0.5,0.62219,60.0,0.1,0.01037,0.051849,6.2219,cold_gas_60s,10.5743
target_debris_v0,0.5,0.62219,60.0,0.1,0.01037,0.051849,6.2219,green_mono_220s,2.8839
target_debris_v0,0.5,0.62219,60.0,0.17,0.01037,0.0305,3.66,cold_gas_60s,6.2202
target_debris_v0,0.5,0.62219,60.0,0.17,0.01037,0.0305,3.66,green_mono_220s,1.6964
target_debris_v0,0.5,0.62219,300.0,0.05,0.002074,0.02074,12.4439,cold_gas_60s,21.1487
target_debris_v0,0.5,0.62219,300.0,0.05,0.002074,0.02074,12.4439,green_mono_220s,5.7678
target_debris_v0,0.5,0.62219,300.0,0.1,0.002074,0.01037,6.2219,cold_gas_60s,10.5743
target_debris_v0,0.5,0.62219,300.0,0.1,0.002074,0.01037,6.2219,green_mono_220s,2.8839
target_debris_v0,0.5,0.62219,300.0,0.17,0.002074,0.0061,3.66,cold_gas_60s,6.2202
target_debris_v0,0.5,0.62219,300.0,0.17,0.002074,0.0061,3.66,green_mono_220s,1.6964
target_debris_v0,0.5,0.62219,900.0,0.05,0.000691,0.006913,12.4439,cold_gas_60s,21.1487
target_debris_v0,0.5,0.62219,900.0,0.05,0.000691,0.006913,12.4439,green_mono_220s,5.7678
target_debris_v0,0.5,0.62219,900.0,0.1,0.000691,0.003457,6.2219,cold_gas_60s,10.5743
target_debris_v0,0.5,0.62219,900.0,0.1,0.000691,0.003457,6.2219,green_mono_220s,2.8839
target_debris_v0,0.5,0.62219,900.0,0.17,0.000691,0.002033,3.66,cold_gas_60s,6.2202
target_debris_v0,0.5,0.62219,900.0,0.17,0.000691,0.002033,3.66,green_mono_220s,1.6964
target_debris_v0,0.5,0.62219,3600.0,0.05,0.000173,0.001728,12.4439,cold_gas_60s,21.1487
target_debris_v0,0.5,0.62219,3600.0,0.05,0.000173,0.001728,12.4439,green_mono_220s,5.7678
target_debris_v0,0.5,0.62219,3600.0,0.1,0.000173,0.000864,6.2219,cold_gas_60s,10.5743
target_debris_v0,0.5,0.62219,3600.0,0.1,0.000173,0.000864,6.2219,green_mono_220s,2.8839
target_debris_v0,0.5,0.62219,3600.0,0.17,0.000173,0.000508,3.66,cold_gas_60s,6.2202
target_debris_v0,0.5,0.62219,3600.0,0.17,0.000173,0.000508,3.66,green_mono_220s,1.6964
target_debris_v0,0.75,0.91436,60.0,0.05,0.015239,0.152393,18.2872,cold_gas_60s,31.0795
target_debris_v0,0.75,0.91436,60.0,0.05,0.015239,0.152393,18.2872,green_mono_220s,8.4762
target_debris_v0,0.75,0.91436,60.0,0.1,0.015239,0.076197,9.1436,cold_gas_60s,15.5398
target_debris_v0,0.75,0.91436,60.0,0.1,0.015239,0.076197,9.1436,green_mono_220s,4.2381
target_debris_v0,0.75,0.91436,60.0,0.17,0.015239,0.044821,5.3786,cold_gas_60s,9.141
target_debris_v0,0.75,0.91436,60.0,0.17,0.015239,0.044821,5.3786,green_mono_220s,2.493
target_debris_v0,0.75,0.91436,300.0,0.05,0.003048,0.030479,18.2872,cold_gas_60s,31.0795
target_debris_v0,0.75,0.91436,300.0,0.05,0.003048,0.030479,18.2872,green_mono_220s,8.4762
target_debris_v0,0.75,0.91436,300.0,0.1,0.003048,0.015239,9.1436,cold_gas_60s,15.5398
target_debris_v0,0.75,0.91436,300.0,0.1,0.003048,0.015239,9.1436,green_mono_220s,4.2381
target_debris_v0,0.75,0.91436,300.0,0.17,0.003048,0.008964,5.3786,cold_gas_60s,9.141
target_debris_v0,0.75,0.91436,300.0,0.17,0.003048,0.008964,5.3786,green_mono_220s,2.493
target_debris_v0,0.75,0.91436,900.0,0.05,0.001016,0.01016,18.2872,cold_gas_60s,31.0795
target_debris_v0,0.75,0.91436,900.0,0.05,0.001016,0.01016,18.2872,green_mono_220s,8.4762
target_debris_v0,0.75,0.91436,900.0,0.1,0.001016,0.00508,9.1436,cold_gas_60s,15.5398
target_debris_v0,0.75,0.91436,900.0,0.1,0.001016,0.00508,9.1436,green_mono_220s,4.2381
target_debris_v0,0.75,0.91436,900.0,0.17,0.001016,0.002988,5.3786,cold_gas_60s,9.141
target_debris_v0,0.75,0.91436,900.0,0.17,0.001016,0.002988,5.3786,green_mono_220s,2.493
target_debris_v0,0.75,0.91436,3600.0,0.05,0.000254,0.00254,18.2872,cold_gas_60s,31.0795
target_debris_v0,0.75,0.91436,3600.0,0.05,0.000254,0.00254,18.2872,green_mono_220s,8.4762
target_debris_v0,0.75,0.91436,3600.0,0.1,0.000254,0.00127,9.1436,cold_gas_60s,15.5398
target_debris_v0,0.75,0.91436,3600.0,0.1,0.000254,0.00127,9.1436,green_mono_220s,4.2381
target_debris_v0,0.75,0.91436,3600.0,0.17,0.000254,0.000747,5.3786,cold_gas_60s,9.141
target_debris_v0,0.75,0.91436,3600.0,0.17,0.000254,0.000747,5.3786,green_mono_220s,2.493
target_debris_v0,1.0,1.2136,60.0,0.05,0.020227,0.202267,24.272,cold_gas_60s,41.251
target_debris_v0,1.0,1.2136,60.0,0.05,0.020227,0.202267,24.272,green_mono_220s,11.2503
target_debris_v0,1.0,1.2136,60.0,0.1,0.020227,0.101134,12.136,cold_gas_60s,20.6255
target_debris_v0,1.0,1.2136,60.0,0.1,0.020227,0.101134,12.136,green_mono_220s,5.6251
target_debris_v0,1.0,1.2136,60.0,0.17,0.020227,0.05949,7.1388,cold_gas_60s,12.1326
target_debris_v0,1.0,1.2136,60.0,0.17,0.020227,0.05949,7.1388,green_mono_220s,3.3089
target_debris_v0,1.0,1.2136,300.0,0.05,0.004045,0.040453,24.272,cold_gas_60s,41.251
target_debris_v0,1.0,1.2136,300.0,0.05,0.004045,0.040453,24.272,green_mono_220s,11.2503
target_debris_v0,1.0,1.2136,300.0,0.1,0.004045,0.020227,12.136,cold_gas_60s,20.6255
target_debris_v0,1.0,1.2136,300.0,0.1,0.004045,0.020227,12.136,green_mono_220s,5.6251
target_debris_v0,1.0,1.2136,300.0,0.17,0.004045,0.011898,7.1388,cold_gas_60s,12.1326
target_debris_v0,1.0,1.2136,300.0,0.17,0.004045,0.011898,7.1388,green_mono_220s,3.3089
target_debris_v0,1.0,1.2136,900.0,0.05,0.001348,0.013484,24.272,cold_gas_60s,41.251
target_debris_v0,1.0,1.2136,900.0,0.05,0.001348,0.013484,24.272,green_mono_220s,11.2503
target_debris_v0,1.0,1.2136,900.0,0.1,0.001348,0.006742,12.136,cold_gas_60s,20.6255
target_debris_v0,1.0,1.2136,900.0,0.1,0.001348,0.006742,12.136,green_mono_220s,5.6251
target_debris_v0,1.0,1.2136,900.0,0.17,0.001348,0.003966,7.1388,cold_gas_60s,12.1326
target_debris_v0,1.0,1.2136,900.0,0.17,0.001348,0.003966,7.1388,green_mono_220s,3.3089
target_debris_v0,1.0,1.2136,3600.0,0.05,0.000337,0.003371,24.272,cold_gas_60s,41.251
target_debris_v0,1.0,1.2136,3600.0,0.05,0.000337,0.003371,24.272,green_mono_220s,11.2503
target_debris_v0,1.0,1.2136,3600.0,0.1,0.000337,0.001686,12.136,cold_gas_60s,20.6255
target_debris_v0,1.0,1.2136,3600.0,0.1,0.000337,0.001686,12.136,green_mono_220s,5.6251
target_debris_v0,1.0,1.2136,3600.0,0.17,0.000337,0.000992,7.1388,cold_gas_60s,12.1326
target_debris_v0,1.0,1.2136,3600.0,0.17,0.000337,0.000992,7.1388,green_mono_220s,3.3089
target_debris_v0,1.25,1.51574,60.0,0.05,0.025262,0.252623,30.3148,cold_gas_60s,51.5208
target_debris_v0,1.25,1.51574,60.0,0.05,0.025262,0.252623,30.3148,green_mono_220s,14.0511
target_debris_v0,1.25,1.51574,60.0,0.1,0.025262,0.126312,15.1574,cold_gas_60s,25.7604
target_debris_v0,1.25,1.51574,60.0,0.1,0.025262,0.126312,15.1574,green_mono_220s,7.0256
target_debris_v0,1.25,1.51574,60.0,0.17,0.025262,0.074301,8.9161,cold_gas_60s,15.1532
target_debris_v0,1.25,1.51574,60.0,0.17,0.025262,0.074301,8.9161,green_mono_220s,4.1327
target_debris_v0,1.25,1.51574,300.0,0.05,0.005052,0.050525,30.3148,cold_gas_60s,51.5208
target_debris_v0,1.25,1.51574,300.0,0.05,0.005052,0.050525,30.3148,green_mono_220s,14.0511
target_debris_v0,1.25,1.51574,300.0,0.1,0.005052,0.025262,15.1574,cold_gas_60s,25.7604
target_debris_v0,1.25,1.51574,300.0,0.1,0.005052,0.025262,15.1574,green_mono_220s,7.0256
target_debris_v0,1.25,1.51574,300.0,0.17,0.005052,0.01486,8.9161,cold_gas_60s,15.1532
target_debris_v0,1.25,1.51574,300.0,0.17,0.005052,0.01486,8.9161,green_mono_220s,4.1327
target_debris_v0,1.25,1.51574,900.0,0.05,0.001684,0.016842,30.3148,cold_gas_60s,51.5208
target_debris_v0,1.25,1.51574,900.0,0.05,0.001684,0.016842,30.3148,green_mono_220s,14.0511
target_debris_v0,1.25,1.51574,900.0,0.1,0.001684,0.008421,15.1574,cold_gas_60s,25.7604
target_debris_v0,1.25,1.51574,900.0,0.1,0.001684,0.008421,15.1574,green_mono_220s,7.0256
target_debris_v0,1.25,1.51574,900.0,0.17,0.001684,0.004953,8.9161,cold_gas_60s,15.1532
target_debris_v0,1.25,1.51574,900.0,0.17,0.001684,0.004953,8.9161,green_mono_220s,4.1327
target_debris_v0,1.25,1.51574,3600.0,0.05,0.000421,0.00421,30.3148,cold_gas_60s,51.5208
target_debris_v0,1.25,1.51574,3600.0,0.05,0.000421,0.00421,30.3148,green_mono_220s,14.0511
target_debris_v0,1.25,1.51574,3600.0,0.1,0.000421,0.002105,15.1574,cold_gas_60s,25.7604
target_debris_v0,1.25,1.51574,3600.0,0.1,0.000421,0.002105,15.1574,green_mono_220s,7.0256
target_debris_v0,1.25,1.51574,3600.0,0.17,0.000421,0.001238,8.9161,cold_gas_60s,15.1532
target_debris_v0,1.25,1.51574,3600.0,0.17,0.000421,0.001238,8.9161,green_mono_220s,4.1327
target_debris_v0,1.5,1.81933,60.0,0.05,0.030322,0.303221,36.3865,cold_gas_60s,61.8399
target_debris_v0,1.5,1.81933,60.0,0.05,0.030322,0.303221,36.3865,green_mono_220s,16.8654
target_debris_v0,1.5,1.81933,60.0,0.1,0.030322,0.15161,18.1933,cold_gas_60s,30.9199
target_debris_v0,1.5,1.81933,60.0,0.1,0.030322,0.15161,18.1933,green_mono_220s,8.4327
target_debris_v0,1.5,1.81933,60.0,0.17,0.030322,0.089183,10.7019,cold_gas_60s,18.1882
target_debris_v0,1.5,1.81933,60.0,0.17,0.030322,0.089183,10.7019,green_mono_220s,4.9604
target_debris_v0,1.5,1.81933,300.0,0.05,0.006064,0.060644,36.3865,cold_gas_60s,61.8399
target_debris_v0,1.5,1.81933,300.0,0.05,0.006064,0.060644,36.3865,green_mono_220s,16.8654
target_debris_v0,1.5,1.81933,300.0,0.1,0.006064,0.030322,18.1933,cold_gas_60s,30.9199
target_debris_v0,1.5,1.81933,300.0,0.1,0.006064,0.030322,18.1933,green_mono_220s,8.4327
target_debris_v0,1.5,1.81933,300.0,0.17,0.006064,0.017837,10.7019,cold_gas_60s,18.1882
target_debris_v0,1.5,1.81933,300.0,0.17,0.006064,0.017837,10.7019,green_mono_220s,4.9604
target_debris_v0,1.5,1.81933,900.0,0.05,0.002021,0.020215,36.3865,cold_gas_60s,61.8399
target_debris_v0,1.5,1.81933,900.0,0.05,0.002021,0.020215,36.3865,green_mono_220s,16.8654
target_debris_v0,1.5,1.81933,900.0,0.1,0.002021,0.010107,18.1933,cold_gas_60s,30.9199
target_debris_v0,1.5,1.81933,900.0,0.1,0.002021,0.010107,18.1933,green_mono_220s,8.4327
target_debris_v0,1.5,1.81933,900.0,0.17,0.002021,0.005946,10.7019,cold_gas_60s,18.1882
target_debris_v0,1.5,1.81933,900.0,0.17,0.002021,0.005946,10.7019,green_mono_220s,4.9604
target_debris_v0,1.5,1.81933,3600.0,0.05,0.000505,0.005054,36.3865,cold_gas_60s,61.8399
target_debris_v0,1.5,1.81933,3600.0,0.05,0.000505,0.005054,36.3865,green_mono_220s,16.8654
target_debris_v0,1.5,1.81933,3600.0,0.1,0.000505,0.002527,18.1933,cold_gas_60s,30.9199
target_debris_v0,1.5,1.81933,3600.0,0.1,0.000505,0.002527,18.1933,green_mono_220s,8.4327
target_debris_v0,1.5,1.81933,3600.0,0.17,0.000505,0.001486,10.7019,cold_gas_60s,18.1882
target_debris_v0,1.5,1.81933,3600.0,0.17,0.000505,0.001486,10.7019,green_mono_220s,4.9604
target_debris_v0,1.75,2.12374,60.0,0.05,0.035396,0.353957,42.4749,cold_gas_60s,72.1872
target_debris_v0,1.75,2.12374,60.0,0.05,0.035396,0.353957,42.4749,green_mono_220s,19.6874
target_debris_v0,1.75,2.12374,60.0,0.1,0.035396,0.176979,21.2374,cold_gas_60s,36.0936
target_debris_v0,1.75,2.12374,60.0,0.1,0.035396,0.176979,21.2374,green_mono_220s,9.8437
target_debris_v0,1.75,2.12374,60.0,0.17,0.035396,0.104105,12.4926,cold_gas_60s,21.2315
target_debris_v0,1.75,2.12374,60.0,0.17,0.035396,0.104105,12.4926,green_mono_220s,5.7904
target_debris_v0,1.75,2.12374,300.0,0.05,0.007079,0.070791,42.4749,cold_gas_60s,72.1872
target_debris_v0,1.75,2.12374,300.0,0.05,0.007079,0.070791,42.4749,green_mono_220s,19.6874
target_debris_v0,1.75,2.12374,300.0,0.1,0.007079,0.035396,21.2374,cold_gas_60s,36.0936
target_debris_v0,1.75,2.12374,300.0,0.1,0.007079,0.035396,21.2374,green_mono_220s,9.8437
target_debris_v0,1.75,2.12374,300.0,0.17,0.007079,0.020821,12.4926,cold_gas_60s,21.2315
target_debris_v0,1.75,2.12374,300.0,0.17,0.007079,0.020821,12.4926,green_mono_220s,5.7904
target_debris_v0,1.75,2.12374,900.0,0.05,0.00236,0.023597,42.4749,cold_gas_60s,72.1872
target_debris_v0,1.75,2.12374,900.0,0.05,0.00236,0.023597,42.4749,green_mono_220s,19.6874
target_debris_v0,1.75,2.12374,900.0,0.1,0.00236,0.011799,21.2374,cold_gas_60s,36.0936
target_debris_v0,1.75,2.12374,900.0,0.1,0.00236,0.011799,21.2374,green_mono_220s,9.8437
target_debris_v0,1.75,2.12374,900.0,0.17,0.00236,0.00694,12.4926,cold_gas_60s,21.2315
target_debris_v0,1.75,2.12374,900.0,0.17,0.00236,0.00694,12.4926,green_mono_220s,5.7904
target_debris_v0,1.75,2.12374,3600.0,0.05,0.00059,0.005899,42.4749,cold_gas_60s,72.1872
target_debris_v0,1.75,2.12374,3600.0,0.05,0.00059,0.005899,42.4749,green_mono_220s,19.6874
target_debris_v0,1.75,2.12374,3600.0,0.1,0.00059,0.00295,21.2374,cold_gas_60s,36.0936
target_debris_v0,1.75,2.12374,3600.0,0.1,0.00059,0.00295,21.2374,green_mono_220s,9.8437
target_debris_v0,1.75,2.12374,3600.0,0.17,0.00059,0.001735,12.4926,cold_gas_60s,21.2315
target_debris_v0,1.75,2.12374,3600.0,0.17,0.00059,0.001735,12.4926,green_mono_220s,5.7904
target_debris_v0,2.0,2.42868,60.0,0.05,0.040478,0.404779,48.5735,cold_gas_60s,82.552
target_debris_v0,2.0,2.42868,60.0,0.05,0.040478,0.404779,48.5735,green_mono_220s,22.5142
target_debris_v0,2.0,2.42868,60.0,0.1,0.040478,0.20239,24.2868,cold_gas_60s,41.276
target_debris_v0,2.0,2.42868,60.0,0.1,0.040478,0.20239,24.2868,green_mono_220s,11.2571
target_debris_v0,2.0,2.42868,60.0,0.17,0.040478,0.119053,14.2863,cold_gas_60s,24.28
target_debris_v0,2.0,2.42868,60.0,0.17,0.040478,0.119053,14.2863,green_mono_220s,6.6218
target_debris_v0,2.0,2.42868,300.0,0.05,0.008096,0.080956,48.5735,cold_gas_60s,82.552
target_debris_v0,2.0,2.42868,300.0,0.05,0.008096,0.080956,48.5735,green_mono_220s,22.5142
target_debris_v0,2.0,2.42868,300.0,0.1,0.008096,0.040478,24.2868,cold_gas_60s,41.276
target_debris_v0,2.0,2.42868,300.0,0.1,0.008096,0.040478,24.2868,green_mono_220s,11.2571
target_debris_v0,2.0,2.42868,300.0,0.17,0.008096,0.023811,14.2863,cold_gas_60s,24.28
target_debris_v0,2.0,2.42868,300.0,0.17,0.008096,0.023811,14.2863,green_mono_220s,6.6218
target_debris_v0,2.0,2.42868,900.0,0.05,0.002699,0.026985,48.5735,cold_gas_60s,82.552
target_debris_v0,2.0,2.42868,900.0,0.05,0.002699,0.026985,48.5735,green_mono_220s,22.5142
target_debris_v0,2.0,2.42868,900.0,0.1,0.002699,0.013493,24.2868,cold_gas_60s,41.276
target_debris_v0,2.0,2.42868,900.0,0.1,0.002699,0.013493,24.2868,green_mono_220s,11.2571
target_debris_v0,2.0,2.42868,900.0,0.17,0.002699,0.007937,14.2863,cold_gas_60s,24.28
target_debris_v0,2.0,2.42868,900.0,0.17,0.002699,0.007937,14.2863,green_mono_220s,6.6218
target_debris_v0,2.0,2.42868,3600.0,0.05,0.000675,0.006746,48.5735,cold_gas_60s,82.552
target_debris_v0,2.0,2.42868,3600.0,0.05,0.000675,0.006746,48.5735,green_mono_220s,22.5142
target_debris_v0,2.0,2.42868,3600.0,0.1,0.000675,0.003373,24.2868,cold_gas_60s,41.276
target_debris_v0,2.0,2.42868,3600.0,0.1,0.000675,0.003373,24.2868,green_mono_220s,11.2571
target_debris_v0,2.0,2.42868,3600.0,0.17,0.000675,0.001984,14.2863,cold_gas_60s,24.28
target_debris_v0,2.0,2.42868,3600.0,0.17,0.000675,0.001984,14.2863,green_mono_220s,6.6218
target_debris_v0,2.25,2.73396,60.0,0.05,0.045566,0.455659,54.6791,cold_gas_60s,92.9286
target_debris_v0,2.25,2.73396,60.0,0.05,0.045566,0.455659,54.6791,green_mono_220s,25.3442
target_debris_v0,2.25,2.73396,60.0,0.1,0.045566,0.22783,27.3396,cold_gas_60s,46.4643
target_debris_v0,2.25,2.73396,60.0,0.1,0.045566,0.22783,27.3396,green_mono_220s,12.6721
target_debris_v0,2.25,2.73396,60.0,0.17,0.045566,0.134017,16.0821,cold_gas_60s,27.3319
target_debris_v0,2.25,2.73396,60.0,0.17,0.045566,0.134017,16.0821,green_mono_220s,7.4542
target_debris_v0,2.25,2.73396,300.0,0.05,0.009113,0.091132,54.6791,cold_gas_60s,92.9286
target_debris_v0,2.25,2.73396,300.0,0.05,0.009113,0.091132,54.6791,green_mono_220s,25.3442
target_debris_v0,2.25,2.73396,300.0,0.1,0.009113,0.045566,27.3396,cold_gas_60s,46.4643
target_debris_v0,2.25,2.73396,300.0,0.1,0.009113,0.045566,27.3396,green_mono_220s,12.6721
target_debris_v0,2.25,2.73396,300.0,0.17,0.009113,0.026803,16.0821,cold_gas_60s,27.3319
target_debris_v0,2.25,2.73396,300.0,0.17,0.009113,0.026803,16.0821,green_mono_220s,7.4542
target_debris_v0,2.25,2.73396,900.0,0.05,0.003038,0.030377,54.6791,cold_gas_60s,92.9286
target_debris_v0,2.25,2.73396,900.0,0.05,0.003038,0.030377,54.6791,green_mono_220s,25.3442
target_debris_v0,2.25,2.73396,900.0,0.1,0.003038,0.015189,27.3396,cold_gas_60s,46.4643
target_debris_v0,2.25,2.73396,900.0,0.1,0.003038,0.015189,27.3396,green_mono_220s,12.6721
target_debris_v0,2.25,2.73396,900.0,0.17,0.003038,0.008934,16.0821,cold_gas_60s,27.3319
target_debris_v0,2.25,2.73396,900.0,0.17,0.003038,0.008934,16.0821,green_mono_220s,7.4542
target_debris_v0,2.25,2.73396,3600.0,0.05,0.000759,0.007594,54.6791,cold_gas_60s,92.9286
target_debris_v0,2.25,2.73396,3600.0,0.05,0.000759,0.007594,54.6791,green_mono_220s,25.3442
target_debris_v0,2.25,2.73396,3600.0,0.1,0.000759,0.003797,27.3396,cold_gas_60s,46.4643
target_debris_v0,2.25,2.73396,3600.0,0.1,0.000759,0.003797,27.3396,green_mono_220s,12.6721
target_debris_v0,2.25,2.73396,3600.0,0.17,0.000759,0.002234,16.0821,cold_gas_60s,27.3319
target_debris_v0,2.25,2.73396,3600.0,0.17,0.000759,0.002234,16.0821,green_mono_220s,7.4542
target_debris_v0,2.5,3.03947,60.0,0.05,0.050658,0.506579,60.7895,cold_gas_60s,103.3134
target_debris_v0,2.5,3.03947,60.0,0.05,0.050658,0.506579,60.7895,green_mono_220s,28.1764
target_debris_v0,2.5,3.03947,60.0,0.1,0.050658,0.25329,30.3947,cold_gas_60s,51.6567
target_debris_v0,2.5,3.03947,60.0,0.1,0.050658,0.25329,30.3947,green_mono_220s,14.0882
target_debris_v0,2.5,3.03947,60.0,0.17,0.050658,0.148994,17.8793,cold_gas_60s,30.3863
target_debris_v0,2.5,3.03947,60.0,0.17,0.050658,0.148994,17.8793,green_mono_220s,8.2872
target_debris_v0,2.5,3.03947,300.0,0.05,0.010132,0.101316,60.7895,cold_gas_60s,103.3134
target_debris_v0,2.5,3.03947,300.0,0.05,0.010132,0.101316,60.7895,green_mono_220s,28.1764
target_debris_v0,2.5,3.03947,300.0,0.1,0.010132,0.050658,30.3947,cold_gas_60s,51.6567
target_debris_v0,2.5,3.03947,300.0,0.1,0.010132,0.050658,30.3947,green_mono_220s,14.0882
target_debris_v0,2.5,3.03947,300.0,0.17,0.010132,0.029799,17.8793,cold_gas_60s,30.3863
target_debris_v0,2.5,3.03947,300.0,0.17,0.010132,0.029799,17.8793,green_mono_220s,8.2872
target_debris_v0,2.5,3.03947,900.0,0.05,0.003377,0.033772,60.7895,cold_gas_60s,103.3134
target_debris_v0,2.5,3.03947,900.0,0.05,0.003377,0.033772,60.7895,green_mono_220s,28.1764
target_debris_v0,2.5,3.03947,900.0,0.1,0.003377,0.016886,30.3947,cold_gas_60s,51.6567
target_debris_v0,2.5,3.03947,900.0,0.1,0.003377,0.016886,30.3947,green_mono_220s,14.0882
target_debris_v0,2.5,3.03947,900.0,0.17,0.003377,0.009933,17.8793,cold_gas_60s,30.3863
target_debris_v0,2.5,3.03947,900.0,0.17,0.003377,0.009933,17.8793,green_mono_220s,8.2872
target_debris_v0,2.5,3.03947,3600.0,0.05,0.000844,0.008443,60.7895,cold_gas_60s,103.3134
target_debris_v0,2.5,3.03947,3600.0,0.05,0.000844,0.008443,60.7895,green_mono_220s,28.1764
target_debris_v0,2.5,3.03947,3600.0,0.1,0.000844,0.004221,30.3947,cold_gas_60s,51.6567
target_debris_v0,2.5,3.03947,3600.0,0.1,0.000844,0.004221,30.3947,green_mono_220s,14.0882
target_debris_v0,2.5,3.03947,3600.0,0.17,0.000844,0.002483,17.8793,cold_gas_60s,30.3863
target_debris_v0,2.5,3.03947,3600.0,0.17,0.000844,0.002483,17.8793,green_mono_220s,8.2872
target_debris_v0,2.75,3.34517,60.0,0.05,0.055753,0.557528,66.9034,cold_gas_60s,113.7041
target_debris_v0,2.75,3.34517,60.0,0.05,0.055753,0.557528,66.9034,green_mono_220s,31.0102
target_debris_v0,2.75,3.34517,60.0,0.1,0.055753,0.278764,33.4517,cold_gas_60s,56.852
target_debris_v0,2.75,3.34517,60.0,0.1,0.055753,0.278764,33.4517,green_mono_220s,15.5051
target_debris_v0,2.75,3.34517,60.0,0.17,0.055753,0.163979,19.6775,cold_gas_60s,33.4424
target_debris_v0,2.75,3.34517,60.0,0.17,0.055753,0.163979,19.6775,green_mono_220s,9.1206
target_debris_v0,2.75,3.34517,300.0,0.05,0.011151,0.111506,66.9034,cold_gas_60s,113.7041
target_debris_v0,2.75,3.34517,300.0,0.05,0.011151,0.111506,66.9034,green_mono_220s,31.0102
target_debris_v0,2.75,3.34517,300.0,0.1,0.011151,0.055753,33.4517,cold_gas_60s,56.852
target_debris_v0,2.75,3.34517,300.0,0.1,0.011151,0.055753,33.4517,green_mono_220s,15.5051
target_debris_v0,2.75,3.34517,300.0,0.17,0.011151,0.032796,19.6775,cold_gas_60s,33.4424
target_debris_v0,2.75,3.34517,300.0,0.17,0.011151,0.032796,19.6775,green_mono_220s,9.1206
target_debris_v0,2.75,3.34517,900.0,0.05,0.003717,0.037169,66.9034,cold_gas_60s,113.7041
target_debris_v0,2.75,3.34517,900.0,0.05,0.003717,0.037169,66.9034,green_mono_220s,31.0102
target_debris_v0,2.75,3.34517,900.0,0.1,0.003717,0.018584,33.4517,cold_gas_60s,56.852
target_debris_v0,2.75,3.34517,900.0,0.1,0.003717,0.018584,33.4517,green_mono_220s,15.5051
target_debris_v0,2.75,3.34517,900.0,0.17,0.003717,0.010932,19.6775,cold_gas_60s,33.4424
target_debris_v0,2.75,3.34517,900.0,0.17,0.003717,0.010932,19.6775,green_mono_220s,9.1206
