"id","domain","description","verdict_or_status","authority_path","locator","sha256","retained_as","notes"
"NEG-CTRL02-W1R13","ctrl","GC7 最坏实现残差 0.0108 dps = 0.05 dps 稳定门槛的 21.5%；硬件最小脉宽增大约 4.6x 则瞬态裁决翻转","OPEN_NEW 硬件触发重跑","10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json","$.integration_checks.red_team_completeness.key_findings_this_round[6]（行286）；CTRL-02 gate $.gates.GC7.quantization_note","ef49240d90471f85a6ee9479855077b0b24b90272c38415cfe71aefc3bd80daf","rerun trigger 登记","B601/执行器实测到货即重跑瞬态层"
"NEG-SAFE00-REPLAY","ctrl","SAFE-00 当前树重放 23/47，HOLD_CURRENT_REPLAY：CURRENT_SOURCE_BINDINGS_DO_NOT_REPRODUCE_FROZEN_SAFE_ALLOW_AND_MODIFY_FIXTURES","HOLD（记录审计，非 Gate）","30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json","$.criteria[C7].current_replay（行127-138）","ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe","当前状态负记录","历史冻结 Gate 未变；current_replay_evidence_class=RECORDED_AUDIT_NOT_GATE"
"NEG-CTRL01-REPLAY","ctrl","CTRL-01 当前树重放 7/22：冻结 sim05 默认 URDF 定位指向 pre-REORG 根 CAD 路径+配置/矩阵规范化哈希漂移","HOLD（记录审计，非 Gate）","30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json","$.criteria[C1].current_replay 与 reproduction（行17-48）","ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe","当前状态负记录","exact_legacy_reproduction_available=false；NOT_CLAIMED_REORG04_NORMALIZED_HASH_DRIFT"
"NEG-CTRL02-REPLAY","ctrl","CTRL-02 当前树重放 12/24；且测试管线副作用重写冻结 Gate 后精确恢复被核验（FINAL_STATE_ONLY_AFTER_EXACT_RESTORE）","HOLD（记录审计，非 Gate）","30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json","$.criteria[C4].current_replay（行67-83）","ed4d8b7774c61317576df03b8dda1591ba1178b895ddc5fa7544ead9a7e59abe","当前状态负记录","重放副作用=治理风险，独立无副作用 replay gate 缺席（remaining_holds）"
"NEG-R2-DLS","ctrl","5D/6D 控制器把 m/s 与 rad/s 直接拼接做 SVD/欧氏残差/DLS；generalized 解预测基座角速度为 naive 的 3.30549x/3.29410x，「最小基座扰动」不成立","RAW_MIXED_UNIT_DIAGNOSTIC_NO_CREDIT","01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md","§4 行112-121","3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce","红队发现转化的硬阻断","task_space_metric.status=UNBOUND；command_emitted=false"
"NEG-TASKMETRIC","ctrl","任务空间特征长度/权重矩阵未冻结：CG1 candidate_packaging_pass=false，control_engineering_complete=false","HOLD","30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json","$.criteria[CG1]（行15-21）；$.hard_blockers[1]","2740b33e7958b4af2232ed0a2a51cea830470d1c98d5ba46c39c43279a02adce","硬阻断登记","不同但物理等价的单位缩放可翻转守卫"
"NEG-SIM13-ABORT","ctrl","Sim13 最大运行态 ABORT_ONLY；20/20 仅为负控后端信用，生产非 ABORT 仍被 12 门权威遮蔽","LIMITED","30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json","$.diagnostic_facts_no_credit.sim13_maximum_operational_state（行33）","55490805d934a8806e58cda25c398bd15aef49f4624f1f8cc08fcb75f2634b03","信用边界声明","20/20 不得升级为抓取执行权限（父裁决 §5 明文）"
"NEG-PB-G0A","ctrl","PB_G0 权威充分性层 6 项 HOLD（质量/惯量生产权威、目标捕获变换、frame owner、执行器、接触冲突、配置留存）","HOLD","30_simulation/dynamics_control_prebind_r1/10_verification/PB_G0_GATE.json","$.criteria[G0-A1..A6]（行22-50）","da2bbe1381a08b21cfdb648a658f3092b8e888c6106723abab10f96d4c260c74","阻断登记","定位/哈希层 3/3 PASS 不升级为权威充分"
"NEG-PB-STATES","ctrl","RPO→TASK_READY 与 PREGRASP→compliant/locked capture 交接连续性 NOT_EVALUATED；State transitions remain schema-only","NOT_EVALUATED","30_simulation/dynamics_control_prebind_r1/10_verification/PB_G1_GATE.json","$.criteria[G1-04,G1-05]（行27-36）；$.authority_dispositions[2]","7ad34fcf94825e6b3b8df860bafbf7726243655461e10c4f83258b39f9a6ecc0","缺口登记","题述六段任务链无可复现链段的直接机器证据"
"NEG-ACTUATOR-NULL","ctrl","执行器 152/152 个实测字段全为 null，零填充禁止；无硬件有效执行器速率/力矩/延迟/带宽","HOLD","01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md","§3 行98；R2 控制 Gate $.hard_blockers[3]","3eed50dd728ea55ce40cd4a2e46d4343d1f17a4c532baca4c469c8b406c08dce","阻断登记","所有硬件有效 claim 禁止"
"NEG-SUPERVISOR-OP","ctrl","运行 supervisor 未完成：operational_supervisor_complete=false；轮组阈值 MEASUREMENT_PENDING__ZERO_FILL_FORBIDDEN；150kg@3dps 物理否决=ABORT_OR_RECOVERY","HOLD","30_simulation/r2_control_engineering_closure/results/CTRL_R2_SUPERVISOR_ASSESSMENT_V1.json","$.operational_supervisor_complete（行24）；$.wheel_momentum；$.hybrid_capture；$.safe","1779ece775a153e4f85c44cdf87141192a83415a3f73912451f087c4c418e9df","状态登记","状态机枚举完整但均 operational=false"
