sample_id,family,sample_type,grid_i,grid_j,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,clearance_margin_mm,bend_margin_mm,pinch_margin_mm,length_margin_mm,joint_limit_margin_rad,status,required_action
TASK_READY_FAMILY_Q2_1_Q3_2,TASK_READY_FAMILY,COARSE_Q2_Q3,1,2,-1.570796,-2.355,-1.57,-0.523599,0.0,0.0,-10.410363845268964,-29.89987713888061,-5.4345041271263295,839.441954880444,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_1_Q3_3,TASK_READY_FAMILY,COARSE_Q2_Q3,1,3,-1.570796,-2.355,-0.7850000000000001,-0.523599,0.0,0.0,-10.41035461832817,-29.899877132820656,-5.4345041271263295,881.4966245548708,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_1_Q3_4,TASK_READY_FAMILY,COARSE_Q2_Q3,1,4,-1.570796,-2.355,0.0,-0.523599,0.0,0.0,-11.004760879807861,-29.899877133777558,-11.004760879807865,905.0234673287005,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_2_Q3_0,TASK_READY_FAMILY,COARSE_Q2_Q3,2,0,-1.570796,-1.57,-3.14,-0.523599,0.0,0.0,-10.410354591137082,-29.8998771328117,-5.4345041271263295,827.557346849635,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_2_Q3_1,TASK_READY_FAMILY,COARSE_Q2_Q3,2,1,-1.570796,-1.57,-2.355,-0.523599,0.0,0.0,-10.410346741148985,-29.899877133790138,-5.4345041271263295,839.4419946696357,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_2_Q3_2,TASK_READY_FAMILY,COARSE_Q2_Q3,2,2,-1.570796,-1.57,-1.57,-0.523599,0.0,0.0,-10.410355980603473,-29.89987713984594,-5.4345041271263295,871.9315429778972,1.2292039999999997,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_2_Q3_3,TASK_READY_FAMILY,COARSE_Q2_Q3,2,3,-1.570796,-1.57,-0.7850000000000001,-0.523599,0.0,0.0,-10.410363845268963,-29.89987713888061,-5.4345041271263295,913.9861847079305,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_2_Q3_4,TASK_READY_FAMILY,COARSE_Q2_Q3,2,4,-1.570796,-1.57,0.0,-0.523599,0.0,0.0,-10.410354618328132,-29.899877132821423,-5.4345041271263295,937.5130405708765,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_3_Q3_0,TASK_READY_FAMILY,COARSE_Q2_Q3,3,0,-1.570796,-0.7850000000000001,-3.14,-0.523599,0.0,0.0,-10.410363843088776,-29.89987713886781,-5.4345041271263295,869.6119760234269,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_3_Q3_1,TASK_READY_FAMILY,COARSE_Q2_Q3,3,1,-1.570796,-0.7850000000000001,-2.355,-0.523599,0.0,0.0,-10.410354591137587,-29.899877132816027,-5.4345041271263295,881.496638109903,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_3_Q3_2,TASK_READY_FAMILY,COARSE_Q2_Q3,3,2,-1.570796,-0.7850000000000001,-1.57,-0.523599,0.0,0.0,-10.410346741148997,-29.899877133789982,-5.4345041271263295,913.9862128831614,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_3_Q3_3,TASK_READY_FAMILY,COARSE_Q2_Q3,3,3,-1.570796,-0.7850000000000001,-0.7850000000000001,-0.523599,0.0,0.0,-10.41035598060375,-29.89987713984596,-5.4345041271263295,956.0408407428463,0.7850000000000001,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_3_Q3_4,TASK_READY_FAMILY,COARSE_Q2_Q3,3,4,-1.570796,-0.7850000000000001,0.0,-0.523599,0.0,0.0,-10.410363845269384,-29.899877138880726,-5.4345041271263295,979.5676714229112,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_4_Q3_0,TASK_READY_FAMILY,COARSE_Q2_Q3,4,0,-1.570796,0.0,-3.14,-0.523599,0.0,0.0,-10.410356007836908,-29.899877139856564,-5.4345041271263295,893.1388013797336,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_4_Q3_1,TASK_READY_FAMILY,COARSE_Q2_Q3,4,1,-1.570796,0.0,-2.355,-0.523599,0.0,0.0,-10.410363843088549,-29.89987713886781,-5.4345041271263295,905.0234403891036,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_4_Q3_2,TASK_READY_FAMILY,COARSE_Q2_Q3,4,2,-1.570796,0.0,-1.57,-0.523599,0.0,0.0,-10.410354591137004,-29.89987713281181,-5.4345041271263295,937.5130296863563,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_4_Q3_3,TASK_READY_FAMILY,COARSE_Q2_Q3,4,3,-1.570796,0.0,-0.7850000000000001,-0.523599,0.0,0.0,-10.410346741147983,-29.899877133790152,-5.4345041271263295,979.5676854683365,0.0,UNSAFE,ABORT
TASK_READY_FAMILY_Q2_4_Q3_4,TASK_READY_FAMILY,COARSE_Q2_Q3,4,4,-1.570796,0.0,0.0,-0.523599,0.0,0.0,-10.41035598060326,-29.899877139846218,-5.4345041271263295,1003.0945030191601,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_0_Q3_0,PREGRASP_FAMILY,COARSE_Q2_Q3,0,0,-1.4722592995215019e-05,-3.14,-3.14,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.487815928676053,-29.899877134449838,-11.114239388770685,634.6135514075659,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_0_Q3_1,PREGRASP_FAMILY,COARSE_Q2_Q3,0,1,-1.4722592995215019e-05,-3.14,-2.355,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.487815928676053,-29.8998771402409,-11.114239388770685,646.4981946836942,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_0_Q3_2,PREGRASP_FAMILY,COARSE_Q2_Q3,0,2,-1.4722592995215019e-05,-3.14,-1.57,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.487815928676053,-29.89987713822233,-11.114239388770685,678.9877654798483,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_0_Q3_3,PREGRASP_FAMILY,COARSE_Q2_Q3,0,3,-1.4722592995215019e-05,-3.14,-0.7850000000000001,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.487815928676053,-29.8998771324266,-11.114239388770685,721.0424169726894,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_0_Q3_4,PREGRASP_FAMILY,COARSE_Q2_Q3,0,4,-1.4722592995215019e-05,-3.14,0.0,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.86628698329785,-29.89987713443587,-11.866297714135444,744.5692530178671,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_1_Q3_0,PREGRASP_FAMILY,COARSE_Q2_Q3,1,0,-1.4722592995215019e-05,-2.355,-3.14,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410353095020888,-29.8998771324203,-5.569650506149943,646.4981965793304,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_1_Q3_1,PREGRASP_FAMILY,COARSE_Q2_Q3,1,1,-1.4722592995215019e-05,-2.355,-2.355,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410346997423993,-29.899877134449735,-5.569650506149943,658.3828397883708,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_1_Q3_2,PREGRASP_FAMILY,COARSE_Q2_Q3,1,2,-1.4722592995215019e-05,-2.355,-1.57,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410357477154713,-29.89987714024012,-5.569650506149943,690.8724069047712,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_1_Q3_3,PREGRASP_FAMILY,COARSE_Q2_Q3,1,3,-1.4722592995215019e-05,-2.355,-0.7850000000000001,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410363591405574,-29.899877138220475,-5.569650506149943,732.9270580971911,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_1_Q3_4,PREGRASP_FAMILY,COARSE_Q2_Q3,1,4,-1.4722592995215019e-05,-2.355,0.0,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-11.019924349214861,-29.899877132426184,-11.019924349214758,756.4538965152606,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_2_Q3_0,PREGRASP_FAMILY,COARSE_Q2_Q3,2,0,-1.4722592995215019e-05,-1.57,-3.14,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410363584461848,-29.899877138208115,-5.569650506149943,678.9877803556133,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_2_Q3_1,PREGRASP_FAMILY,COARSE_Q2_Q3,2,1,-1.4722592995215019e-05,-1.57,-2.355,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410353095020874,-29.899877132420425,-5.569650506149943,690.8724238787627,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_2_Q3_2,PREGRASP_FAMILY,COARSE_Q2_Q3,2,2,-1.4722592995215019e-05,-1.57,-1.57,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.41034699742401,-29.89987713444901,-5.569650506149943,723.3619906759163,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_2_Q3_3,PREGRASP_FAMILY,COARSE_Q2_Q3,2,3,-1.4722592995215019e-05,-1.57,-0.7850000000000001,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410357477154689,-29.89987714024041,-5.569650506149943,765.4166367322587,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_2_Q3_4,PREGRASP_FAMILY,COARSE_Q2_Q3,2,4,-1.4722592995215019e-05,-1.57,0.0,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410363591405313,-29.89987713822106,-5.569650506149943,788.9434741131959,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_3_Q3_0,PREGRASP_FAMILY,COARSE_Q2_Q3,3,0,-1.4722592995215019e-05,-0.7850000000000001,-3.14,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410357503572293,-29.899877140246726,-5.569650506149943,721.0424280251195,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_3_Q3_1,PREGRASP_FAMILY,COARSE_Q2_Q3,3,1,-1.4722592995215019e-05,-0.7850000000000001,-2.355,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.41036358446178,-29.899877138211224,-5.569650506149943,732.9270716158821,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_3_Q3_2,PREGRASP_FAMILY,COARSE_Q2_Q3,3,2,-1.4722592995215019e-05,-0.7850000000000001,-1.57,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410353095020906,-29.899877132420322,-5.569650506149943,765.4166420922897,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_3_Q3_3,PREGRASP_FAMILY,COARSE_Q2_Q3,3,3,-1.4722592995215019e-05,-0.7850000000000001,-0.7850000000000001,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410346997424012,-29.899877134449238,-5.569650506149943,807.4712884408659,0.6499899320561247,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_3_Q3_4,PREGRASP_FAMILY,COARSE_Q2_Q3,3,4,-1.4722592995215019e-05,-0.7850000000000001,0.0,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410357477155037,-29.899877140239525,-5.569650506149943,830.9981234472389,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_4_Q3_0,PREGRASP_FAMILY,COARSE_Q2_Q3,4,0,-1.4722592995215019e-05,0.0,-3.14,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410347004409768,-29.899877134461867,-5.569650506149943,744.5692491140162,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_4_Q3_1,PREGRASP_FAMILY,COARSE_Q2_Q3,4,1,-1.4722592995215019e-05,0.0,-2.355,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410357503573053,-29.899877140244605,-5.569650506149943,756.4538923907976,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_4_Q3_2,PREGRASP_FAMILY,COARSE_Q2_Q3,4,2,-1.4722592995215019e-05,0.0,-1.57,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410363584461727,-29.899877138208616,-5.569650506149943,788.943463192335,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_4_Q3_3,PREGRASP_FAMILY,COARSE_Q2_Q3,4,3,-1.4722592995215019e-05,0.0,-0.7850000000000001,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410353095020929,-29.899877132420333,-5.569650506149943,830.9981146774658,0.0,UNSAFE,ABORT
PREGRASP_FAMILY_Q2_4_Q3_4,PREGRASP_FAMILY,COARSE_Q2_Q3,4,4,-1.4722592995215019e-05,0.0,0.0,-1.2200100679438755,3.673218594813444e-06,1.8395811591279014e-05,-10.410346997423996,-29.899877134449316,-5.569650506149943,854.5249507171789,0.0,UNSAFE,ABORT
