path,file_type,sha256,modified_time,source_root,contains_B601,contains_M3,contains_M6,contains_M8,contains_PCD90,contains_BCD130,contains_140x140,evidence_type,authority_level,notes
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Upper_Arm_Fuller_M.step,step,7C6551CC1619FFEEFAA51FD3386F09807814053DB7C9AF55CE0AFA958548E7BE,2026-06-09T03:18:36.143557+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Upper_Arm_Fuller_R.step,step,E22AFEB76E5FF32F93B2F9D7C2E9885E9CBA0D282E7151367E6E07935BB5FC07,2026-06-09T03:18:36.144098+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_Upper_Arm_Limit.step,step,1F481507BB43394CB1FC9D39003582C993AB99ABD03E7DD557BA70E4D565A417,2026-06-09T03:18:36.145184+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/D405_305_Mount.step,step,9FD1239427F073B401A9CF0978983936BA85B8814326E954AE08C5A52F7687D8,2026-06-09T03:18:36.146194+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/D435_Gemini2_Mount.step,step,F6B7FF37B690C0B24BDDBAFB2825A7C365F9F49B064CC83634C1317961E08274,2026-06-09T03:18:36.147195+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/DM-power-Bottom Cover.STEP,step,C30CD9785508F8D4FA4E1803F9FD12229D9408A3D4FAE2B223CC97CAE5B713ED,2026-06-09T03:18:36.148194+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/DM-power-Top Cover-Sliding Cover.STEP,step,FF2A748EF7BA89C15C83721B8333AE7F063032770C6DAD053B2C0DFC4301882B,2026-06-09T03:18:36.156194+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/DM-power-Top Cover.STEP,step,251930E8B4DB32FCA0BE3E277C5EF48E1AA745D4EEFAEF651A7C904F9D669613,2026-06-09T03:18:36.158198+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/Soft_Gripper_Finger.step,step,18848275847DB3EBE918349A7C26801676F61B3B5BE9215C071E3BE09B2A7BAD,2026-06-09T03:18:36.160388+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/Soft_Gripper_Mount.step,step,819C308E2C49F0305C27A03982F1B02652B71DDC7D7B978953D8DC040F4B0CD8,2026-06-09T03:18:36.161869+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/UVC32_mount.step,step,D731A9F269CF9411097C603972904D6B5568DABB549152CBFDDC47E78D3DF978,2026-06-09T03:18:36.162869+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02-RACK.step,step,7C5FF640E69D4EC8D2425AEF42BF575F872628D23E07893026C395E511A9B704,2026-06-09T03:18:37.172418+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Arm_Yaw_Limit.step,step,E458F7E798C13BBF77EAA468A33F7BF728129372662015B43B415445C3C1F025,2026-06-09T03:18:37.173419+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Base_Motor_Shim.step,step,728E3EC99C05B2239190E2668CB49FB1480FC091762DA1F2E70D3C059A64F8E3,2026-06-09T03:18:37.180943+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Base_Reinforcement_Part.step,step,0C5BE9BB4712F805C6A0AD69F958A7495004B73C8A811C32D1D57A9B9231E204,2026-06-09T03:18:37.183453+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_FLANGE.step,step,75EAB2DF7DB5ACC0F43421B2B208C8BA2C0D6D66DF91EB7DE2C4708C353CE31A,2026-06-09T03:18:37.185466+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Gear_Connector.step,step,F4914066F84CD369A5D20D69DCAFF1539373BF82D25548847921053F03867AFE,2026-06-09T03:18:37.186467+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Gripper_Connector_A.step,step,A056DF7D44E051EA50877970A1382EC3C8D9EEFFB51E2B5712A1A7C477BD0A93,2026-06-09T03:18:37.221633+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Gripper_Connector_B.step,step,2C9F0A5EBA6DF8555FAC4B1C6D3FB4FA27A42F15AD173C8D573C5AFB42F7AE4A,2026-06-09T03:18:37.223635+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Lower_Upper_Link_L.step,step,C154D0EF189D68B55D148315B0CD1B21265801BDD98F2D49BAC363E3193BAAAA,2026-06-09T03:18:37.224635+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Lower_Upper_Link_R.step,step,127B77C7FDC66E2A843EC4885EAA4E193CAC6833939D2883E6263B652FB3BF43,2026-06-09T03:18:37.225634+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Lower_Wrist_Link_L.step,step,D9EE0BBE054D3092C3F78EC9E3C65DFBD97C67846CD927CB3C51E0902DE0F8EA,2026-06-09T03:18:37.227635+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Lower_Wrist_Link_R.step,step,8BDE78B869CC6FA723CFED8A276F09B2DE6318049ABD091334FB69E2C3E2371B,2026-06-09T03:18:37.229643+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Motor_Back_Spacer.step,step,39A73F9717F3DEAA97CD18D88813F938DAEF360AA86EB2CE8934D575219715A1,2026-06-09T03:18:37.230644+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Motor_Front_Spacer.step,step,9D1986B889AB7BDDCEC3B2158103D6676F95270054345CE320E9C95FD99BA54F,2026-06-09T03:18:37.231642+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Rack.step,step,14EE30E1133878FDADB6BE073F74E2B1D2BD15667664C718A0AE22881605B20D,2026-06-09T03:18:37.234643+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Slider_Bracket.step,step,3F55AD282110658FEDBA6FACA0D199A3CDEACEBA217DD1E5EE56CF0525F0F7EE,2026-06-09T03:18:37.235645+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Slider_Extension.step,step,770911FA83CE9EA64BC08644A8ABBF993D8EE4FD599C65100C241235320CAFA4,2026-06-09T03:18:37.236645+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/02_Wrist_Bracket.step,step,4B47C20E29D8D68065BF6F9354E3F80952754BCAE55A90F7AA1142B2189E04B0,2026-06-09T03:18:37.237643+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03-Link1.step,step,B476AAE3113B4DE0D04D688347C75C388A6194C51767ACBADE7269065540033C,2026-06-09T03:18:37.239643+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03-Link2.step,step,4D11072C7F2B4F1724DD58F8D9551D1217E51F48DA6FA1DBEEFF4624ECBDE0D1,2026-06-09T03:18:37.242643+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03-Link3_L.step,step,6A8744392440118E5B0909F7DAB134000A2987C6FFC5E1B7D0B20E3917D59E2B,2026-06-09T03:18:37.244153+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03-Link3_R.step,step,D1C4BA659F367C42DE322F304243B1B35138E8837EA15694B1D7815F9800990E,2026-06-09T03:18:37.245811+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03-Link5.step,step,9B069616644FC099B0BD24F6634EEFD2C72382688C510E2A8F1B11A6212E9E47,2026-06-09T03:18:37.246810+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03_Link1.step,step,B930D5F98B6A4BB8246147562C949C60463BA14622DCBA38DC64BD7DF823EED9,2026-06-09T03:18:37.247809+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03_Link2.step,step,1F76DCE74936C57F1595BC125F5FC3AD98B4972BDE6443C2F581031825836086,2026-06-09T03:18:37.248809+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03_Link3_L.step,step,87256CB3C381307EA005687BEEDB70F66147B0706A879FC30CBDD22E23F42F5A,2026-06-09T03:18:37.250810+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03_Link3_R.step,step,F0B12CB79C84903CDB3679DFD57A22EC3DB411E8C68C68C0B3E2CE67DD4230E1,2026-06-09T03:18:37.252808+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/Metal_Parts/03_Link5.step,step,BB8E49748BB8EAA82C8B3EAB32B2809F818DA253741379C179AF9688DAF0D9F4,2026-06-09T03:18:37.253814+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/performance_testing/Performance_Testing.md,md,15811A4DDB37A1E01611F5D5665D02281DD3A3DEF038C2532666CEE17964C35D,2026-06-09T03:18:37.345515+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/performance_testing/Performance_Testing_es.md,md,C8CA5541D670B36777E79BFA3286778090889A1C76756052A7F1CA31D8E7C438,2026-06-09T03:18:37.348680+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/performance_testing/Performance_Testing_Fr.md,md,25A8A6BD6EC394822706044161F8CCB4A6FEF7F6F8D52D9FEC25D90780300F35,2026-06-09T03:18:37.346589+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/performance_testing/Performance_Testing_JP.md,md,796A1F07BB4B9D08488B8D8D356B0B0179C80284EED41CAE9FECAD74CBA7488C,2026-06-09T03:18:37.347671+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/performance_testing/Performance_Testing_zh.md,md,DBE20B4FE5766DAFC04D5FE2BDAFAA786235FC16D09AB0CB19F64EC3459734B5,2026-06-09T03:18:37.348680+00:00,PROJECT_ROOT,true,false,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/readme.md,md,02B00FC7331603C36756BAE539AF4C79D8CC6A2206C33CF3DFE53606D4ECC252,2026-06-09T03:18:37.573452+00:00,PROJECT_ROOT,true,true,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/readme_es.md,md,3135886D3FEC46B6C1328D189573EB31706FEA0C8BBEDA4D7DCDE2F43A1339DB,2026-06-09T03:18:37.574451+00:00,PROJECT_ROOT,true,true,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/readme_fr.md,md,1C957C881B7B4F1B594DF3BCD19046C8CEF1740FF73CF054FB5BED9149744972,2026-06-09T03:18:37.575961+00:00,PROJECT_ROOT,true,true,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/readme_jp.md,md,3A39561DDA45465E8C4752160E3F411C9C4BBF4FB5F8A0DCC5BAB8C944FAD0FB,2026-06-09T03:18:37.576970+00:00,PROJECT_ROOT,true,true,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/readme_zh.md,md,15786152A802698FAFD55BD3BE6A5D7E6085378901C5795DB23D92F91E75FE7B,2026-06-09T03:18:37.577970+00:00,PROJECT_ROOT,true,true,false,false,false,false,false,VENDOR_BOM_OR_INSTRUCTION,A2,vendor product documentation; no flight-interface claim
F:/China Graduate Future Flight Vehicle Innovation Competition/80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/reBot_B601_DM_v1.1_20260425.step,step,87A0537D1AFD50C04FC441FDE11DD4F2EBBB368FE27F6C10FDA8567BE696D968,2026-06-09T03:18:37.572440+00:00,PROJECT_ROOT,true,true,true,false,true,false,false,VENDOR_GEOMETRY,A2,vendor product geometry; not a released interface ICD
