instance_or_member,role,volume_mm3,al_candidate_mass_kg,status
e1_anchor_washer_G03_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G03_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G04_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G04_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G04_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G05_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G05_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G05_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G05_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G05_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G05_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G06_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G06_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G06_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G06_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G06_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G06_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G07_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G07_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G07_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G08_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G08_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G08_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G09_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G09_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G09_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G09_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G09_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G09_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G10_0,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G10_0,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G10_0,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
e1_anchor_bolt_G10_1,E1_BOLT,216.180844,0.000583688,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_washer_G10_1,E1_WASHER,9.597566,2.5913e-05,THREADLESS_ENVELOPE_MATERIAL_UNKNOWN_AL_EQUIVALENT_ONLY
e1_anchor_sleeve_G10_1,E1_SLEEVE,27.897343,7.5323e-05,SLEEVE_AL_CANDIDATE_PHYSICAL
RB_longeron_1_1,MODIFIED_MEMBER_REMOVED_MATERIAL,-181.584055,-0.000490277,E1_HOLES_DRILLED
RB_longeron_-1_1,MODIFIED_MEMBER_REMOVED_MATERIAL,-181.584055,-0.000490277,E1_HOLES_DRILLED
RB_longeron_1_-1,MODIFIED_MEMBER_REMOVED_MATERIAL,-108.950433,-0.000294166,E1_HOLES_DRILLED
RB_longeron_-1_-1,MODIFIED_MEMBER_REMOVED_MATERIAL,-108.950433,-0.000294166,E1_HOLES_DRILLED
RB_upper_beam_20,MODIFIED_MEMBER_REMOVED_MATERIAL,-435.801733,-0.001176665,E1_HOLES_DRILLED
RB_upper_beam_160,MODIFIED_MEMBER_REMOVED_MATERIAL,-217.900866,-0.000588332,E1_HOLES_DRILLED
RB_lower_beam_20,MODIFIED_MEMBER_REMOVED_MATERIAL,-435.801733,-0.001176665,E1_HOLES_DRILLED
RB_lower_beam_160,MODIFIED_MEMBER_REMOVED_MATERIAL,-217.900866,-0.000588332,E1_HOLES_DRILLED
WP01-RB-BRIDGE-R2,MODIFIED_MEMBER_REMOVED_MATERIAL,-435.801733,-0.001176665,E1_HOLES_DRILLED
