pair_id,layer,y_interval_S_mm,od_or_thickness,bearing_face_or_note
E1P-G10-0,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G10-0,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G10-0,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G10-0,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
E1P-G10-1,head,"[116.65, 113.65]",5.5,头下面 → 垫圈
E1P-G10-1,washer,"[113.65, 113.15]",6,纵梁外腹面 y=-113.150（承压面 Ø6 环）
E1P-G10-1,outer_wall,"[113.15, 111.15]",2,纵梁管外壁
E1P-G10-1,anti_crush_sleeve,"[111.15, 103.15]",4.0,套两端面 → 内外壁内侧面（防压/承压）
E1P-G10-1,inner_wall,"[103.15, 101.15]",2,纵梁管内壁
E1P-G10-1,beam_end_thread,"[101.15, 93.15]",,B件端面盲孔；THREADLESS_ENVELOPE；承压面=端面贴合面
