asset,role,urdf_link,path,triangles,deflection_mm,frame,posed_by,authoritative,authority_note
Central_Boss,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Central_Boss.stl,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Front_Bay,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Front_Bay.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Mid_Bay,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Mid_Bay.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Deck_Rear_Bay,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Deck_Rear_Bay.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Front_End_Frame,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Front_End_Frame.stl,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Front_Transverse_Frame,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Front_Transverse_Frame.stl,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Fwd_Saddle,SADDLE_PLACEHOLDER,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Fwd_Saddle.stl,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
HDRM_Base_1_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_1_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_1_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_1_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_2_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_2_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Base_2_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Base_2_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_1_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_1_Left.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_1_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_1_Right.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_2_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_2_Left.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
HDRM_Rod_2_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\HDRM_Rod_2_Right.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hard_Stop_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hard_Stop_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hard_Stop_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hard_Stop_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Passage,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Passage.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Service_Loop_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Service_Loop_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Harness_Service_Loop_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Harness_Service_Loop_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_1_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_1_Left.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_1_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_1_Right.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_2_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_2_Left.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Ear_2_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Ear_2_Right.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Pin_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Pin_Left.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Hinge_Pin_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Hinge_Pin_Right.stl,140,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Launch_Lock_Interface_Reference,REFERENCE_ONLY,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Launch_Lock_Interface_Reference.stl,48,0.5,spacecraft_assembly_frame,static,False,REFERENCE ONLY -- must never be used as physical collision evidence
Load_Bridge_Left,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Bridge_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Load_Bridge_Right,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Bridge_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Load_Spreading_Frame,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Load_Spreading_Frame.stl,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Longerons_4X,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Longerons_4X.stl,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Maintenance_Access_Cover,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Maintenance_Access_Cover.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Mid_Saddle,SADDLE_PLACEHOLDER,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Mid_Saddle.stl,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
Mid_Transverse_Frame_,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Mid_Transverse_Frame_.stl,192,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Rear_End_Frame,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Rear_End_Frame.stl,96,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Release_Clearance_Envelope,REFERENCE_ONLY,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Release_Clearance_Envelope.stl,12,0.5,spacecraft_assembly_frame,static,False,REFERENCE ONLY -- must never be used as physical collision evidence
Root_Base_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Base_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Base_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Base_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Node_Spine_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Node_Spine_Left.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Root_Node_Spine_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Root_Node_Spine_Right.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Spacecraft_Flange,ARM_MOUNT_INTERFACE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Spacecraft_Flange.stl,304,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_1_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_1_Left.stl,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_1_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_1_Right.stl,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_2_Left,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_2_Left.stl,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Torsion_Spring_2_Right,BUS_STRUCTURE,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Torsion_Spring_2_Right.stl,288,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
WING_L_DEPLOYED,SOLAR_WING,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\WING_L_DEPLOYED.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
WING_R_DEPLOYED,SOLAR_WING,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\WING_R_DEPLOYED.stl,12,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
