item,path,sha256_short,frame_role,owning_authority,current_consumer,notes
m3r_frame_to_flange_transform,"20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_FRAME_TO_FLANGE_TRANSFORM.json",29303BA65DFD,GEOMETRY,"M3R gate","V5R SYSTEM_FRAME_TREE B601_AS_BUILT_PATTERN_DATUM","translation_xyz_mm [25.155,0.015994151,-0.08636607] + rotation_about_x_deg 25.000014; CONSUMER CAUTION: translation is expressed along the stack axis (S-axes at M origin): naive composition T_dyn(mm)@T_M_flange misplaces the datum by 25.07mm vs M4 M3R_LOCAL; MPI-FB-02 must pin composition semantics before any use"
v5r_system_frame_tree,"20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/SYSTEM_FRAME_TREE.yaml",71A9FFFAA30A,PHYSICAL,"V5R rapid mechanical closure neutral package","neutral package consumers","M_FRAME marked TBD HOLD_ROOT_TO_M_FRAME_NOT_REASSERTED_BY_NEUTRAL_PACKAGE; arm_base_frame 208.0mm + rounded clock 0.422618/0.906308; B601_AS_BUILT_PATTERN_DATUM parented under the TBD M_FRAME (parent-chain caution); equals accepted URDF base_link nominal frame claim for arm_base_frame"
scene_manifest_a0_eq_m,"20_engineering/config/visualization/scene_manifest_v1.yaml",24CBE7349295,SIMULATION,"E1.5 visualization scene manifest (display nominal)","pregrasp scene candidate P1_tc00_v10mm_pose_6d -> B601_NAMED_POSE_REVALIDATION pregrasp_scene_candidate -> WP2 V2/V3_R2 arm rows C07..C09","A0 == M identity at T_SM (185.25mm + Ry90); this is the ODR01-dynamics rail of the mixed ledger; CONFLICT_CANDIDATE"
urdf_base_frame_a0,"20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf",1BC2B7483CD8,DYNAMICS,"L0 accepted URDF (never overridden; 4 repository copies bit-identical)","all kinematics and arm mass consumers","header comment: base frame A0 = base_link; mount T_MA0 = identity nominal; +Z_A0 = +Z_M = reach direction; URDF inertial mass sum 4.695555949342986 kg (L0 pin)"
urdf_link_inertials,"20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf",1BC2B7483CD8,MASS_PROPERTY,"L0 accepted URDF","WP13 R2 contract dynamics.link_inertia; WP2 via named-pose revalidation","per-link m/CG/inertia expressed in link-local frames; vendor/model values; AS_BUILT_ARM_METROLOGY_HOLD carried (no hardware weighed)"
wp2_v3r2_system_mass,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml",3FD2557318E9,MASS_PROPERTY,"WP2 (ODR-20/ODR-25, R2-WI-05.2)","wp10 V5_R2 design_mass_model_binding; wp13 R2 contract configurations; e21 execution input","C01..C09 mass/CG in frame S, inertia about system CG in S; arm member b601_complete_arm_including_gripper_urdf_links has MIXED placement context (C01..C06 physical-consumed, C07..C09 dynamics-consumed, e21 audit); CONFLICT_CANDIDATE"
wp2_v2_ledger,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V2.yaml",151474DCD2F4,MASS_PROPERTY,"WP2 (frozen R1-ledger-era document)","carried verbatim into V3_R2 non-solar members (e21 G06 verified exact)","same mixed arm placement context as V3_R2 (C01..C06 physical, C07..C09 dynamics); CONFLICT_CANDIDATE"
named_pose_revalidation,"20_engineering/F3R2_MECHANICAL_DIGITAL_PROTOTYPE_RELEASE_V1/11_validation/B601_NAMED_POSE_REVALIDATION_V1.json",68D0356F889E,MASS_PROPERTY,"M4 11_validation","M6 transform candidates arm_named_pose_bindings; WP2 arm members","base_transform_source = F3R2_ARM_INITIAL_POSE_V1.mount (physical rail, rounded clock) for named poses; pregrasp_scene_candidate CG [0.5452191319893124,0.00028415086978255945,-0.011459460126495074] matches ODR01 dynamics rail exactly (e21 C07..C09 rows); one file carries both rails; CONFLICT_CANDIDATE"
m6_transform_candidates,"20_engineering/F3R2_M6_CANDIDATE_AUTHORITY_CLOSURE_V1/wp2_mass_properties/CONFIGURATION_TRANSFORM_CANDIDATES_V1.yaml",F43D871FAA68,MASS_PROPERTY,"WP2 M6 (CANDIDATE_ONLY, not written back to any baseline)","WP2 V2/V3_R2 transform_ref targets","transform_library.arm_named_pose_bindings (Q_DEPLOYED_HOME / Q_STOW / Q_SERVICE_READY / PREGRASP_SCENE_CANDIDATE); preserved hold: M_FRAME / ROOT_TO_M_FRAME and load bridge transforms unresolved and unused there"
solar_r2_mass_properties,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/SOLAR_ARRAY_R2_MASS_PROPERTIES_V1.json",D5B7DD16532F,MASS_PROPERTY,"ODR-19 / R2-WI-05 stage 1 (ENGINEERING_CANDIDATE, not measured)","WP2 V3_R2 solar_array_r2_left/right members","wings expressed about S origin in S frame; bus-attached, does NOT pass through the arm mount bridge; R2 both wings 1.56 kg; legacy R1 panel forbidden in R2 runs"
m3r_mass_member,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml",3FD2557318E9,MASS_PROPERTY,"ODR-05 design budget 0.7619 kg + analytic ring+plate idealization","WP2 V2/V3_R2 ledgers; wp13 R2 contract","m3r_stage_a_plus_stage_b_budget_envelope CoM_S [0.2033879448873743,1.5994e-05,-8.6366e-05] placed by physical station stack (Stage A x 202.405..210.405mm; Stage B x 196..208mm); physical-placement-derived mass already expressed in S; bridge-consistency check required when system CG/inertia are re-aggregated under single semantics"
load_bridge_candidate_member,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp2_design_mass/SYSTEM_DESIGN_MASS_PROPERTIES_V3_R2.yaml",3FD2557318E9,MASS_PROPERTY,"M6 candidate (MATERIAL_DERIVED 702.195458 g, 6061-T6)","WP2 ledgers as candidate member (awaiting WP1 structure confirmation)","plate 160x160x10.75mm at x 185.25..196.0mm (astride the M station), clocked 25.000014deg about +X_S (4-fold tensor-invariant); candidate not authority; excluded from M3R budget"
legacy_24kg_and_r1_panel,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp10_mech_rl_v4/MECH_DYNAMICS_INTERFACE_V5_R2.yaml",9B6D8025D331,MASS_PROPERTY,"LEGACY_SIM11_PROVISIONAL","FORBIDDEN as input to any new R2-coupled dynamics run","legacy_simulation_reference_kg 24.0; R1 single-plate panel 0.3483933 kg each (0.227x0.200x0.006m); retained for historical sim_11/flexible_appendage_v1 reproduction only"
fea1_operational_loads,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp7_fea_operational/FEA1_EVIDENCE_V1.json",2E3FC1297785,SIMULATION,"WP7 (ODR-06 operational FEA only)","wp10 V5_R2 fea1_evidence_pointer; M7 release gate","frame_authority_odr_01: deck local z=0 maps to x_S=185.25mm; BC of record ENCASTRE on bus-side face at x_S=185.25 (ASSUMPTION_NOT_AUTHORITY, BC-BUS-001 HOLD); interface reactions/load path expressed in dynamics convention; CONFLICT_CANDIDATE whenever loads are mapped onto the physical fastener datum (210.405) or M3R geometry"
wp4_fastener_pattern,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp4_fastener_design/M3R_FASTENER_DESIGN_V1.yaml",876E58DA0D54,GEOMETRY,"WP4 contract (M7 execution plan)","wp10 V5_R2 joint_stiffness_candidate","M3R 4xHM4-75 group; arrangement 4x square 64x64mm; pcd_mm 90.509642; x_stations_mm [185.25,198.0,208.0,210.405]; stiffness values null (PENDING)"
urdf_collision_meshes,"20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf",1BC2B7483CD8,COLLISION,"L0 URDF (with WP11-F-01 finding)","must NOT be consumed raw","WP11 consumption rule: operational collision meshes must be re-exported from CAD through D_i; accepted-URDF base_link collision STL contains the owner-deleted 140x200x14.5mm desktop base plate (48.1% of base_link mesh volume) = phantom collision slab if used raw"
m5_link_local_surfaces,"20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/01_geometry_authority/B601_CAD_MESH_FRAME_DECISION_V1.json",2A99484C6CE5,COLLISION,"M5 geometry authority","clearance analysis; sim geometry boundary","CAD link surfaces localized via inv(T_S_link(q0)); the mount chain consumed the rounded clock spelling (24.999981252deg) per T_link_from_assembly_at_q0 rows; use_limit SOURCE_BOUND_SURFACE_AND_CONSERVATIVE_BROADPHASE_ONLY"
wp11_di_link_calibration,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp11_cad_urdf_registration/B601_CAD_URDF_GEOMETRY_CALIBRATION_V1.yaml",7463C1309C35,GEOMETRY,"WP11 (ODR-10 option O2-A)","collision mesh re-export; CAD-to-URDF link mapping; Gate criterion 18","D_i = inv(T_URDF_i)*T_CAD_i pure translation per link (norm 0.0828..3.9095mm), rotation identity (tested and rejected); this is the LINK-LEVEL bridge, distinct from the mount-level T_PHYSICAL_TO_DYNAMIC; the two must compose, not substitute"
e21_authority_contract,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/00_authority/E21_AUTHORITY_CONTRACT_V1.yaml",7D2E0792B3FF,DYNAMICS,"e21 00_authority (CURRENT_M7_R2_NON_RELEASE_DIAGNOSTIC_ONLY)","e21; this MPI-FB work package","the two explicit transform_S_A0 hypotheses (ODR01_DYNAMICS_T_SM and WP11_PHYSICAL_GEOMETRY_CONTEXT), both selected=false; averaging_forbidden=true; branch_delta_is_uncertainty=false; single_consumption_semantics_resolved=false"
e21_odr01_lane,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_ODR01_DYNAMICS_T_SM__M07_ARM_ONLY_RADAU_SUMMARY_V1.json",C575F1D4F4CD,SIMULATION,"e21 (non-release diagnostic)","V5 loop gate evidence","T_dyn consumption lane: peak/final base attitude deviation 29.041965867604112 deg; initial mass properties close V3_R2 C07 exactly (cg_error 0.0, inertia max_abs 4.44e-16); Radau rtol 1e-10 atol 1e-12"
e21_wp11_lane,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_WP11_PHYSICAL_GEOMETRY_CONTEXT__M07_ARM_ONLY_RADAU_SUMMARY_V1.json",55DC3E9E36FC,SIMULATION,"e21 (non-release diagnostic)","V5 loop gate evidence","T_phys consumption lane: peak/final base attitude deviation 29.41085537835705 deg; vs V3_R2 C07 cg_error_norm 0.003524348142565558 m / inertia max_abs 0.10311953522836159 kg m2 (ledger C07 is ODR01-consumed)"
e21_two_placement_delta,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_TWO_PLACEMENT_RIGID_DYNAMICS_SENSITIVITY_V1.json",7AB105046E58,SIMULATION,"e21","V5 loop gate; owner directive ODR-43 trigger","physical_minus_odr01 peak base attitude deviation 0.3688895107529362 deg = frame-consumption ambiguity; standard_uncertainty=null; branches neither selected nor averaged; NOT an uncertainty bound"
e21_nine_config_audit,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_NINE_CONFIGURATION_ARM_PLACEMENT_AUDIT_V1.json",FCCE9EFBD401,MASS_PROPERTY,"e21","V5 loop gate; this matrix","2 ledgers x 9 configurations x 2 hypotheses = 36 evaluations: C01..C06 arm rows match WP11 physical context (residual ~1.1e-4 mm = rounded-clock spelling), C07..C09 match ODR01 dynamics exactly; verdict MIXED_LEDGER_ARM_PLACEMENT_CONTEXT_DETECTED__CONSUMPTION_SEMANTICS_UNRESOLVED_HOLD"
e21_fixed_residual,"30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_C07_R2_DEPLOYED_LOCKED_FIXED_RESIDUAL_V1.json",2E24233D2B14,MASS_PROPERTY,"e21","both e21 lanes (independent model objects)","fixed residual = bus + M3R + bridge + deployed-locked rigid R2 wings: 26.327308858000002 kg, CG_S [0.010266130108057487,8.89e-07,-0.005359357538727181], inertia SPD (min eig 0.43063326205846986); complete arm subtracted at ODR01 placement"
v5_loop_gate,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/15_loop_continuation_v5/MECHANICAL_LOOP_ENGINEERING_CONTINUATION_GATE_V5.json",EB7F9AA14E5F,SIMULATION,"ecr_b601_harness loop continuation","current true frontier (Mechanical Loop V5)","gate HOLD; released_segments=0; fail-closed invariants include: no single dynamics consumption rule selected; ODR-01 and WP11 branches not selected/averaged/merged/treated as uncertainty"
m7_release_gate_a,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/12_release/MECHANICAL_ENGINEERING_RELEASE_GATE_V1.json",2D9C8580701B,SIMULATION,"M7 12_release","Gate A shape reference","overall 5 PASS + 12 PASS_WITH_DECLARED_OPEN_ITEM + 1 HOLD; blocking-hold scan: ROOT_TO_M ambiguous absent=true; terminal_release_condition all_met=false"
f3p3_tsm_dual_track_history,"40_evidence/c1_evidence/F3_P3_T_SM_DUAL_TRACK.md",E1FB9374DB0B,GEOMETRY,"F3-P3 ruling (2026-08-05)","historical context only","Mode A display track T_SM=198mm vs Mode B dynamics track 185.25mm retained as mutually exclusive branches; semantics later superseded by ODR-01 + M3R station stack (198.0 = adapter plate outer face, not a mount plane)"
sim05_solver_t_sm,"30_simulation/sim_05_free_floating_arm/b601_model.py",3E2B451476F4,SIMULATION,"sim_05 (frozen per D-2; DO NOT change)","e17 trajectories; e21 both lanes (execution solver); sim_11 lineage","T_SM_t=[0.18525,0,0] m, R_SM=Ry(+90deg); fk default T_base=T_SM_4x4(); transform_inertial() applies mount-level mass-property transform; this is the dynamics consumer path"
sim11_coupled_lineage,"30_simulation/sim_11_coupled_dynamics/src/coupled_dynamics.py",B87270418728,SIMULATION,"sim_11 v1.1 (GATES_PASS_WITH_PROVISIONAL_PARAMS)","e21 read-only method lineage","coupled dynamics method reference consuming the M-frame convention; scene A2 / contact window excluded from e21 and from this work package"
m7_terminal_contract,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_TERMINAL_CLOSURE_CONTRACT_V1.yaml",5602CB6FC3DC,DYNAMICS,"M7 00_authority","all M7 work packages","top-level terminal closure contract; parent of the ODR register; frame authority enters via ODR-01"
frame_registry_snapshot,"40_evidence/artifacts/visualization/tables/frame_registry_v1.csv",637DBDE5FF4E,GEOMETRY,"40_evidence visualization pipeline","research dashboard (display only)","registry: M at [0.18525,0,0] quat [0.707106781187,0,0.707106781187,0]; E/T/D/G1..G3 display frames; B default identity unverified"
arm_mount_v1_legacy_adapter,"20_engineering/config/geometry/arm_mount_v1.yaml",B08A0F28E4C4,GEOMETRY,"geometry SSOT (decision D-1 baseline interface)","legacy v0 adapter references","frame_M: see frame_tree_v1.yaml (T_SM nominal_frozen_v1); adapter 160x160x12mm + boss dia100x15mm, mass 1.2kg; v0 adapter superseded by M3R two-stage design (ODR-05 budget)"
wp10_v5r2_interface,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp10_mech_rl_v4/MECH_DYNAMICS_INTERFACE_V5_R2.yaml",9B6D8025D331,DYNAMICS,"WP10 contract (M7 design authority extension layer)","e21 input boundary (hash-pinned); wp13; sim15 binding pattern via V3","frame_authority: ODR-01 M frame carried byte-identical from V4; physical_feature_stack stations_mm {plate_outer_face 198.0, physical_mounting_face 208.0, screw_end_faces 210.405} rule: must not become a second dynamics frame definition"
wp13_r2_embodied_contract,"20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/wp13_embodied_contract/EMBODIED_MECHANICAL_CONTRACT_R2.yaml",5DDA627794A4,DYNAMICS,"WP13 (ODR-15/ODR-10 O2-A/ODR-01/ODR-07 + ECR-SOLAR-ARRAY-R2)","dynamics -> control -> safety shield -> RL handoff","authority_hierarchy: kinematics and arm mass = ACCEPTED_URDF L0; system mass = WP2 V3_R2 DESIGN model; physical geometry = M7 CAD; bridge = B601_CAD_URDF_GEOMETRY_CALIBRATION_V1 (D_i); carries C01..C09 from V3_R2 hence inherits the mixed arm placement context; CONFLICT_CANDIDATE"
m07_trajectory_input,"30_simulation/e17_b601_mission_trajectory_candidates/results/candidates/M07_22_ARM_ONLY_QUINTIC_V1.csv",8AFBE9B95E10,SIMULATION,"e17 (non-release)","e21 execution input (both lanes)","451 rows q/qd/qdd reproduced to 9.33e-15 rad (e21 G07); all rows non-release; no gripper/contact/target fields consumed"
