interface_id,assembly,feature_type,feature_description,frame,unit,x_mm,y_mm,z_reference_mm,axis_direction,z_min_mm,z_max_mm,hole_or_bore_d_mm,outer_d_mm,nominal_rod_d_mm,bbox_min_xyz_mm,bbox_max_xyz_mm,bbox_size_xyz_mm,source_json,source_pointer,source_sha256,derivation,nominal_scope,material,torque_nm,thread_effective_engagement_mm,tolerance,locking_method,open_issue
EPS_POST_1,EPS,TUBULAR_SUPPORT,抬高支柱名义外径/内径/标高,S_WORLD_MM,mm,-49,-8,,S+Z,-8.5,53,3.4,8,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_support,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,XY来自eps_mount_xy同序项；Z/OD/ID来自eps_support,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/端面公差/预紧力待定
EPS_ROD_1,EPS,SMOOTH_ROD_PROXY,M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-49,-8,,S+Z,-17.5,61.5,,,3.0,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_HOST_1_ROD/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,Z范围与横向尺寸由杆体bbox读取；不代表螺纹几何,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,M3 nominal smooth custom tie-rod; thread class/material/locking not released
EPS_TRAY_AXIS_2,EPS,HOST_ATTACHMENT_AXIS,托盘/上甲板连接名义轴,S_WORLD_MM,mm,-154,80,53,S+Z,53,55,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_mount_xy/2,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不是PCB固定孔；托盘通孔直径未在本合同显式字段给出
EPS_POST_2,EPS,TUBULAR_SUPPORT,抬高支柱名义外径/内径/标高,S_WORLD_MM,mm,-154,80,,S+Z,-8.5,53,3.4,8,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_support,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,XY来自eps_mount_xy同序项；Z/OD/ID来自eps_support,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/端面公差/预紧力待定
EPS_ROD_2,EPS,SMOOTH_ROD_PROXY,M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-154,80,,S+Z,-17.5,61.5,,,3.0,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_HOST_2_ROD/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,Z范围与横向尺寸由杆体bbox读取；不代表螺纹几何,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,M3 nominal smooth custom tie-rod; thread class/material/locking not released
EPS_TRAY_AXIS_3,EPS,HOST_ATTACHMENT_AXIS,托盘/上甲板连接名义轴,S_WORLD_MM,mm,-52,80,53,S+Z,53,55,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_mount_xy/3,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不是PCB固定孔；托盘通孔直径未在本合同显式字段给出
EPS_POST_3,EPS,TUBULAR_SUPPORT,抬高支柱名义外径/内径/标高,S_WORLD_MM,mm,-52,80,,S+Z,-8.5,53,3.4,8,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/eps_support,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,XY来自eps_mount_xy同序项；Z/OD/ID来自eps_support,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,材料/端面公差/预紧力待定
EPS_ROD_3,EPS,SMOOTH_ROD_PROXY,M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-52,80,,S+Z,-17.5,61.5,,,3.0,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\results\EMISSION_V6.json,/parts/P60_HOST_3_ROD/bbox_mm,96991cdd219a7dbc85804b463a79e88073cb259ed74774017ed535d5501067cd,Z范围与横向尺寸由杆体bbox读取；不代表螺纹几何,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,M3 nominal smooth custom tie-rod; thread class/material/locking not released
CLAMP_PWR_CABLE_0,PWR_CLAMP,CABLE_BORE_AXIS,线夹通道轴；仅几何支承预留,S_WORLD_MM,mm,-40,69,45,S+X,,,8,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,通道中心Z为上下半夹分界面；孔径来自clamp,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,6mm线束外径为占位；8mm孔并不提供夹紧预载，衬垫未定义
CLAMP_PWR_FASTENER_0,PWR_CLAMP,HOST_ATTACHMENT_AXIS,线夹上下半及支柱共轴宿主连接,S_WORLD_MM,mm,-40,59,,S+Z,38,52,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/0/stud_ys/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不从支柱内径推定夹体通孔公差；夹紧力/螺纹/扭矩/防松未知
CLAMP_PWR_POST_0,PWR_CLAMP,TUBULAR_SUPPORT,线夹支柱名义外径/内径/标高,S_WORLD_MM,mm,-40,59,,S+Z,-8.5,38,3.4,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,支柱材料/端面公差/预紧力待定
CLAMP_PWR_ROD_0,PWR_CLAMP,SMOOTH_ROD_PROXY,线夹M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-40,59,,S+Z,-17.5,58.5,,,3,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,"M3 nominal smooth proxy, thread form/class/material/locking pending; custom rod, not sourced M3x70 screw"
CLAMP_PWR_FASTENER_1,PWR_CLAMP,HOST_ATTACHMENT_AXIS,线夹上下半及支柱共轴宿主连接,S_WORLD_MM,mm,-40,79,,S+Z,38,52,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/0/stud_ys/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不从支柱内径推定夹体通孔公差；夹紧力/螺纹/扭矩/防松未知
CLAMP_PWR_POST_1,PWR_CLAMP,TUBULAR_SUPPORT,线夹支柱名义外径/内径/标高,S_WORLD_MM,mm,-40,79,,S+Z,-8.5,38,3.4,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,支柱材料/端面公差/预紧力待定
CLAMP_PWR_ROD_1,PWR_CLAMP,SMOOTH_ROD_PROXY,线夹M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,-40,79,,S+Z,-17.5,58.5,,,3,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,"M3 nominal smooth proxy, thread form/class/material/locking pending; custom rod, not sourced M3x70 screw"
CLAMP_DUAL_CABLE_0,DUAL_CLAMP,CABLE_BORE_AXIS,线夹通道轴；仅几何支承预留,S_WORLD_MM,mm,100,56,45,S+X,,,8,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,通道中心Z为上下半夹分界面；孔径来自clamp,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,6mm线束外径为占位；8mm孔并不提供夹紧预载，衬垫未定义
CLAMP_DUAL_CABLE_1,DUAL_CLAMP,CABLE_BORE_AXIS,线夹通道轴；仅几何支承预留,S_WORLD_MM,mm,100,69,45,S+X,,,8,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,通道中心Z为上下半夹分界面；孔径来自clamp,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,6mm线束外径为占位；8mm孔并不提供夹紧预载，衬垫未定义
CLAMP_DUAL_FASTENER_0,DUAL_CLAMP,HOST_ATTACHMENT_AXIS,线夹上下半及支柱共轴宿主连接,S_WORLD_MM,mm,100,46,,S+Z,38,52,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/1/stud_ys/0,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不从支柱内径推定夹体通孔公差；夹紧力/螺纹/扭矩/防松未知
CLAMP_DUAL_POST_0,DUAL_CLAMP,TUBULAR_SUPPORT,线夹支柱名义外径/内径/标高,S_WORLD_MM,mm,100,46,,S+Z,-8.5,38,3.4,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,支柱材料/端面公差/预紧力待定
CLAMP_DUAL_ROD_0,DUAL_CLAMP,SMOOTH_ROD_PROXY,线夹M3名义自定义拉杆光杆代理,S_WORLD_MM,mm,100,46,,S+Z,-17.5,58.5,,,3,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,"M3 nominal smooth proxy, thread form/class/material/locking pending; custom rod, not sourced M3x70 screw"
CLAMP_DUAL_FASTENER_1,DUAL_CLAMP,HOST_ATTACHMENT_AXIS,线夹上下半及支柱共轴宿主连接,S_WORLD_MM,mm,100,79,,S+Z,38,52,,,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp_stations/1/stud_ys/1,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,不从支柱内径推定夹体通孔公差；夹紧力/螺纹/扭矩/防松未知
CLAMP_DUAL_POST_1,DUAL_CLAMP,TUBULAR_SUPPORT,线夹支柱名义外径/内径/标高,S_WORLD_MM,mm,100,79,,S+Z,-8.5,38,3.4,12,,,,,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\inputs\INTEGRATION_HARNESS_CONTRACT_V6.json,/clamp,e37971f060b4b06c3193ac9d39b02593e501f0ea7235620090dbefeb4a69cdb4,,NOMINAL_GEOMETRY_ONLY_NOT_MANUFACTURING_RELEASE,,,,,,支柱材料/端面公差/预紧力待定
