Endpoint,Net
Q303.1,WP10_BRAKE_GATE_3
Q303.2,WP10_BRAKE_BRANCH_3
Q303.3,WP10_ARM_RETURN
R101.1,WP10_BRAKE_STOP_3V3
R101.2,WP10_BRAKE_THERMAL_FAULT_N
R102.1,/Actual watchdog and contactor driver/EN_STOP
R102.2,WP10_ARM_RETURN
R103.1,/Actual watchdog and contactor driver/WDI
R103.2,WP10_ARM_RETURN
R104.1,/Actual watchdog and contactor driver/HEARTBEAT_IN
R104.2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER
R105.1,WP10_STOP_24V
R105.2,/Actual watchdog and contactor driver/SENSE_24V
R106.1,/Actual watchdog and contactor driver/SENSE_24V
R106.2,WP10_ARM_RETURN
R107.1,/Actual watchdog and contactor driver/RESET_CONTACT
R107.2,/Actual watchdog and contactor driver/RESET_RC
R108.1,/Actual watchdog and contactor driver/START_CONTACT
R108.2,/Actual watchdog and contactor driver/START_RC
R109.1,/Actual watchdog and contactor driver/RESET_RC
R109.2,WP10_ARM_RETURN
R110.1,/Actual watchdog and contactor driver/START_RC
R110.2,WP10_ARM_RETURN
R111.1,/Actual watchdog and contactor driver/RUN_LATCH
R111.2,/Actual watchdog and contactor driver/RUN_DRIVE
R112.1,/Actual watchdog and contactor driver/RUN_DRIVE
R112.2,WP10_ARM_RETURN
R113.1,/Actual watchdog and contactor driver/GATE_DRV
R113.2,/Actual watchdog and contactor driver/K1_GATE
R114.1,/Actual watchdog and contactor driver/K1_GATE
R114.2,WP10_ARM_RETURN
R115.1,WP10_LEGACY_079
R115.2,/Actual watchdog and contactor driver/AUX_DIV
R116.1,/Actual watchdog and contactor driver/AUX_DIV
R116.2,/Actual watchdog and contactor driver/AUX_SENSE
R117.1,/Actual watchdog and contactor driver/BUS_MONITOR_OK
R117.2,WP10_ARM_RETURN
R118.1,/Actual watchdog and contactor driver/HW_PERMIT_IN
R118.2,WP10_ARM_RETURN
R119.1,/Actual watchdog and contactor driver/HEARTBEAT_FILTER
R119.2,WP10_ARM_RETURN
R120.1,/Actual watchdog and contactor driver/MCU_VIO
R120.2,/Actual watchdog and contactor driver/RUN_STATUS_MCU
R121.1,/Actual watchdog and contactor driver/MCU_VIO
R121.2,/Actual watchdog and contactor driver/SAFE_STATUS_MCU
R122.1,/Actual watchdog and contactor driver/MCU_VIO
R122.2,/Actual watchdog and contactor driver/AUX_STATUS_MCU
R123.1,/Actual watchdog and contactor driver/RUN_LATCH
R123.2,WP10_ARM_RETURN
R124.1,WP10_BRAKE_STOP_3V3
R124.2,WP10_ARM_RETURN
R125.1,/Actual watchdog and contactor driver/STOP_5V
R125.2,WP10_ARM_RETURN
R130.1,/Actual watchdog and contactor driver/AUX_DIV
R130.2,WP10_ARM_RETURN
R180.1,/Actual watchdog and contactor driver/STOP_5V
R180.2,/Actual watchdog and contactor driver/RUN_INHIBIT_5V
R181.1,WP10_BRAKE_THERMAL_FAULT_N
R181.2,WP10_ARM_RETURN
R201.1,WP10_MAIN_FUSED
R201.2,WP10_SENSE_MID
R202.1,WP10_SENSE_MID
R202.2,WP10_MAIN_SENSE
R203.1,WP10_MAIN_FUSED
R203.2,WP10_HS_UVLO
R204.1,WP10_HS_UVLO
R204.2,WP10_INPUT_RETURN
R205.1,WP10_MAIN_FUSED
R205.2,WP10_HS_OVLO
R206.1,WP10_HS_OVLO
R206.2,WP10_INPUT_RETURN
R207.1,WP10_HS_POWER_LIMIT
R207.2,WP10_INPUT_RETURN
R211.1,WP10_STARTUP_BIAS
R211.2,WP10_STARTUP_ADJ
R212.1,WP10_STARTUP_ADJ
R212.2,WP10_INPUT_RETURN
R213.1,WP10_STARTUP_BIAS
R213.2,WP10_INPUT_RETURN
R214.1,WP10_STARTUP_BIAS
R214.2,WP10_HS_PGD
R215.1,WP10_MAIN_FUSED
R215.2,WP10_STARTUP_INPUT_SENSE
R216.1,WP10_STARTUP_INPUT_SENSE
R216.2,WP10_INPUT_RETURN
R217.1,WP10_STARTUP_BIAS
R217.2,WP10_CHB_ENABLE_GATE
R218.1,WP10_CHB_ENABLE_GATE
R218.2,WP10_INPUT_RETURN
R219.1,WP10_PRECHARGED_PLUS
R219.2,WP10_CHB_ENABLE
R220.1,WP10_STARTUP_PG_RECEIVER
R220.2,WP10_INPUT_RETURN
R221.1,WP10_HS_PGD
R221.2,WP10_STARTUP_PG_RECEIVER
R223.1,WP10_AUX_ILIM
R223.2,WP10_AUX_PROTECT_RTN
R224.1,WP10_AUX_MODE
R224.2,WP10_AUX_PROTECT_RTN
R225.1,WP10_AUX_LIMITED
R225.2,WP10_AUX_UV_SENSE
R226.1,WP10_AUX_UV_SENSE
R226.2,WP10_INPUT_RETURN
R227.1,WP10_AUX_REMOTE_BIAS
R227.2,WP10_THN_REMOTE
R229.1,WP10_AUX_REMOTE_BIAS
R229.2,WP10_AUX_REMOTE_ADJ
R230.1,WP10_AUX_REMOTE_ADJ
R230.2,WP10_INPUT_RETURN
R231.1,WP10_AUX_REMOTE_BIAS
R231.2,WP10_INPUT_RETURN
R301.1,WP10_BRAKE_12V
R301.2,WP10_BRAKE_BIAS_ADJ
R302.1,WP10_BRAKE_BIAS_ADJ
R302.2,WP10_ARM_RETURN
R303.1,WP10_BRAKE_12V
R303.2,WP10_BRAKE_BIAS_PG
R304.1,WP10_BRAKE_12V
R304.2,WP10_ARM_RETURN
R305.1,WP10_ARM_BUS_PLUS
R305.2,WP10_BRAKE_OV_DIV
R306.1,WP10_BRAKE_OV_DIV
R306.2,WP10_ARM_RETURN
R307.1,WP10_BRAKE_12V
R307.2,WP10_BRAKE_OV_N
R308.1,WP10_BRAKE_12V
R308.2,WP10_BRAKE_READY_DIV
R309.1,WP10_BRAKE_READY_DIV
R309.2,WP10_ARM_RETURN
R310.1,WP10_BRAKE_BIAS_READY
R310.2,WP10_ARM_RETURN
R311.1,WP10_BRAKE_GATE_SOURCE
R311.2,WP10_BRAKE_GATE_1
R312.1,WP10_BRAKE_GATE_SINK
R312.2,WP10_BRAKE_GATE_1
R313.1,WP10_BRAKE_GATE_1
R313.2,WP10_ARM_RETURN
R314.1,WP10_BRAKE_GATE_SOURCE
R314.2,WP10_BRAKE_GATE_2
R315.1,WP10_BRAKE_GATE_SINK
R315.2,WP10_BRAKE_GATE_2
R316.1,WP10_BRAKE_GATE_2
R316.2,WP10_ARM_RETURN
R317.1,WP10_BRAKE_GATE_SOURCE
R317.2,WP10_BRAKE_GATE_3
R318.1,WP10_BRAKE_GATE_SINK
R318.2,WP10_BRAKE_GATE_3
R319.1,WP10_BRAKE_GATE_3
R319.2,WP10_ARM_RETURN
R341.1,WP10_BRAKE_STOP_3V3
R341.2,WP10_BRAKE_TEMP_1
R342.1,WP10_BRAKE_TEMP_1
R342.2,WP10_BRAKE_TEMP_OPEN_1
R343.1,WP10_BRAKE_TEMP_OPEN_1
R343.2,WP10_ARM_RETURN
R344.1,WP10_BRAKE_STOP_3V3
R344.2,WP10_BRAKE_TEMP_2
R345.1,WP10_BRAKE_TEMP_2
R345.2,WP10_BRAKE_TEMP_OPEN_2
R346.1,WP10_BRAKE_TEMP_OPEN_2
R346.2,WP10_ARM_RETURN
R347.1,WP10_BRAKE_STOP_3V3
R347.2,WP10_BRAKE_TEMP_3
R348.1,WP10_BRAKE_TEMP_3
R348.2,WP10_BRAKE_TEMP_OPEN_3
R349.1,WP10_BRAKE_TEMP_OPEN_3
R349.2,WP10_ARM_RETURN
RB301.1,WP10_ARM_BUS_PLUS
RB301.2,WP10_BRAKE_BRANCH_1
RB302.1,WP10_ARM_BUS_PLUS
RB302.2,WP10_BRAKE_BRANCH_2
RB303.1,WP10_ARM_BUS_PLUS
RB303.2,WP10_BRAKE_BRANCH_3
RT311.1,WP10_BRAKE_TEMP_1
RT311.2,WP10_ARM_RETURN
RT312.1,WP10_BRAKE_TEMP_2
RT312.2,WP10_ARM_RETURN
RT313.1,WP10_BRAKE_TEMP_3
RT313.2,WP10_ARM_RETURN
TP201.1,WP10_HS_PGD
U1.X1.TFM.1,WP10_LEGACY_051
U1.X1.TFM.10,WP10_LEGACY_052
U1.X1.TFM.11,WP10_LEGACY_053
U1.X1.TFM.12,WP10_LEGACY_052
U1.X1.TFM.13,WP10_LEGACY_054
U1.X1.TFM.14,WP10_LEGACY_055
U1.X1.TFM.15,WP10_LEGACY_054
U1.X1.TFM.16,WP10_LEGACY_055
U1.X1.TFM.17,WP10_LEGACY_056
U1.X1.TFM.18,WP10_LEGACY_057
U1.X1.TFM.19,WP10_LEGACY_056
U1.X1.TFM.2,WP10_LEGACY_058
U1.X1.TFM.20,WP10_LEGACY_057
U1.X1.TFM.21,WP10_LEGACY_056
U1.X1.TFM.22,WP10_LEGACY_057
U1.X1.TFM.23,WP10_LEGACY_056
U1.X1.TFM.24,WP10_LEGACY_057
U1.X1.TFM.25,WP10_LEGACY_059
U1.X1.TFM.26,WP10_LEGACY_060
U1.X1.TFM.27,WP10_LEGACY_059
U1.X1.TFM.28,WP10_LEGACY_060
U1.X1.TFM.29,WP10_LEGACY_059
U1.X1.TFM.3,WP10_LEGACY_051
U1.X1.TFM.30,WP10_LEGACY_060
U1.X1.TFM.4,WP10_LEGACY_058
U1.X1.TFM.5,WP10_LEGACY_061
U1.X1.TFM.6,WP10_LEGACY_062
U1.X1.TFM.7,WP10_LEGACY_061
U1.X1.TFM.8,WP10_LEGACY_062
U1.X1.TFM.9,WP10_LEGACY_053
U10.TB2.1,unconnected-(U10-PadTB2.1)
U10.TB2.4,unconnected-(U10-PadTB2.4)
U101.1,WP10_BRAKE_STOP_3V3
U101.2,/Actual watchdog and contactor driver/CWD
U101.3,/Actual watchdog and contactor driver/EN_STOP
U101.4,WP10_ARM_RETURN
U101.5,WP10_BRAKE_STOP_3V3
U101.6,/Actual watchdog and contactor driver/WDI
U101.7,WP10_BRAKE_THERMAL_FAULT_N
U101.8,WP10_BRAKE_THERMAL_FAULT_N
U101.9,WP10_ARM_RETURN
U102.1,WP10_BRAKE_THERMAL_FAULT_N
U102.2,WP10_ARM_RETURN
U102.3,/Actual watchdog and contactor driver/STOP_5V
U102.4,unconnected-(U102-CT_OPEN-Pad4)
U102.5,WP10_BRAKE_STOP_3V3
U102.6,/Actual watchdog and contactor driver/STOP_5V
U103.1,WP10_BRAKE_THERMAL_FAULT_N
U103.2,WP10_ARM_RETURN
U103.3,WP10_BRAKE_STOP_3V3
U103.4,unconnected-(U103-CT_OPEN-Pad4)
U103.5,/Actual watchdog and contactor driver/STOP_5V
U103.6,WP10_BRAKE_STOP_3V3
U104.1,WP10_BRAKE_THERMAL_FAULT_N
U104.2,WP10_ARM_RETURN
U104.3,WP10_BRAKE_STOP_3V3
U104.4,unconnected-(U104-CT_OPEN-Pad4)
U104.5,/Actual watchdog and contactor driver/SENSE_24V
U104.6,WP10_BRAKE_STOP_3V3
U105.1,/Actual watchdog and contactor driver/RESET_RC
U105.2,WP10_ARM_RETURN
U105.3,/Actual watchdog and contactor driver/START_RC
U105.4,/Actual watchdog and contactor driver/START_EDGE
U105.5,WP10_BRAKE_STOP_3V3
U105.6,/Actual watchdog and contactor driver/RESET_EDGE
U106.1,unconnected-(U106-NC-Pad1)
U106.2,WP10_BRAKE_THERMAL_FAULT_N
U106.3,WP10_ARM_RETURN
U106.4,/Actual watchdog and contactor driver/SAFE_N
U106.5,WP10_BRAKE_STOP_3V3
U107.1,/Actual watchdog and contactor driver/SAFE_N
U107.10,WP10_BRAKE_STOP_3V3
U107.11,/Actual watchdog and contactor driver/START_EDGE
U107.12,/Actual watchdog and contactor driver/ARMED
U107.13,/Actual watchdog and contactor driver/RUN_CLEAR_N
U107.14,WP10_BRAKE_STOP_3V3
U107.2,/Actual watchdog and contactor driver/HB_SEEN
U107.3,/Actual watchdog and contactor driver/RESET_EDGE
U107.4,WP10_BRAKE_STOP_3V3
U107.5,/Actual watchdog and contactor driver/ARMED
U107.6,unconnected-(U107-1Q_N-Pad6)
U107.7,WP10_ARM_RETURN
U107.8,unconnected-(U107-2Q_N-Pad8)
U107.9,/Actual watchdog and contactor driver/RUN_LATCH
U108.1,/Actual watchdog and contactor driver/SAFE_N
U108.10,WP10_BRAKE_STOP_3V3
U108.11,WP10_ARM_RETURN
U108.12,WP10_ARM_RETURN
U108.13,WP10_ARM_RETURN
U108.14,WP10_BRAKE_STOP_3V3
U108.2,WP10_BRAKE_STOP_3V3
U108.3,/Actual watchdog and contactor driver/WDI_FALL
U108.4,WP10_BRAKE_STOP_3V3
U108.5,/Actual watchdog and contactor driver/HB_SEEN
U108.6,unconnected-(U108-1Q_N-Pad6)
U108.7,WP10_ARM_RETURN
U108.8,unconnected-(U108-2Q_N-Pad8)
U108.9,unconnected-(U108-2Q-Pad9)
U109.1,unconnected-(U109-NC-Pad1)
U109.2,/Actual watchdog and contactor driver/RESET_EDGE
U109.3,WP10_ARM_RETURN
U109.4,/Actual watchdog and contactor driver/RESET_N
U109.5,WP10_BRAKE_STOP_3V3
U11.BLOCKED_POS,WP10_LEGACY_051
U11.RET,WP10_LEGACY_058
U110.1,unconnected-(U110-NC-Pad1)
U110.2,/Actual watchdog and contactor driver/WDI
U110.3,WP10_ARM_RETURN
U110.4,/Actual watchdog and contactor driver/WDI_FALL
U110.5,WP10_BRAKE_STOP_3V3
U111.1,/Actual watchdog and contactor driver/SAFE_N
U111.2,/Actual watchdog and contactor driver/RESET_N
U111.3,WP10_ARM_RETURN
U111.4,/Actual watchdog and contactor driver/RUN_CLEAR_N
U111.5,WP10_BRAKE_STOP_3V3
U112.1,/Actual watchdog and contactor driver/STOP_5V
U112.2,WP10_ARM_RETURN
U112.3,WP10_BRAKE_THERMAL_FAULT_N
U112.4,/Actual watchdog and contactor driver/RUN_INHIBIT_5V
U112.5,/Actual watchdog and contactor driver/GATE_DRV
U113.1,unconnected-(U113-NC-Pad1)
U113.2,/Actual watchdog and contactor driver/AUX_SENSE
U113.3,WP10_ARM_RETURN
U113.4,/Actual watchdog and contactor driver/AUX_CLOSED_3V3
U113.5,WP10_BRAKE_STOP_3V3
U114.1,/Actual watchdog and contactor driver/HW_PERMIT_IN
U114.2,/Actual watchdog and contactor driver/BUS_MONITOR_OK
U114.3,WP10_ARM_RETURN
U114.4,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP
U114.5,WP10_BRAKE_STOP_3V3
U115.1,unconnected-(U115-NC-Pad1)
U115.2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER
U115.3,WP10_ARM_RETURN
U115.4,/Actual watchdog and contactor driver/WDI
U115.5,WP10_BRAKE_STOP_3V3
U116.1,unconnected-(U116-NC-Pad1)
U116.2,/Actual watchdog and contactor driver/RUN_LATCH
U116.3,WP10_ARM_RETURN
U116.4,/Actual watchdog and contactor driver/RUN_STATUS_MCU
U116.5,WP10_BRAKE_STOP_3V3
U117.1,unconnected-(U117-NC-Pad1)
U117.2,/Actual watchdog and contactor driver/SAFE_N
U117.3,WP10_ARM_RETURN
U117.4,/Actual watchdog and contactor driver/SAFE_STATUS_MCU
U117.5,WP10_BRAKE_STOP_3V3
U118.1,unconnected-(U118-NC-Pad1)
U118.2,/Actual watchdog and contactor driver/AUX_CLOSED_3V3
U118.3,WP10_ARM_RETURN
U118.4,/Actual watchdog and contactor driver/AUX_STATUS_MCU
U118.5,WP10_BRAKE_STOP_3V3
U119.1,unconnected-(U119-NC-Pad1)
U119.2,/Actual watchdog and contactor driver/RUN_DRIVE
U119.3,WP10_ARM_RETURN
U119.4,/Actual watchdog and contactor driver/RUN_INHIBIT_5V
U119.5,/Actual watchdog and contactor driver/STOP_5V
U12.BLOCKED_POS,WP10_LEGACY_061
U12.RET,WP10_LEGACY_062
U120.1,WP10_STOP_24V
U120.2,WP10_ARM_RETURN
U120.3,WP10_BRAKE_STOP_3V3
U121.1,WP10_STOP_24V
U121.2,WP10_ARM_RETURN
U121.3,/Actual watchdog and contactor driver/STOP_5V
U13.BLOCKED_POS,WP10_LEGACY_053
U13.RET,WP10_LEGACY_052
U14.BLOCKED_POS,WP10_LEGACY_054
U14.RET,WP10_LEGACY_055
U15.BLOCKED_POS,WP10_LEGACY_056
U15.RET,WP10_LEGACY_057
U16.BLOCKED_POS,WP10_LEGACY_059
U16.RET,WP10_LEGACY_060
U17.1,unconnected-(U17-Pad1)
U17.11,unconnected-(U17-Pad11)
U17.2,unconnected-(U17-Pad2)
U18.A,unconnected-(U18-PadA)
U18.B,unconnected-(U18-PadB)
U19.black,WP10_LEGACY_083
U19.orange,WP10_LEGACY_084
U19.red,WP10_LEGACY_085
U19.white,WP10_LEGACY_086
U19.yellow,WP10_LEGACY_087
U2.PBAT2.1,WP10_LEGACY_063
U2.PBAT2.10,WP10_LEGACY_064
U2.PBAT2.11,WP10_LEGACY_065
U2.PBAT2.12,WP10_LEGACY_066
U2.PBAT2.2,WP10_LEGACY_067
U2.PBAT2.3,WP10_LEGACY_068
U2.PBAT2.4,WP10_LEGACY_069
U2.PBAT2.5,WP10_LEGACY_070
U2.PBAT2.6,WP10_LEGACY_071
U2.PBAT2.7,WP10_LEGACY_072
U2.PBAT2.8,WP10_LEGACY_073
U2.PBAT2.9,WP10_LEGACY_074
U20.black,WP10_LEGACY_083
U20.orange,WP10_LEGACY_087
U20.red,WP10_LEGACY_086
U20.white,WP10_LEGACY_085
U20.yellow,WP10_LEGACY_084
U201.1,WP10_MAIN_SENSE
U201.10,WP10_MAIN_GATE
U201.2,WP10_MAIN_FUSED
U201.3,WP10_HS_UVLO
U201.4,WP10_HS_OVLO
U201.5,WP10_INPUT_RETURN
U201.6,WP10_HS_TIMER
U201.7,WP10_HS_POWER_LIMIT
U201.8,WP10_HS_PGD
U201.9,WP10_PRECHARGED_PLUS
U202.1,WP10_AUX_LIMITED
U202.2,WP10_INPUT_RETURN
U202.3,WP10_THN_REMOTE
U202.4,WP10_STOP_24V
U202.5,unconnected-(U202-TRIM_NC-Pad5)
U202.6,WP10_ARM_RETURN
U203.1,WP10_PRECHARGED_PLUS
U203.2,WP10_CHB_ENABLE
U203.4,WP10_INPUT_RETURN
U203.5,WP10_ARM_RETURN
U203.6,WP10_ARM_RETURN
U203.7,unconnected-(U203-TRIM_NC-Pad7)
U203.8,WP10_CHB_LOCAL_PLUS
U203.9,WP10_CHB_LOCAL_PLUS
U204.1,WP10_RB_DGATE
U204.10,WP10_RB_COMMON_DRAIN
U204.11,WP10_RB_CAP
U204.12,WP10_RB_COMMON_DRAIN
U204.2,WP10_CHB_LOCAL_PLUS
U204.3,WP10_RB_COMMON_DRAIN
U204.4,WP10_RB_COMMON_DRAIN
U204.5,WP10_ARM_RETURN
U204.6,WP10_RB_COMMON_DRAIN
U204.7,WP10_ARM_RETURN
U204.8,WP10_RB_HGATE
U204.9,WP10_RB_OUTPUT_PLUS
U204.EP,unconnected-(U204-FLOATING_PAD-PadEP)
U205.1,unconnected-(U205-NC-Pad1)
U205.10,WP10_PRECHARGED_PLUS
U205.11,WP10_PRECHARGED_PLUS
U205.12,unconnected-(U205-NC-Pad12)
U205.13,WP10_INPUT_RETURN
U205.2,WP10_STARTUP_BIAS
U205.3,WP10_STARTUP_BIAS
U205.4,WP10_STARTUP_ADJ
U205.5,WP10_INPUT_RETURN
U205.6,unconnected-(U205-PWRGD_NC-Pad6)
U205.7,WP10_INPUT_RETURN
U205.8,WP10_PRECHARGED_PLUS
U205.9,unconnected-(U205-NC-Pad9)
U206.1,WP10_CHB_ENABLE_GATE
U206.2,WP10_INPUT_RETURN
U206.3,WP10_STARTUP_PG_RECEIVER
