object_id,logical_role,source_candidate_id,source_geometry_path,source_geometry_sha256,geometry_representation,frame_id,frame_transform,unit,scale,operational_geometry_authority,allowed_stage_set,collision_group,adjacency_class,missing_reason,generation_method,owning_link,asset_path,asset_sha256,hausdorff_derate_mm,element_count,bounds_lo,bounds_hi
C::SEG-00_BUS_FEEDTHROUGH_AND_RISER,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_00_BUS_FEEDTHROUGH_AND_RISER_A0_MM_V1.npz,0BC64180F45AC90D4BEDE91BC4646D5D2A05703E5F9AB2BB6DF8BB0D13CB4B56,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-00_BUS_FEEDTHROUGH_AND_RISER_CAPSULES_V1.json,6D846540EB64E8B4CFCB9689D91CF00DB85F0581740BC7A152F3FEA12BB3CDDD,0.0,172,"[-65.57905454240668, -170.00505536898967, -75.00505536898969]","[4.9210553689896885, -21.39494463101032, 131.00505536898967]"
C::SEG-01_J1_ANNULAR_SERVICE_LOOP,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_01_J1_ANNULAR_SERVICE_LOOP_A0_MM_V1.npz,F3989EAFE413CC411F92E528F2E786A082C2744592D701FA790AA77F0D471B01,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-01_J1_ANNULAR_SERVICE_LOOP_CAPSULES_V1.json,4222D52E485A4E93266CCC0F4090A49AD0C6B4B043A9F1259E3062EDA50217B0,0.0,360,"[-71.08893040556993, -71.00407626983282, 120.9950678554103]","[70.917661244603, 86.6299321445897, 146.0366937173557]"
C::SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL_A0_MM_V1.npz,C8A8AE261F991D557E8311815B294E93545DA7051D92EFA78235CF7DF6F55201,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-02_J2_GUIDED_U_LOOP_AND_LINK2_CHANNEL_CAPSULES_V1.json,48D9A93A0D469EBFDB1A367BA6F8FE97A38762B7343400D6A8B2FBDFE9F0CD23,0.0,209,"[-260.00511282303165, 76.61988717696838, 24.996407106056065]","[75.00478095367012, 86.63011282303162, 152.00511282303162]"
C::SEG-03_J3_CARRIER_HYBRID_WRAP,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_03_J3_CARRIER_HYBRID_WRAP_A0_MM_V1.npz,52A46A08F96A6FFC122912ABE3AF9ED0AB16864AF8A6260877CEC9ED7923A172,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-03_J3_CARRIER_HYBRID_WRAP_CAPSULES_V1.json,BFBBD3C0E421DFAF1E748BF3D7DF608B7D617AD8FBB29FA86879606C8D7E870C,0.0,170,"[-325.0017674920041, 76.62049012668622, 11.996175725629389]","[-107.06963412668622, 86.62950987331378, 152.00450987331376]"
C::SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER_A0_MM_V1.npz,765BA9442375BA131EBFA46D70718B599ED8D069EF13AAF6F60115F687E28427,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-04_J4_CHAINLESS_TROMBONE_EXTERNAL_ANNULAR_FOLLOWER_CAPSULES_V1.json,DEDA0DE468855E9B4C5CA4F0012A54679CC03563BAF1C7BEFCAA2D031BFFE56C,0.0,681,"[-269.16646013175097, -201.24714672504393, 97.42314449151706]","[174.2621798905589, 261.00490648220193, 345.0051085084829]"
C::SEG-05_J5_WRIST_WRAP,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_05_J5_WRIST_WRAP_A0_MM_V1.npz,A3083E6DDF1FE78F99C1FB9EFE517971E14B437F1A45D304C8CAA4479E3322E7,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-05_J5_WRIST_WRAP_CAPSULES_V1.json,CB0F2A17E5A54372A0142A800E10E4F3B6E5E27601F76E3F3EA99F4DB17CDD6C,0.0,299,"[44.994949488034806, -210.004915387187, 186.69493860408105]","[270.16931310240295, 1.5397415071539573, 376.404365107745]"
C::SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_06_J6_HELICAL_WRAP_AND_WRIST_RUN_A0_MM_V1.npz,71AB4B1F8B12A5C0ABCE1DC95250111D116692CB2000DAEE71A850BD0C1ADB69,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-06_J6_HELICAL_WRAP_AND_WRIST_RUN_CAPSULES_V1.json,33B7213B36AA88D160B542A5F35E028559D2946A80F12765FF9251DC28FB5BED,0.0,462,"[99.99490732682057, -60.00509267317943, 131.69657023213216]","[267.00509267317943, 60.003429767867814, 251.70509267317942]"
C::SEG-07A_WRIST_TAIL_DATA,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_07A_WRIST_TAIL_DATA_A0_MM_V1.npz,2FA1850BF7F4E7BDA300698B84FA74BC9EB7CE54B9D105CCCD249012AEB3A6CF,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-07A_WRIST_TAIL_DATA_CAPSULES_V1.json,61395F6B593EB1B0F288D2FFCE90888A7B63D3355D6A1C5D84B05C32FDCBC40C,0.0,1,"[257.0, -60.0, 227.0]","[285.0, -25.0, 246.7]"
C::SEG-07B_WRIST_TAIL_POWER,C::LOGICAL_BUNDLE,ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_ROUTE_C_C9_ANALYTIC_CAPSULE_CANDIDATE_V1/03_runtime/C_SEG_07B_WRIST_TAIL_POWER_A0_MM_V1.npz,44A201AAA6376435184D10BA519CD3C3163DF491F6C664E1855BFC73F198F69A,ANALYTIC_CAPSULE_CHAIN_PARAMETERS,A0_Q0_REFERENCE,C_SECTION_POINT_LAWS,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES__ROUTE_C_CANDIDATE_SELECTED,C,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,C9_ANALYTIC_CAPSULE_CHAIN_EFFECTIVE_RADIUS,SECTION_HOSTS,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/C__SEG-07B_WRIST_TAIL_POWER_CAPSULES_V1.json,D1646EB743B7508386D9DC77861630B902A6B8BF94B0740A7571824D6CB0BCC8,0.0,1,"[257.0, -60.0, 236.7]","[287.0, -23.0, 255.0]"
F::BUS,F::PHYSICAL,M01_SYSTEM_COLLISION_REGISTRY_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_COLLISION_AUTHORITY_V1/system_registry/M01_SYSTEM_COLLISION_REGISTRY_V1.json,AC975D11CC4715277E34FCFF7ABF049BC57334FD8F03AAB223BBED0877B1694F,ANALYTIC_ENVELOPE_BOX_BREP,S,STATIC_S,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,F,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,REGISTRY_ANALYTIC_MAXIMUM_ENVELOPE_BOX,S_STATIC,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/F__BUS_OP_V1.brep,A4B640BD2ABB639D4BFEE8F14A5F4E459C6C7CD98D16272287F7386F311950A8,0.0,1,"[-183.0000001, -113.1500001, -113.1500001]","[183.0000001, 113.1500001, 113.1500001]"
F::LOAD_BRIDGE,F::PHYSICAL,FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1/01_cad/F_LOAD_BRIDGE_S_V1.step,545FE62ADE0E4891FCC84179D18F63B2A6C77F19AD1C96723B3C7208EA13221B,CANDIDATE_BREP_SOLID,S,STATIC_S,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,F,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,S_STATIC,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/F__LOAD_BRIDGE_OP_V1.brep,FEF7D077A364B7231FA3BD0ACB5F29E7292163A8CB4B805659BFF2CA4995F43D,0.0,1,"[185.24999989999998, -104.9823946383, -105.08475485929999]","[196.00000010000002, 105.01438294033, 104.91202271933]"
F::M3R_STAGE_A,F::PHYSICAL,FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1/01_cad/F_M3R_STAGE_A_S_V1.step,E49CAC621C51FE4A2DF583D83C23EFEC28318B0CDF0EC14D4F78E1D6D468F386,CANDIDATE_BREP_SOLID,S,STATIC_S,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,F,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,S_STATIC,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/F__M3R_STAGE_A_OP_V1.brep,09F290B21963E691F16709304462DF12EF180E4251640AAFD00962516F27947A,0.0,1,"[202.40499989999, -74.984005949013, -75.08636617001298]","[210.405000100001, 75.015994251013, 74.913634030013]"
F::M3R_STAGE_B,F::PHYSICAL,FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_FIXED_PLATFORM_OPERATIONAL_COLLISION_CANDIDATE_V1/01_cad/F_M3R_STAGE_B_S_V1.step,48B7BF9B16265544DC3DE5A312CCBF3E3224F060251EA9BA7B884916BFBFD173,CANDIDATE_BREP_SOLID,S,STATIC_S,mm,1.0,OPERATIONAL_L2_TAKEOVER_NAMED_RUN,ALL_THREE_STAGES,F,ADJACENT_JOINT_IF_IN_REGISTRY_EXCEPTION_SET,,FROZEN_CANDIDATE_STEP_DIRECT,S_STATIC,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/claude_takeover_closure_v1/03_m01/assets/F__M3R_STAGE_B_OP_V1.brep,1BDF97A8149F46B1F6146206957CA513B4C849B60FDBA93C62E54BF831F94731,0.0,1,"[195.99999989999, -108.00883763654299, -108.11119785754299]","[208.0000001, 108.040825938545, 107.93846571754499]"
