instance,kind,volume_mm3,al_equivalent_mass_kg,mass_kg_allocated,mass_basis,representation_role
e3_clamp_washer_J04_0,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_clamp_washer_J04_1,CLAMP_WASHER,9.597566,2.5913e-05,,M3_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_foot_bolt_C01_0,FOOT_BOLT,505.796417,0.00136565,,M4_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; PRE_RELEASE_RETENTION_NOT_PIVOT,SIMPLIFIED_PROXY
e3_foot_bolt_C01_1,FOOT_BOLT,505.796417,0.00136565,,M4_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; PRE_RELEASE_RETENTION_NOT_PIVOT,SIMPLIFIED_PROXY
e3_foot_bolt_C02_0,FOOT_BOLT,505.796417,0.00136565,,M4_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; PRE_RELEASE_RETENTION_NOT_PIVOT,SIMPLIFIED_PROXY
e3_foot_bolt_C02_1,FOOT_BOLT,505.796417,0.00136565,,M4_THREADLESS_ENVELOPE_UNSELECTED; MATERIAL/GRADE/PRELOAD/LOCKING/ENGAGEMENT UNKNOWN; PRE_RELEASE_RETENTION_NOT_PIVOT,SIMPLIFIED_PROXY
e3_foot_washer_C01_0,FOOT_WASHER,47.712938,0.000128825,,M4_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_foot_washer_C01_1,FOOT_WASHER,47.712938,0.000128825,,M4_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_foot_washer_C02_0,FOOT_WASHER,47.712938,0.000128825,,M4_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
e3_foot_washer_C02_1,FOOT_WASHER,47.712938,0.000128825,,M4_WASHER_ENVELOPE_UNSELECTED; MATERIAL UNKNOWN,SIMPLIFIED_PROXY
