vcd_id,requirement_id,verification_methods,verification_level,configuration,article_or_model,procedure_or_input,acceptance_criterion_reference,required_evidence,owner,current_status,closure_authority,flight_credit,prototype_credit
VCD-020,MSR-OPS-014,A|I|D|R,SYSTEM,BOTH_PANEL_FAIL,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,OFF_NOMINAL_CONFIGURATION_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-OPS-014.acceptance_criterion,"activation geometry box loads and interference report",MECHANICAL_LEAD,ACCEPTED_SEMANTIC_ENUM_ONLY_PER_CONFIG_GEOMETRY_AND_LOAD_HOLD,OWNER,NO,LIMITED
VCD-021,MSR-STR-001,I|R,MODEL,ALL_B601_SIMULATION_CONFIGURATIONS,ACCEPTED_URDF,HASH_AND_MASS_PARSE,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-001.acceptance_criterion,"accepted URDF hash link joint and mass receipt",ROBOTICS_MODEL_OWNER,PASS_SIMULATION_INTERFACE_ONLY_PHYSICAL_MASS_HOLD,ROBOTICS_MODEL_OWNER,NO,YES
VCD-022,MSR-STR-002,A|I|T|R,SYSTEM,ALL,AS_BUILT_HARDWARE,APPROVED_MASS_PROPERTIES_PROCEDURE,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-002.acceptance_criterion,"as-built mass COM inertia and BOM reconciliation",MASS_PROPERTIES_OWNER,HOLD_PHYSICAL_MASS_AND_INERTIA_RECONCILIATION,OWNER,NO,NO
VCD-023,MSR-STR-003,A|R,SYSTEM,ALL_LOAD_CASES,CONTROLLED_LOADS_BASELINE,LOADS_AND_ENVIRONMENTS_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-003.acceptance_criterion,"approved lifecycle loads environment and combinations specification",STRUCTURAL_DYNAMICS_OWNER,HOLD_LOAD_AND_ENVIRONMENT_AUTHORITY,OWNER,NO,NO
VCD-024,MSR-STR-004,A|T|R,SYSTEM,ALL_LOAD_CASES,VALIDATED_STRUCTURAL_MODEL_AND_TEST_ARTICLE,APPROVED_STRUCTURAL_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-004.acceptance_criterion,"strength stiffness stability fatigue and life reports",STRESS_LEAD,HOLD_ALLOWABLES_FACTORS_LOADS_AND_ANALYSIS,OWNER,NO,NO
VCD-025,MSR-STR-005,A|I|T|R,COMPONENT,M3R_REV_B2,RELEASED_M3R_CONFIGURATION,APPROVED_M3R_MASS_RECONCILIATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-005.acceptance_criterion,"single approved mass with source method density and uncertainty",M3R_OWNER,HOLD_M3R_MASS_RECONCILIATION,OWNER,NO,NO
VCD-026,MSR-STR-006,I|R,INTERFACE,M3R_REV_B2,RELEASED_INTERFACE_DEFINITION,DIMENSIONAL_AND_DATUM_INSPECTION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-006.acceptance_criterion,"released drawings datum tolerances pattern PCD and clock reconciliation",M3R_OWNER,HOLD_RELEASED_DATUM_AND_TOLERANCE_AUTHORITY,SYSTEM_INTERFACE_OWNER,NO,LIMITED
VCD-027,MSR-STR-007,A|I|T|R,JOINT,M3R_REV_B2|ALL_LOAD_CASES,REPRESENTATIVE_BOLTED_JOINT,APPROVED_BOLTED_JOINT_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-007.acceptance_criterion,"fastener specification preload data loads allowables and positive margin report",JOINTS_AND_FASTENERS_OWNER,HOLD_M3R_FASTENER_MOS_AND_PRELOAD,STRESS_LEAD,NO,NO
VCD-028,MSR-STR-008,A|I|T|R,JOINT,M3R_REV_B2,REPRESENTATIVE_DOWEL_AND_MATING_PARTS,APPROVED_DOWEL_FIT_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-008.acceptance_criterion,"tolerance analysis fit inspection alignment and load-sharing evidence",M3R_OWNER,HOLD_M3R_LOCATING_DOWEL_FIT,SYSTEM_INTERFACE_OWNER,NO,NO
VCD-029,MSR-STR-009,A|I|T|R,SYSTEM,QUALIFICATION_CONFIGURATION|FLIGHT_CONFIGURATION,QUALIFICATION_REPRESENTATIVE_ARTICLE,APPROVED_STRUCTURAL_QUALIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-STR-009.acceptance_criterion,"qualification acceptance correlation and anomaly dispositions",QUALIFICATION_LEAD,HOLD_FLIGHT_STRUCTURE_QUALIFICATION,OWNER,NO,NOT_APPLICABLE
VCD-030,MSR-MEC-001,A|I|R,COMPONENT,GRIPPER_CLOSED|GRIPPER_PARTIAL|GRIPPER_PREGRASP|GRIPPER_OPEN,HASHED_NEUTRAL_R1_ASSETS,CONTINUOUS_STROKE_GEOMETRY_SWEEP,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-001.acceptance_criterion,"144-sample zero-overlap validation receipt",GRIPPER_OWNER,PASS_NEUTRAL_R1_INTERNAL_SWEEP_ONLY,GRIPPER_OWNER,NO,YES_LIMITED
VCD-031,MSR-MEC-002,I|D|R,SUBSYSTEM,ALL_GRIPPER_CONFIGURATIONS,AUTHORITATIVE_NATIVE_ASSEMBLY,NATIVE_R1_REINTEGRATION_AND_STROKE_READBACK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-002.acceptance_criterion,"native occurrence and zero-overlap full-stroke report",CAD_CONFIGURATION_OWNER,HOLD_NATIVE_V5_GRIPPER_R1_REINTEGRATION,CAD_CONFIGURATION_OWNER,NO,NO
VCD-032,MSR-MEC-003,A|I|T|R,COMPONENT,ALL_GRIPPER_CONFIGURATIONS,REPRESENTATIVE_GRIPPER,APPROVED_CLEARANCE_AND_TOLERANCE_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-003.acceptance_criterion,"worst-case clearance tolerance thermal wear and contamination report",GRIPPER_OWNER,HOLD_GRIPPER_MANUFACTURING_CLEARANCE,GRIPPER_OWNER,NO,NO
VCD-033,MSR-MEC-004,A|I|R,COMPONENT,ALL_GRIPPER_CONFIGURATIONS,R1_PALM,DIMENSIONAL_WALL_THICKNESS_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-004.acceptance_criterion,"approved minimum wall and metrology report",GRIPPER_OWNER,HOLD_GRIPPER_MINIMUM_WALL_THICKNESS,STRESS_LEAD,NO,NO
VCD-034,MSR-MEC-005,A|T|R,SUBSYSTEM,PREGRASP|CAPTURE|POST_CAPTURE_STABILIZATION|SAFE_MODE,REPRESENTATIVE_GRIPPER,APPROVED_GRIPPER_STRUCTURAL_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-005.acceptance_criterion,"strength stiffness fatigue wear life and test reports",GRIPPER_OWNER,HOLD_GRIPPER_STRUCTURAL_STRENGTH,STRESS_LEAD,NO,NO
VCD-035,MSR-MEC-006,A|T|D|R,SUBSYSTEM,PREGRASP|CAPTURE|POST_CAPTURE_STABILIZATION,REPRESENTATIVE_GRIPPER_AND_TARGET,APPROVED_CONTACT_VALIDATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-006.acceptance_criterion,"contact datum friction compliance penetration retention and release evidence",GRIPPER_OWNER,HOLD_GRIPPER_EXTERNAL_OBJECT_CONTACT_VALIDATION,GRIPPER_OWNER,NO,NO
VCD-036,MSR-MEC-007,A|I|T|D|R,SUBSYSTEM,LAUNCH_STOWED|SOLAR_ARRAY_DEPLOYMENT|DEPLOYED_NOMINAL|LEFT_PANEL_FAIL|RIGHT_PANEL_FAIL|BOTH_PANEL_FAIL,QUALIFICATION_REPRESENTATIVE_SOLAR_MECHANISMS,APPROVED_SOLAR_MECHANISM_QUALIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-007.acceptance_criterion,"hinge drive restraint end-stop life environment and clearance evidence",SOLAR_ARRAY_MECHANISMS_OWNER,HOLD_SOLAR_ARRAY_MECHANISM_QUALIFICATION,QUALIFICATION_LEAD,NO,NO
VCD-037,MSR-MEC-008,I|T|D|R,COMPONENT,LAUNCH_STOWED|SOLAR_ARRAY_DEPLOYMENT|ARM_RELEASE,QUALIFICATION_REPRESENTATIVE_HDRM,APPROVED_HDRM_QUALIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-008.acceptance_criterion,"product installation function reliability shock and clearance evidence",MECHANISMS_LEAD,HOLD_HDRM_RELIABILITY,QUALIFICATION_LEAD,NO,NO
VCD-038,MSR-MEC-009,A|I|T|R,INTERFACE,ARM_TASK_READY|ARM_MANEUVER|PREGRASP|CAPTURE,SELECTED_CAMERA_AND_MOUNT,CAMERA_FIT_ALIGNMENT_AND_CALIBRATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-009.acceptance_criterion,"product optical envelope mount metrology and hand-eye residual report",VISION_HARDWARE_OWNER,HOLD_CAMERA_SELECTION_AND_CALIBRATION,SYSTEM_INTERFACE_OWNER,NO,NO
VCD-039,MSR-MEC-010,A|I|T|D|R,SUBSYSTEM,SOLAR_ARRAY_DEPLOYMENT|ARM_RELEASE|ARM_MANEUVER|PREGRASP|CAPTURE,REPRESENTATIVE_HARNESS_INSTALLATION,DYNAMIC_HARNESS_SWEEP_AND_LIFE_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MEC-010.acceptance_criterion,"routing bend strain connector clearance wear and life evidence",HARNESS_MECHANICAL_OWNER,HOLD_HARNESS_MOVING_SWEEP,MECHANICAL_LEAD,NO,NO
VCD-040,MSR-INT-001,I|R,SYSTEM,DONOR_BASELINE,DONOR_INTERFERENCE_REGISTER,SIGNED_EXCEPTION_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-001.acceptance_criterion,"81-row classification and signed Option A",OWNER,ACCEPTED_EXCEPTION_SCOPE_ONLY,OWNER,NO,YES_LIMITED
VCD-041,MSR-INT-002,I|R,SYSTEM,DEPLOYED_NOMINAL_MAIN_NEUTRAL_ONLY,HASH_IDENTICAL_MAIN_NEUTRAL,HASH_AND_INTERFERENCE_RECORD_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-002.acceptance_criterion,"hash match and historical zero result with scope label",MECHANICAL_INTEGRATION_OWNER,PASS_HASH_BOUND_MAIN_NEUTRAL_ONLY,MECHANICAL_INTEGRATION_OWNER,NO,YES_LIMITED
VCD-042,MSR-INT-003,A|I|D|R,SYSTEM,DEPLOYED_NOMINAL_COMPOSITE|ALL_RELEVANT_CONFIGURATIONS,PLACED_COMPOSITE_GEOMETRY,COMPOSITE_NARROW_PHASE_VERIFICATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-003.acceptance_criterion,"approved transforms configuration set and zero prohibited interference report",MECHANICAL_INTEGRATION_OWNER,HOLD_COMPOSITE_ADDENDA_PLACEMENT_AND_NARROW_PHASE,MECHANICAL_INTEGRATION_OWNER,NO,NO
VCD-043,MSR-INT-004,I|R,SYSTEM,ALL,INTEGRATED_BREP_OR_NATIVE_ASSEMBLY,OCCURRENCE_MANIFEST_AND_VALIDATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-004.acceptance_criterion,"integrated model occurrence completeness and validation receipt",CAD_CONFIGURATION_OWNER,HOLD_MONOLITHIC_NEUTRAL_INTEGRATION,CAD_CONFIGURATION_OWNER,NO,LIMITED
VCD-044,MSR-INT-005,I|D|R,SYSTEM,ALL_NATIVE_CONFIGURATIONS,NATIVE_TOP_ASSEMBLY,COLD_OPEN_REBUILD_AND_DEPENDENCY_CHECK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-005.acceptance_criterion,"validated native top dependency and rebuild receipt",CAD_CONFIGURATION_OWNER,HOLD_NATIVE_TOP_ASSEMBLY,CAD_CONFIGURATION_OWNER,NO,NO
VCD-045,MSR-INT-006,I|D|R,SYSTEM,ALL_NATIVE_CONFIGURATIONS,LIGHTWEIGHT_NATIVE_ASSEMBLY,LIGHTWEIGHT_COLD_OPEN_VALIDATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-006.acceptance_criterion,"hash occurrence suppression and missing-reference receipt",CAD_CONFIGURATION_OWNER,HOLD_LIGHTWEIGHT_SLDASM_NATIVE_VALIDATION,CAD_CONFIGURATION_OWNER,NO,NO
VCD-046,MSR-INT-007,I|D|R,SYSTEM,DEPLOYED_NOMINAL|LEFT_PANEL_FAIL|RIGHT_PANEL_FAIL|BOTH_PANEL_FAIL|ARM_STOWED_ONORBIT|ARM_TASK_READY|GRIPPER_CLOSED|GRIPPER_PARTIAL|GRIPPER_PREGRASP|GRIPPER_OPEN,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,CONFIGURATION_ACTIVATION_AND_READBACK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-007.acceptance_criterion,"10 independent readback records and zero state mismatch",CAD_CONFIGURATION_OWNER,HOLD_CONFIGURATION_NATIVE_READBACK,CAD_CONFIGURATION_OWNER,NO,LIMITED
VCD-047,MSR-INT-008,A|I|R,SYSTEM,ALL_10_ACCEPTED_SEMANTIC_CONFIGURATIONS,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,BOUNDING_BOX_MEASUREMENT,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-008.acceptance_criterion,"10 frame-bound bounding boxes with uncertainty",MECHANICAL_INTEGRATION_OWNER,HOLD_PER_CONFIGURATION_BOUNDING_BOX,MECHANICAL_INTEGRATION_OWNER,NO,NO
VCD-048,MSR-INT-009,A|D|R,SYSTEM,ALL_10_ACCEPTED_SEMANTIC_CONFIGURATIONS|APPROVED_TRANSITION_SWEEPS,AUTHORITATIVE_CONFIGURABLE_GEOMETRY,PER_STATE_AND_CONTINUOUS_INTERFERENCE_CHECK,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-009.acceptance_criterion,"complete case coverage and zero prohibited contacts or signed dispositions",MECHANICAL_INTEGRATION_OWNER,HOLD_PER_CONFIGURATION_EXTERNAL_INTERFERENCE,MECHANICAL_INTEGRATION_OWNER,NO,NO
VCD-049,MSR-INT-010,I|T|R,INTERFACE,ALL,INTEGRATED_GEOMETRY_OR_METROLOGY_ARTICLE,FRAME_CHAIN_METROLOGY_AND_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-010.acceptance_criterion,"approved root-to-M transform and closed frame tree",SYSTEM_INTERFACE_OWNER,HOLD_ROOT_TO_M_FRAME_NOT_REASSERTED_BY_NEUTRAL_PACKAGE,SYSTEM_INTERFACE_OWNER,NO,NO
VCD-050,MSR-INT-011,I|T|D|R,INTERFACE,M3R_REV_B2,REPRESENTATIVE_M3R_HARDWARE,PHYSICAL_FITUP_AND_TOOL_ACCESS_DEMONSTRATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-011.acceptance_criterion,"fitup tool cable and clearance inspection report",M3R_OWNER,HOLD_M3R_PHYSICAL_FITUP,SYSTEM_INTERFACE_OWNER,NO,NO
VCD-051,MSR-INT-012,I|D|R,FILE,APPROVED_EXCHANGE_CONFIGURATION,PARASOLID_EXPORT,EXPORT_IMPORT_VALIDATION,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-INT-012.acceptance_criterion,"nonzero files source hashes and import body-count validation",CAD_CONFIGURATION_OWNER,HOLD_PARASOLID_EXPORT_NOT_PRODUCED,CAD_CONFIGURATION_OWNER,NO,NO
VCD-052,MSR-MAT-001,I|R,PART,ALL_PHYSICAL_HARDWARE,RELEASED_BOM_AND_PROCUREMENT_RECORDS,MATERIAL_PROCESS_TRACEABILITY_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MAT-001.acceptance_criterion,"complete material finish heat treatment lot and supplier fields",MATERIALS_AND_PROCESSES_OWNER,HOLD_MATERIAL_AND_PROCESS_AUTHORITY,MATERIALS_AND_PROCESSES_OWNER,NO,NO
VCD-053,MSR-MAT-002,A|I|T|R,PART,ALL_LOAD_CASES,APPROVED_ALLOWABLES_AND_TEST_DATA,ALLOWABLE_TRACEABILITY_AND_MARGIN_AUDIT,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MAT-002.acceptance_criterion,"approved allowable source applicability and knockdown trace",MATERIALS_AND_PROCESSES_OWNER,HOLD_MATERIAL_ALLOWABLES,MATERIALS_AND_PROCESSES_OWNER,NO,NO
VCD-054,MSR-MAT-003,I|T|R,PART,ALL_PHYSICAL_HARDWARE,APPROVED_MATERIALS_PROCESS_PARTS_LIST,APPROVAL_AND_QUALIFICATION_REVIEW,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MAT-003.acceptance_criterion,"approved list qualification records and deviation dispositions",MATERIALS_AND_PROCESSES_OWNER,HOLD_MANUFACTURING_RELEASE,PRODUCT_ASSURANCE_OWNER,NO,NO
VCD-055,MSR-MAT-004,A|I|T|R,SYSTEM,MANUFACTURE|ASSEMBLY|TEST|STORAGE|LAUNCH|OPERATION,SENSITIVE_ITEMS_AND_FACILITIES,CLEANLINESS_CONTROL_AND_VERIFICATION_PLAN,MECHANICAL_SYSTEM_REQUIREMENTS_SPEC_V1.yaml::MSR-MAT-004.acceptance_criterion,"sensitive item list limits plan and verification records",PRODUCT_ASSURANCE_OWNER,HOLD_CLEANLINESS_AND_CONTAMINATION_INPUTS,PRODUCT_ASSURANCE_OWNER,NO,NO
