trace_id,named_hold,source_authority,linked_requirement_ids,closure_inputs,closure_evidence,owner,current_status,flight_impact,prototype_impact,notes
HTR-011,M3R_FASTENER_MOS_AND_PRELOAD_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-STR-007,"fastener specification; preload method; friction; stiffness; loads; allowables; criteria","approved bolted-joint report with positive margins and preload verification",JOINTS_AND_FASTENERS_OWNER,OPEN,FLIGHT_LOAD_PATH_BLOCKED,LOAD_BEARING_PROTOTYPE_HOLD,"Handbook is guidance only"
HTR-012,M3R_LOCATING_DOWEL_FIT_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-STR-008,"dowel and hole specs; tolerances; materials; temperature; installation process","worst-case fit analysis and representative inspection",M3R_OWNER,OPEN,INTERFACE_RELEASE_BLOCKED,PHYSICAL_FITUP_HOLD,"No fit class is invented"
HTR-013,CONFIGURATION_NATIVE_READBACK_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-OPS-006|MSR-OPS-012|MSR-OPS-013|MSR-OPS-014|MSR-INT-007,"authoritative configurable geometry","10 independent configuration activation and readback records",CAD_CONFIGURATION_OWNER,OPEN,CONFIGURATION_CREDIT_BLOCKED,SEMANTIC_ENUM_ONLY,"Single neutral B-rep has no parametric readback"
HTR-014,PER_CONFIGURATION_BOUNDING_BOX_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-OPS-006|MSR-OPS-012|MSR-OPS-013|MSR-OPS-014|MSR-INT-008,"authoritative configurable geometry; frame; uncertainty policy","10 complete hash-bound bounding-box records",MECHANICAL_INTEGRATION_OWNER,OPEN,ENVELOPE_CREDIT_BLOCKED,ENVELOPE_CREDIT_BLOCKED,"Current measured count is zero"
HTR-015,PER_CONFIGURATION_EXTERNAL_INTERFERENCE_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-009|MSR-OPS-012|MSR-OPS-013|MSR-OPS-014,"authoritative configuration states; transition set; interference rules","per-state and continuous-sweep report with zero prohibited contacts or signed dispositions",MECHANICAL_INTEGRATION_OWNER,OPEN,INTERFERENCE_CREDIT_BLOCKED,INTERFERENCE_CREDIT_BLOCKED,"Semantic states are not geometry evidence"
HTR-016,LAUNCH_STOWED_CONFIGURATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-OPS-001|MSR-STR-003,"launcher ICD envelope and loads; tolerance stack; restraint definition; 132.72 mm disposition","approved stowed configuration measurement load analysis and fit evidence",MECHANICAL_LEAD,OPEN,LAUNCH_RELEASE_BLOCKED,STOWED_DEMO_HOLD,"Historical exceedance preserved"
HTR-017,PARASOLID_EXPORT_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-INT-012,"Owner format requirement; approved source geometry; import validator","nonzero hash-bound export and successful import/body-count receipt",CAD_CONFIGURATION_OWNER,OPEN_CONDITIONAL,CONDITIONAL_DOWNSTREAM_BLOCK,CONDITIONAL_DOWNSTREAM_BLOCK,"Fallback B produced no Parasolid"
HTR-018,CAMERA_SELECTION_AND_CALIBRATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-009|MSR-OPS-008,"camera selection; optical model; mount; alignment; hand-eye criterion","fit optical alignment and calibration report",VISION_HARDWARE_OWNER,OPEN,FLIGHT_VISION_INTERFACE_BLOCKED,CAMERA_GUIDED_DEMO_BLOCKED,"Keep-out is not product or calibration evidence"
HTR-019,HARNESS_MOVING_SWEEP_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-010|MSR-OPS-007,"harness part definition; routing; bend radius; strain relief; motions; life","dynamic sweep and life evidence with zero prohibited contact",HARNESS_MECHANICAL_OWNER,OPEN,FLIGHT_MOTION_RELEASE_BLOCKED,MOTION_DEMO_HOLD,"Static OD9 keep-out only"
HTR-020,HDRM_RELIABILITY_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-OPS-005|MSR-MEC-008,"HDRM product; installation; reliability target; release shock; test plan","qualified release function reliability shock and clearance evidence",MECHANISMS_LEAD,OPEN,DEPLOYMENT_AND_ARM_RELEASE_BLOCKED,PHYSICAL_RELEASE_DEMO_HOLD,"No product selection or physical reliability test"
HTR-021,FLIGHT_STRUCTURE_QUALIFICATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-STR-009|MSR-VER-002|MSR-VER-003,"model philosophy; environments; levels; durations; facilities; criteria","approved qualification and acceptance reports with anomaly closure",QUALIFICATION_LEAD,OPEN,FLIGHT_RELEASE_BLOCKED,NOT_APPLICABLE_TO_NONFLIGHT_DEMO,"No launch vibration or thermal-vac qualification"
HTR-022,CONTACT_PHYSICS_FIDELITY_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MEC-006|MSR-VER-006,"contact material data target geometry solver method and validation cases","correlated contact-model validation and representative test",ROBOTICS_VERIFICATION_OWNER,OPEN,NO_FLIGHT_CREDIT,CONTACT_TASKS_ACTION_MASKED,"SIM13 is deterministic kinematic bootstrap only"
HTR-023,FLEXIBLE_BODY_DYNAMICS_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-OPS-007|MSR-OPS-010|MSR-VER-006,"validated flexible-body models loads damping joints and correlation data","correlated flexible-body response evidence",STRUCTURAL_DYNAMICS_OWNER,OPEN,NO_FLIGHT_DYNAMIC_CREDIT,FLEXIBLE_BODY_CREDIT_BLOCKED,"Rigid or kinematic bootstrap cannot close"
HTR-024,RL_POLICY_TRAINING_AND_EVALUATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-VER-006,"authorized training evaluation and safety plan; validated environment","separate policy training and evaluation gate",ROBOTICS_VERIFICATION_OWNER,OPEN,NO_FLIGHT_CREDIT,TRAINING_NOT_AUTHORIZED,"Environment bootstrap is not training success"
HTR-025,HIL_AND_REAL_ROBOT_EXECUTION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-VER-006,"HIL plan; real-robot safety case; calibrated hardware; abort and supervision","separate HIL and real-robot test gates with accepted results",ROBOTICS_VERIFICATION_OWNER,OPEN,NO_FLIGHT_CREDIT,HIL_AND_REAL_EXECUTION_NOT_AUTHORIZED,"No real robotic execution claim"
HTR-026,PROVISIONAL_GRIPPER_CONTACT_DATUM_HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,MSR-MEC-006|MSR-OPS-008,"contact datum metrology normals target interface and uncertainty","approved contact frame control and metrology report",GRIPPER_OWNER,OPEN,CONTACT_CREDIT_BLOCKED,CONTACT_ACTION_MASKED,"Alias of provisional external-object contact datum status"
HTR-027,HOLD_ROOT_TO_M_FRAME_NOT_REASSERTED_BY_NEUTRAL_PACKAGE,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/SYSTEM_FRAME_TREE.yaml,MSR-INT-010,"root-to-M authority; integrated geometry or metrology; frame control document","closed unique frame tree with approved root transform",SYSTEM_INTERFACE_OWNER,OPEN,INTERFACE_AND_LOAD_MAPPING_BLOCKED,FRAME_SEMANTICS_ONLY,"Neutral package alone does not reassert metrology"
HTR-028,PHYSICAL_FITUP_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MECH_RL_INTERFACE_V1.yaml,MSR-INT-011|MSR-STR-008,"representative M3R hardware tooling fasteners cable and access criteria","physical fit-up and tool-access inspection report",M3R_OWNER,OPEN,MANUFACTURING_AND_INTERFACE_RELEASE_BLOCKED,PHYSICAL_FITUP_NOT_CLOSED,"Schematic interface evidence only"
HTR-029,B601_GRIPPER_PALM_RAIL_SLOT_GEOMETRY_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/00_authority/V5R_RAPID_CODEX_EXECUTION_CONTRACT.md,MSR-MEC-001|MSR-MEC-002,"neutral R1 validation and native R1 reintegration","neutral sweep receipt plus native full-stroke receipt",GRIPPER_OWNER,PARTIALLY_CLOSED_NEUTRAL_ONLY,FLIGHT_AND_NATIVE_CREDIT_BLOCKED,NEUTRAL_INTERNAL_SWEEP_PASS_ONLY,"Historical umbrella HOLD narrowed after R1 neutral validation"
HTR-030,FASTENER_MOS_HOLD,30_simulation/sim_13_physics_gated_embodied_grasping/evidence/SIM13_ENVIRONMENT_BOOTSTRAP_GATE.json,MSR-STR-007,"same closure inputs as M3R_FASTENER_MOS_AND_PRELOAD_HOLD","approved positive-margin bolted-joint report",JOINTS_AND_FASTENERS_OWNER,OPEN_ALIAS,FLIGHT_LOAD_PATH_BLOCKED,LOAD_BEARING_PROTOTYPE_HOLD,"Alias retained for sim13 traceability"
HTR-031,REAL_ROBOTIC_EXECUTION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/OPEN_HOLD_REGISTER.csv,MSR-VER-006,"same closure inputs as HIL_AND_REAL_ROBOT_EXECUTION_HOLD","accepted real-robot safety and execution gate",ROBOTICS_VERIFICATION_OWNER,OPEN_ALIAS,NO_FLIGHT_CREDIT,REAL_EXECUTION_NOT_AUTHORIZED,"Alias retained for rapid register traceability"
HTR-032,SEPARATION_ICD_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-002,"spacecraft-launcher ICD separation event loads and released-body geometry","approved ICD-based separation verification",SYSTEM_INTERFACE_OWNER,OPEN,SEPARATION_CREDIT_BLOCKED,SEPARATION_DEMO_HOLD,"Derived explicit WP0 closure label for HOLD_UNKNOWN_NO_ICD"
HTR-033,POST_SEPARATION_SAFE_REQUIREMENTS_AUTHORIZATION_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-003,"authorized safe-state requirements transitions and keep-outs","approved post-separation safe-state verification",SYSTEMS_ENGINEERING_OWNER,OPEN,SAFE_STATE_CREDIT_BLOCKED,SAFE_STATE_DEMO_HOLD,"Derived explicit WP0 closure label"
HTR-034,SOLAR_ARRAY_DEPLOYMENT_MECHANISM_QUALIFICATION_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-004|MSR-MEC-007,"mechanism specifications loads life environment and qualification plan","approved deployment qualification evidence",SOLAR_ARRAY_MECHANISMS_OWNER,OPEN,DEPLOYMENT_FLIGHT_CREDIT_BLOCKED,DEPLOYMENT_DEMO_HOLD,"Derived explicit WP0 closure label"
HTR-035,ARM_MANEUVER_MECHANICAL_LOAD_AUTHORITY_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-007|MSR-STR-003,"trajectory set payload properties joint limits structural loads and harness sweep","approved maneuver loads collision and cable-sweep evidence",ROBOTICS_MECHANICAL_OWNER,OPEN,ARM_MANEUVER_FLIGHT_CREDIT_BLOCKED,LOAD_BEARING_MANEUVER_HOLD,"Derived explicit WP0 closure label"
HTR-036,PREGRASP_HARDWARE_CONTACT_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-008|MSR-MEC-006,"contact datum metrology target geometry approach corridor and native R1 integration","approved pregrasp hardware-contact verification",GRIPPER_OWNER,OPEN,PREGRASP_FLIGHT_CREDIT_BLOCKED,HARDWARE_PREGRASP_HOLD,"Neutral R1 internal sweep does not close"
HTR-037,CAPTURE_STRUCTURAL_CONTACT_LOAD_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-009|MSR-MEC-005|MSR-MEC-006,"capture load cases target properties contact data allowables and retention criteria","approved capture strength contact and retention evidence",GRIPPER_OWNER,OPEN,CAPTURE_FLIGHT_CREDIT_BLOCKED,HARDWARE_CAPTURE_HOLD,"Derived simulation only"
HTR-038,POST_CAPTURE_STABILIZATION_QUALIFICATION_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-010,"stability definition captured-body properties control profile limits and duration","approved stability analysis and qualification evidence",ROBOTICS_MECHANICAL_OWNER,OPEN,POST_CAPTURE_FLIGHT_CREDIT_BLOCKED,HARDWARE_STABILITY_HOLD,"Derived simulation only"
HTR-039,SAFE_MODE_MECHANICAL_REQUIREMENTS_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-011,"safe-mode mechanical requirements sensing inhibit logic and keep-outs","no-false-allow fail-closed demonstration against approved requirements",SYSTEM_SAFETY_OWNER,OPEN,SAFE_MODE_FLIGHT_CREDIT_BLOCKED,FAIL_CLOSED_BOOTSTRAP_ONLY,"SIM13 behavior cannot create requirements"
HTR-040,PANEL_FAILURE_PER_CONFIGURATION_GEOMETRY_AND_LOAD_HOLD,OWNER_TASK_STATUS_20260821,MSR-OPS-012|MSR-OPS-013|MSR-OPS-014|MSR-INT-007|MSR-INT-008|MSR-INT-009,"authoritative states loads transitions and interference rules","three independently verified panel-failure configuration records",MECHANICAL_LEAD,OPEN,OFF_NOMINAL_FLIGHT_CREDIT_BLOCKED,SEMANTIC_ENUM_ONLY,"Derived grouping applies to three Owner tasks and is not an extra Owner task"
HTR-041,LOAD_AND_ENVIRONMENT_AUTHORITY_HOLD,STANDARDS_TAILORING_MATRIX_V1.csv,MSR-STR-003|MSR-STR-004,"launcher ICD mission environments handling deployment maneuver capture thermal and shock inputs","approved controlled loads-and-environments specification",STRUCTURAL_DYNAMICS_OWNER,OPEN,ALL_STRUCTURAL_FLIGHT_CREDIT_BLOCKED,LOAD_BASED_PROTOTYPE_CREDIT_BLOCKED,"No values invented in WP0"
HTR-042,MATERIAL_ALLOWABLES_AND_PROCESS_AUTHORITY_HOLD,STANDARDS_TAILORING_MATRIX_V1.csv,MSR-STR-004|MSR-MAT-001|MSR-MAT-002|MSR-MAT-003,"materials forms processes directions temperatures life allowables and supplier trace","approved materials-process-parts list and allowable database",MATERIALS_AND_PROCESSES_OWNER,OPEN,STRUCTURAL_AND_MANUFACTURING_RELEASE_BLOCKED,LOAD_BEARING_PROTOTYPE_CREDIT_BLOCKED,"No allowable or process approval inferred from geometry"
HTR-043,TEST_LEVELS_AND_MODEL_PHILOSOPHY_AUTHORIZATION_HOLD,STANDARDS_TAILORING_MATRIX_V1.csv,MSR-STR-009|MSR-VER-002|MSR-VER-003,"mission environments model philosophy test levels durations tolerances articles and retest policy","signed verification and test program",TEST_AND_VERIFICATION_LEAD,OPEN,QUALIFICATION_CREDIT_BLOCKED,TEST_CREDIT_BLOCKED,"No test level is invented"
HTR-044,MANUFACTURING_RELEASE_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-MAT-001|MSR-MAT-003|MSR-MEC-003|MSR-MEC-004,"released native design BOM materials processes tolerances drawings and PA approvals","signed manufacturing release package",MATERIALS_AND_PROCESSES_OWNER,OPEN,MANUFACTURING_AND_FLIGHT_RELEASE_BLOCKED,PROTOTYPE_BUILD_REQUIRES_OWNER_AUTHORIZATION,"Engineering package is neutral interface documentation only"
HTR-045,SYSTEM_LOAD_PATH_QUALIFICATION_HOLD,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/08_gate/V5_OPERATIONAL_MECHANICAL_GATE.json,MSR-STR-003|MSR-STR-004|MSR-STR-007|MSR-STR-008|MSR-STR-009,"approved loads allowables joint models interfaces and qualification plan","correlated system load-path analysis and qualification evidence",STRESS_LEAD,OPEN,SYSTEM_LOAD_PATH_FLIGHT_CREDIT_BLOCKED,LOAD_BEARING_PROTOTYPE_HOLD,"M3R geometry presence is not load-path qualification"
HTR-046,ECSS_CONTROLLED_COPY_AND_TAILORING_MAPPING_HOLD,STANDARDS_SOURCE_LEDGER_V1.csv,MSR-GOV-002|MSR-GOV-004|MSR-VER-001,"project-controlled source copies including separate tailoring document; authorized applicability and clause mapping; approved configuration-management plan","approved source register tailoring matrix and configuration-management plan",STANDARDS_AND_CONFIGURATION_OWNER,OPEN,ECSS_COMPLIANCE_CLAIM_PROHIBITED,DRAFT_REVIEW_ONLY,"ECSS-S-ST-00C Rev.2 is retained; separate tailoring copy and approved configuration-management plan are not controlled"
