asset_id,path,bytes,sha256,hash_mode,role,authority_status,consumed_by_pb00,expected_hash_match
unified_r2_urdf_receipt,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json,2891,957CA67D7BCC2CB591DF2442F24532CA3DAE24F358FC69BF390AC1A20F6F021E,RAW_BYTES_SHA256,PB00_URDF_EXECUTION_RECEIPT,SOURCE_ONLY_EXECUTION_RECEIPT_WITH_TMC_F01_DISCLOSURE,true,true
unified_r2_backend,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/sim13_v2_backends/dynamics_backend.py,24361,3A6A890D9ABABBC4E7E64315E461F56278BF3F9D4C56DDE89607598C01632DB7,RAW_BYTES_SHA256,PB00_ZERO_MOMENTUM_BACKEND,NONPRODUCTION_HASH_BOUND_BACKEND,true,NOT_PINNED_IN_PREBIND_RUNNER
unified_r2_dynamics_kernel,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/sim13_v2/free_floating_dynamics.py,30769,8ED47D66F3805394FF369492ABD56A5F0E832AFD6D003C6FA18E66F510836813,RAW_BYTES_SHA256,PB00_TREE_DYNAMICS_KERNEL,NONPRODUCTION_DIAGNOSTIC_KERNEL,true,NOT_PINNED_IN_PREBIND_RUNNER
r2_hf_model_v3,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round4_hf_rom_v3/R2_HF_MODEL_V3.yaml,7867,584CCCC7E03D33E004552603001DC9974C6506CD58CDC2782AD4EB99C247CE8B,RAW_BYTES_SHA256,FLEX_HIGH_FIDELITY_REFERENCE,PROVISIONAL_DERIVED_OWNER_ACCEPTED_FALSE_EXCLUDED_FROM_PB00,false,NOT_PINNED_IN_PREBIND_RUNNER
r2_seven_mode_rom_v3,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/r2_full_flex_closure/round4_hf_rom_v3/R2_SEVEN_MODE_ROM_V3.json,174892,17AA00750E2EBCC70C334EAD3B8C71DBDCA5BA8C58D205A3FA41EB2810532653,RAW_BYTES_SHA256,FLEX_ROM_REFERENCE,PASS_WITH_DECLARED_PROVISIONAL_PHYSICS_EXCLUDED_FROM_PB00,false,NOT_PINNED_IN_PREBIND_RUNNER
design_contact_model,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/DESIGN_CONTACT_MODEL_V1.yaml,9131,E57C799768BFDAB5DF22A3B834F6C8B9F8232D046A46774D24CA1FBB3DB879AD,RAW_BYTES_SHA256,CONTACT_SENSITIVITY_CONTRACT,BOUNDED_PROVISIONAL_AS_BUILT_NULL,false,NOT_PINNED_IN_PREBIND_RUNNER
gripper_actuation_interface,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_gripper_velocity_unit_authority/01_interface/GRIPPER_ACTUATION_INTERFACE_CANDIDATE_V1.yaml,2126,364D7F2C54B6A77CC80B105EC24F3B7DDEA5FD5648FD7F01E7A2F96BE21A5F51,RAW_BYTES_SHA256,GRIPPER_CONTACT_VELOCITY_CONTRACT,CANDIDATE_PHYSICAL_VALUES_PARTIAL,false,NOT_PINNED_IN_PREBIND_RUNNER
joint_control_config,20_engineering/config/control_scene/control_01_v0.yaml,6284,0B5EA0E60B670ACB6DBFC77998E98BB69B5511FED9FBC6611C060AEE969B3429,RAW_BYTES_SHA256,JOINT_ACTUATOR_MODEL_REFERENCE,PROVISIONAL_NOT_HARDWARE_AUTHORITY,false,NOT_PINNED_IN_PREBIND_RUNNER
attitude_control_config,20_engineering/config/attitude_stab/attitude_stab_v0.yaml,9286,184D34A70436902AE7971AE2B58593E7D91B009CF91A675EE919399128088A60,RAW_BYTES_SHA256,BASE_ACTUATOR_MODEL_REFERENCE,PROVISIONAL_NOT_HARDWARE_AUTHORITY,false,NOT_PINNED_IN_PREBIND_RUNNER
mechanical_release_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,5166,14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,RAW_BYTES_SHA256,CURRENT_MECHANICAL_TERMINAL_GATE,GATE_A_NOT_PASSED,false,NOT_PINNED_IN_PREBIND_RUNNER
mechanical_handoff_gate,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json,818,42792057BD9FE08FDEABADEC23B5F2CFA06095A33D5A8F363633CE90BC6BE982,RAW_BYTES_SHA256,MECH_TO_EMBODIED_HANDOFF_GATE,FAIL_11_OF_12_HARNESS,false,NOT_PINNED_IN_PREBIND_RUNNER
route_c_completed_gate_v1,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/ROUTE_C_MISSION_COVERAGE_GATE_V1.json,20479,8478D4C535F99EABA20FB737D69708E952E34026F0196AF4B5F1BCAA33F0829D,RAW_BYTES_SHA256,LATEST_COMPLETED_ROUTE_C_GATE_AT_PREBIND_EXECUTION,FAIL_DOCUMENTED_LIVE_MECHANICAL_LINE,false,NOT_PINNED_IN_PREBIND_RUNNER
route_c_mass_delta_candidate_v2,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/route_c/B601_ROUTE_C_MASS_DELTA_BY_LINK_CANDIDATES_V2.json,2116,E92660D3F0665BC7D9545EC01905789F6A056AB0D1CE64A8201A56CA6042E6A5,RAW_BYTES_SHA256,ROUTE_C_CANDIDATE_CONTAMINATION_SENTINEL,DESIGN_CANDIDATE_RC5_PROPAGATION_FORBIDDEN,false,NOT_PINNED_IN_PREBIND_RUNNER
sim13_20_of_20_gate,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json,1913,4A813F2EE3B0585D63FA591415AB3B256F112D056BA89C879E02D7BCD068B6E4,RAW_BYTES_SHA256,LATEST_SIM13_NEGATIVE_CONTROL_GATE,PASS_20_OF_20_MAXIMUM_ABORT_ONLY_NO_SYSTEM_BINDING,false,NOT_PINNED_IN_PREBIND_RUNNER
mech_rl_interface_v2,30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml,6716,B105766EC1F19EEC25D4A40F4D4AFAEAB3955AE9E0EDFFCD691754E5A3DBB8E8,RAW_BYTES_SHA256,CURRENT_MECH_RL_INTERFACE_INSTANCE,SYSTEM_BINDING_FALSE,false,NOT_PINNED_IN_PREBIND_RUNNER
e23_gate,30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json,9708,1AD4993FD9DF7B5FCAB93E5AE8A6A9103C470D5CD56F2993E635B27B7C9EB2DE,RAW_BYTES_SHA256,CURRENT_R2_FULL_FLEX_RECERT_GATE,PASS_WITH_DECLARED_PROVISIONAL_PHYSICS_NO_RELEASE_CREDIT,false,NOT_PINNED_IN_PREBIND_RUNNER
control_01_gate,30_simulation/control_01_end_effector_tracking/results/control_01_gate_check.json,16768,AB1FD26978F4250E32E3090A3CD6DC7D41DC1F1B0182861C41BA9AF44D0D8F96,RAW_BYTES_SHA256,END_EFFECTOR_CONTROL_GATE,REPEAT,false,NOT_PINNED_IN_PREBIND_RUNNER
control_02_gate,30_simulation/control_02_base_attitude/results/control_02_gate_check.json,50527,240FA708B53646A024BB0FD2D67085188DD7C81685515B69C4CDC5DC50EDFC5E,RAW_BYTES_SHA256,BASE_ATTITUDE_CONTROL_GATE,PASS_WITH_PROVISIONAL_SCOPE_L0_NOT_EVALUATED,false,NOT_PINNED_IN_PREBIND_RUNNER
safe_00_gate,30_simulation/safety_00_runtime_gate/results/safety_00_gate_check.json,8384,FF56929DD8352E447AFDB8B7D17C5EF0B248883C66BC4F00C16C50C6F4C46EEE,RAW_BYTES_SHA256,FAIL_CLOSED_RUNTIME_SAFETY_GATE,PASS_PENDING_REVIEW_NEXT_STAGE_FALSE,false,NOT_PINNED_IN_PREBIND_RUNNER
sim12_gate,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,1307,A416C13481119BBDC61764D518A1ABEBC159A78BBD78FAC132803069713DACD8,RAW_BYTES_SHA256,HISTORICAL_STRATEGY_CONSERVATION_COMPARATOR,FROZEN_HISTORICAL_GATE_NOT_INHERITED,false,NOT_PINNED_IN_PREBIND_RUNNER
