git_status,path,size_bytes,sha256,category,recommended_action,reason
??,.codex/agents/space-embodied-intelligence-research-agent.toml,884,58432426011A76293533498558375E9E596556BA7F54CFC5E0E81136474D9A69,UNRESOLVED_UNTRACKED,REVIEW_BEFORE_DELETE,Untracked scope not proven regenerable
??,01_project/PL1_MAINLINE_20260808/PL1-A/PL1_PROJECT_ASSET_DISCOVERY.csv,15934,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-A/PROJECT_BOUNDARY_REPORT.md,14010,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-A/SEI_PROJECT_RELEVANCE_BOUNDARY.yaml,10318,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/B601_DIGITAL_THREAD_MAP.yaml,12890,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/CURRENT_MECHANICAL_BASELINE_RULING.md,8507,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/F3R2_EXECUTION_ORDER.md,8790,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/MECHANICAL_CONFIGURATION_LINEAGE.md,9377,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/MECHANICAL_CURRENT_STATUS.md,7992,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/MECHANICAL_ENGINEERING_MAINLINE.md,31946,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-B/MECHANICAL_MODEL_MAP.md,8694,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-C/DYNAMICS_MAINLINE.md,15801,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-C/DYNAMICS_SIMULATION_ASSET_REGISTER.csv,33946,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-C/SIMULATION_TRUTH_HIERARCHY.md,11983,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-D/OPEN_SOURCE_PROJECT_REGISTER.csv,12020,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-D/REFERENCE_LIBRARY_ARCHITECTURE.md,9859,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-D/REFERENCE_LIBRARY_START_HERE.md,6783,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-D/REFERENCE_TO_PROJECT_MAPPING.csv,8594,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-E/INTELLIGENCE_ASSET_REGISTER.csv,10699,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-E/INTELLIGENCE_CONTROL_MAINLINE.md,23807,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-E/SAFE00_DIGITAL_THREAD.md,16365,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-F/CAD_DONOR_REGISTER.csv,10534,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-F/CAE_PROJECT_RELEVANCE_REGISTER.csv,5949,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-F/FREECAD_LINEAGE_NOTES.md,8854,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-F/ROBOTIC_ARM_RETIREMENT_PLAN.md,11803,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/ARCHIVE_INTO_ROOT_A_MIGRATION_PLAN.md,4827,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/CM3A_ARCHIVE_COPY_MANIFEST.md,1241,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/NEW_CONTRADICTION_REGISTER.md,9381,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/ROOT_A_CANONICAL_STRUCTURE_PLAN.md,6916,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/ROOT_B_LIBRARY_STRUCTURE_PLAN.md,7015,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/SALVAGE_COPY_MANIFEST.md,7714,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/SUPPLEMENTAL_CONTRACT_CHAIN_COPY_MANIFEST.md,2736,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/TWO_ROOT_CONSOLIDATION_MATRIX.csv,19270,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/TWO_ROOT_EXECUTION_PLAN.md,8359,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/EXTRAS_dest.sha256,57721,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/EXTRAS_source.sha256,57721,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/F3R1_dest.sha256,45190,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/F3R1_source.sha256,45190,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/F3R2_dest.sha256,60630,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-G/manifests/F3R2_source.sha256,60630,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-V/PL1_INDEPENDENT_REVIEW.md,6711,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-V/check_csv_coverage.py,1541,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1-V/validate_pl1.py,21492,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/PL1_INDEX.md,6349,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/PL1_MAINLINE_20260808/SEI_PROJECT_MAINLINE_MAP.md,16250,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/VLA辅助机械臂抓取_最小扰动轨迹规划与刚柔耦合动力学建模_20260812.docx,269635,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/动力学建模与验证全过程逻辑梳理_20260812.docx,131065,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/动力学建模与验证全过程逻辑梳理_20260812.md,67691,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/文献查新裁决_claim边界_20260823.md,8296,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/机械LoopEngineering_RouteC与Sim13重绑定裁决_20260823.md,6891,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,01_project/competition/机械终局LoopEngineering进展裁决_20260824.md,88819,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/comp_prot_03_a4_b5_0_b601_space_manipulator_engineering_cad/research_execution_plan.md,6604,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/comp_prot_03_a4_b5_1_b601_interface_closure_articulation_stowage/research_execution_plan.md,5154,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/comp_prot_03_a4_b5_1r1_b601_canonical_interface_native_articulation_rework/phase0_findings.md,3270,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/comp_prot_03_a4_b5_1r1_b601_canonical_interface_native_articulation_rework/research_execution_plan.md,8764,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/contribution_map/README.md,459,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/contribution_map/claim_evidence_matrix.csv,3251,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/contribution_map/paper1_contribution_map.md,5456,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/papers/AEROSPACE_ROBOTICS_EXPERT_RESEARCH_SYNTHESIS_20260808.md,17545,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/MECH_TI_01_AUTHORITY_GRAPH_V1.json,7278,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/MECH_TI_01_BLOCKER_MATRIX_V1.json,9908,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/MECH_TI_01_HISTORICAL_MISSING_ORIGINAL_AUDIT_V1.json,4619,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/MECH_TI_01_SHA256_MANIFEST_V1.csv,1016,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/README.md,3589,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/knowledge_contract.yaml,2999,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/results/MECH_TI_01_GATE_CHECK_V1.json,2094,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/results/MECH_TI_01_NEGATIVE_CONTROLS_V1.json,2213,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/results/MECH_TI_01_VALIDATION_V1.json,1481,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/run_negative_controls.py,8024,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/source_registry.yaml,4469,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/knowledge_base/spacecraft_mechanical_design/validate_mech_ti_01.py,20868,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/mechanical_design_progress_gallery_20260729/MECHANICAL_DESIGN_PROGRESS_GALLERY_20260729.md,9935,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/mechanical_design_progress_gallery_20260729/assets/drawing_maintenance_page1.png,190797,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/mechanical_design_progress_gallery_20260729/assets/drawing_stowed_page1.png,189958,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/mechanical_design_progress_gallery_20260729/cad_viewer_stderr.log,27,E7E017B7A07B16190CC833A49EC37C5A4EDDBC5312A352CF83B297DC937F8A1B,MECHANICAL_MIDDLEWARE_CANDIDATE,REVIEW_BEFORE_DELETE,Likely intermediate/receipt material; may still carry negative evidence
??,10_research/mechanical_design_progress_gallery_20260729/cad_viewer_stdout.log,237,DE11E4CCEECE1C7F7C40111EC97DF0B14B9AD6E40B4A5C3DB3C42AA328DBBBF3,MECHANICAL_MIDDLEWARE_CANDIDATE,REVIEW_BEFORE_DELETE,Likely intermediate/receipt material; may still carry negative evidence
??,10_research/research_os_01/initialization_report.md,3577,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_01/research_execution_plan.md,4183,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_01/source_inventory.csv,2905,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_01/validation_report.md,2745,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/README.md,1163,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/evidence_backlog.csv,4209,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/online_source_register.csv,5326,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/q6_evidence_gap_and_generation_plan.md,9755,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/research_execution_plan.md,6805,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_os_02/validation_report.md,4537,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q1_capture_feasibility.md,5089,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q2_flexible_coupling.md,3729,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q3_uncertainty_constraint.md,3218,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q4_embodied_intelligence.md,2200,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q5_digital_twin.md,2306,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/Q6_on_orbit_assembly.md,9809,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/research_questions/README.md,4043,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/README.md,2507,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/README.md,4472,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/cad_urdf_dynamics_interface_design.md,10782,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/comp_prot_03_implementation_requirements.md,9873,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/model_parameter_specification.md,10489,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/open_source_resource_survey.md,10231,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_02/space_robot_platform_spec.md,11900,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_03_a0_a1/README.md,7168,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
??,10_research/space_embodied_robotics/comp_prot_03_a0_a1/a0_a1_architecture_review_record.yaml,9875,NOT_COMPUTED_FULL_INVENTORY,RESEARCH_OR_EVIDENCE_ASSET,KEEP_PENDING_VERSION_CONTROL,"Research, decision, or evidence asset"
