clamp_id,cad_part_name,host_link,type,frame,x_mm,y_mm,z_mm,axis_dx,axis_dy,axis_dz,bore_radius_mm,retained_radius_mm,install_allowance_mm,colocation_budget_mm,fastener_interface,note
GS-L4-HIGH-E2,RC-GSP-L4-HIGH-E2,link4,GUIDE_SUPPORT,link4_frame,199.649,-80.237,-119.565,-0.244115732,0.078532326,-0.966561009,11.000,9.500,0.500,1.000,2xM3 on V8 high-bypass guide,conduit-axis support E2; not a cable clamp
CF-J5-F,RC-CLP-J5-FIX,link4,FIXED,link4_frame,154.773,-65.800,-206.174,-0.475886022,0.000000000,-0.879506961,6.000,5.000,0.500,0.500,2xM3 on V8 high-bypass guide,V8 external J5 wrap entry fixed clamp
CM-J5-M,RC-CLP-J5-MOV,link5,MOVING,link5_frame,-17.815,119.710,-28.300,0.550729214,-0.834683972,0.000000000,6.000,5.000,0.500,0.500,2xM3 on link5 derived pad,J5 wrap exit moving clamp
GS-J5-HIGH-W2,RC-GSP-J5-HIGH-W2,link5,GUIDE_SUPPORT,link5_frame,88.966,-42.128,-44.409,0.389424362,-0.590210697,-0.707106781,11.000,9.500,0.500,1.000,2xM3 on V8 high-return guide,conduit-axis support W2; not a cable clamp
GS-J5-HIGH-W3,RC-GSP-J5-HIGH-W3,link5,GUIDE_SUPPORT,link5_frame,88.384,-42.530,-123.590,-0.414979397,0.572531309,-0.707106781,11.000,9.500,0.500,1.000,2xM3 on V8 high-return guide,conduit-axis support W3; not a cable clamp
GS-J5-HIGH-A6,RC-GSP-J5-HIGH-A6,link5,GUIDE_SUPPORT,link5_frame,28.493,41.440,-122.908,-0.380225698,0.581980181,0.718837595,11.000,9.500,0.500,1.000,2xM3 on V8 high-return guide,conduit-axis support A6; not a cable clamp
CM-J6-F,RC-CLP-J6-FIX,link5,FIXED,link5_frame,28.092,55.000,40.000,0.057777843,0.000000000,0.998329465,6.000,5.000,0.500,0.500,2xM3 on link5 end pad,J6 helix entry fixed clamp
CM-J6-M,RC-CLP-J6-MOV,link6,MOVING,link6_frame,55.000,-0.000,39.400,0.000000000,0.998329465,0.057777843,6.000,5.000,0.500,0.500,2xM3 on link6 derived pad,J6 helix exit moving clamp
CF-WR-SR,RC-SR-WRIST,link6,STRAIN_RELIEF,link6_frame,51.555,54.971,124.457,-0.042042454,0.000772567,0.999115526,6.000,5.000,0.500,0.500,2xM3 on link6 wrist pad,wrist strain relief
CF-WR-PL,RC-PLT-WRIST-SPLIT,link6,CONNECTOR_PLATE,link6_frame,50.000,55.000,161.400,,,,,,,,4xM3 on RC-PLT-WRIST-SPLIT,wrist connector split plate; not a cable clamp
