path,file_count,size_estimate,has_git,classification,evidence,project_relation,recommended_entry,notes
"F:\CAE-Agent-Hub",31919,n/m,yes (1),F_UNRELATED_PROJECT,"listing: MCP/Skill/viewer/README (generic CAE agent hub software)","generic CAE-agent tooling project, not SEI-specific",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: own software project; no SEI keyword hits at top level; REFLIB is unique reference SSOT"
"F:\spirit_ai_mechanical",1695,n/m,yes (1),F_UNRELATED_PROJECT,"listing: slip-ring (滑环) CAD, dual-arm design PDFs, dated photo dirs","non-SEI mechanical design data (internship/other project)",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: no B601/SEI SSOT registration; possible informal reference value only"
"F:\VLA算法论文",369,n/m,yes (1),F_UNRELATED_PROJECT,"listing: papers/, notes/, outputs/, PROJECT_CHARTER.md, AGENTS.md, CLAUDE.md","separate VLA-literature notes project",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: embodied-AI domain overlap but not part of SEI engineering mainline; REFLIB is unique reference library"
"F:\VLA算法论文.zip",1,"361 KB",no,F_UNRELATED_PROJECT,"top-level zip sibling of VLA算法论文 dir","companion archive of the VLA notes project",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (file, not root)"
"F:\Undergraduate_project",2436,n/m,no (depth<=3),F_UNRELATED_PROJECT,"listing: DDPG/PPO/Normal PID, *.slx closed-loop Simulink models","undergraduate control coursework",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: control-theory coursework; no SEI asset registration"
"F:\Project",225,n/m,yes (1),F_UNRELATED_PROJECT,"listing: Pendulum-DDPG only","RL pendulum coursework",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\vehicle_2dof_steering",9,n/m,no,F_UNRELATED_PROJECT,"listing: vehicle_2dof.slx, build/run scripts, step_response.png","vehicle steering dynamics coursework",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\zoo-design-studio-projects_backup_20260513_115728",3,n/m,no,F_UNRELATED_PROJECT,"listing: flange/, project.toml","Zoo CAD hobby backup",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\实习工作文档",78221,n/m,no,H_PERSONAL,"listing: QTG airship, Simpole platform docs, Simulink modeling, internship zips","internship work documents",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: personal/internship archive"
"F:\实习证明_聘用",4,n/m,no,H_PERSONAL,"listing: 4 employment/internship PDFs","personal HR documents",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\BaiduNetdiskDownload",n/m (8 top entries),n/m,no,H_PERSONAL,"listing: Abaqus2023/SW2024 installers, pdf packs, R001-迈迪工具集","personal download store (incl. CAE installers)",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: installers may be tool sources but root itself is not project truth"
"F:\Wechat",n/m (6 top entries),n/m,no,H_PERSONAL,"listing: emojis/file/images/texts/videos/voices","WeChat data",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\WeChat_Backup_20260722",n/m (2 top entries),n/m,no,H_PERSONAL,"listing: Backup, xwechat_files","WeChat backup",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\回忆_jinyi",n/m (6 top entries),n/m,no,H_PERSONAL,"listing: WeChat-style export dirs","personal memories export",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\回忆_jingyi.zip",1,"886 MB",no,H_PERSONAL,"top-level zip","personal memories archive",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (file, not root)"
"F:\download",1371,n/m,no,H_PERSONAL,"listing: mixed PDFs/installers/resume (some aerospace/vibration papers)","personal download folder",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED: loose papers here are NOT project references; REFLIB is unique reference SSOT"
"F:\condaenvs","n/m (2 envs: ddpg-sim, rebot)",n/m,no,G_SYSTEM_TOOL,"lib-index external_tools: DO_NOT_MOVE; env name 'rebot' matches gripper vendor stack","conda environments; 'rebot' env likely runtime for 80_third_party/vendor/reBot-DevArm",EXTERNAL,"project-relevant tool runtime; keep in place"
"F:\condapkgs",n/m (75 top entries),n/m,no,G_SYSTEM_TOOL,"listing: conda package cache","conda package cache",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (tool cache)"
"F:\pip-cache",n/m (3 top entries),n/m,no,G_SYSTEM_TOOL,"listing: http-v2/selfcheck/wheels","pip cache",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (tool cache)"
"F:\ffmpeg-master-latest-win64-gpl-shared",n/m (6 top entries),n/m,no,G_SYSTEM_TOOL,"lib-index external_tools: 主仓运行时依赖 DO_NOT_MOVE; bin/doc/include/lib","ffmpeg runtime (main-repo media tooling dependency)",EXTERNAL,"project-relevant tool; keep in place"
"F:\codex-worktrees",7552,n/m,worktree .git pointers (4+ at depth2),E_PROJECT_TOOL,"listing: future-flight-wave1-* (ctrl01/ctrl02/integrator/safe00), future-flight-e15-*, future-flight-convergence-*; lib-index DO_NOT_MOVE","Codex agent git worktrees of ROOT A branches (wave1/ctrl-01 etc. confirmed in ROOT A git branch list)",EXTERNAL,"project-linked tool area; do not move; content is worktree checkouts, not separate truth"
"F:\kb-worktrees",853,n/m,worktree .git pointer (track-a),E_PROJECT_TOOL,"listing: track-a; ROOT A branch kb/track-a @ b75352c exists","knowledge-base worktree of ROOT A",EXTERNAL,"project-linked tool area; lib-index DO_NOT_MOVE"
"F:\claude",1,n/m,no,G_SYSTEM_TOOL,"single file report_yh.md","Claude agent workspace residue",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\claude-skills",1918,n/m,no,G_SYSTEM_TOOL,"listing: PaperFit/nature-skills/superpowers etc.","agent skill libraries",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (agent tooling)"
"F:\codex_skill",123829,n/m,no,G_SYSTEM_TOOL,"listing: AgentSkills/mcp/research-toolchain/config_backups","Codex agent skill/MCP toolchain",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (agent tooling)"
"F:\matlab_mcp_test",4,n/m,no,G_SYSTEM_TOOL,"listing: pid_closed_loop_test.slx + 2 png + 1 mat","MATLAB MCP test artifacts",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED"
"F:\NVIDIA Corporation",n/m (1 top entry),n/m,no,G_SYSTEM_TOOL,"listing: umdlogs","GPU driver logs",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (OS/driver)"
"F:\Windows_profile",n/m (7 top entries),n/m,no,G_SYSTEM_TOOL,"listing: Antigravity/Tecent_doc/Zcode/doubao/solidworks/webot/workbuddy","application profile data (incl. SolidWorks/Webtools profiles)",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (app data)"
"F:\Soildworks Data",n/m (7 top entries),n/m,no,G_SYSTEM_TOOL,"listing: ToolboxStandards.xml, CopiedParts, SolidWorks electric, lang/updates","SolidWorks application data / Toolbox","EXTERNAL","PROJECT_BOUNDARY_EXCLUDED from truth; NOTE: SW Toolbox may be needed to open F3R1 SLDASM correctly - tool-side dependency only"
"F:\Solidworks_plugin",n/m (79 top entries),n/m,no,G_SYSTEM_TOOL,"listing: GreatCraftsman.SW.dll, CefSharp DLLs","SolidWorks plugin binaries",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (tool)"
"F:\$RECYCLE.BIN",n/m,n/m,no,G_SYSTEM_TOOL,"OS recycle bin (SID subdirs)","OS",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (OS)"
"F:\System Volume Information",n/m,n/m,no,G_SYSTEM_TOOL,"OS system volume metadata","OS",EXTERNAL,"PROJECT_BOUNDARY_EXCLUDED (OS)"
