state,instance_id,T_S_step_m,transform_equation,source_frame,target_frame,translation_unit,source_translation_unit,rotation_valid,same_geometry_as_873,same_transform_as_873,native_whole_plan_current,source_hash_verified
service,RB_end_screw_-1_1_-1,"[[0.0,0.0,-1.0,-0.19],[0.0,-1.0,0.0,0.10715000000000001],[-1.0,0.0,0.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_-1_1_-1,S,m,mm,True,True,True,False,True
service,RB_end_plug_-1_1_1,"[[1.0,0.0,0.0,-0.167],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_-1_1_1,S,m,mm,True,True,True,False,True
service,RB_end_screw_-1_1_1,"[[0.0,0.0,-1.0,-0.19],[0.0,-1.0,0.0,0.10715000000000001],[-1.0,0.0,0.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_-1_1_1,S,m,mm,True,True,True,False,True
service,RB_end_frame_1,"[[1.0,0.0,0.0,0.18],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_frame_1,S,m,mm,True,True,True,False,True
service,RB_end_plug_1_-1_-1,"[[1.0,0.0,0.0,0.167],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_1_-1_-1,S,m,mm,True,True,True,False,True
service,RB_end_screw_1_-1_-1,"[[0.0,0.0,1.0,0.183],[0.0,-1.0,0.0,-0.10715000000000001],[1.0,0.0,0.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_1_-1_-1,S,m,mm,True,True,True,False,True
service,RB_end_plug_1_-1_1,"[[1.0,0.0,0.0,0.167],[0.0,1.0,0.0,-0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_1_-1_1,S,m,mm,True,True,True,False,True
service,RB_end_screw_1_-1_1,"[[0.0,0.0,1.0,0.183],[0.0,-1.0,0.0,-0.10715000000000001],[1.0,0.0,0.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_1_-1_1,S,m,mm,True,True,True,False,True
service,RB_end_plug_1_1_-1,"[[1.0,0.0,0.0,0.167],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_1_1_-1,S,m,mm,True,True,True,False,True
service,RB_end_screw_1_1_-1,"[[0.0,0.0,1.0,0.183],[0.0,-1.0,0.0,0.10715000000000001],[1.0,0.0,0.0,-0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_1_1_-1,S,m,mm,True,True,True,False,True
service,RB_end_plug_1_1_1,"[[1.0,0.0,0.0,0.167],[0.0,1.0,0.0,0.10715000000000001],[0.0,0.0,1.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_plug_1_1_1,S,m,mm,True,True,True,False,True
service,RB_end_screw_1_1_1,"[[0.0,0.0,1.0,0.183],[0.0,-1.0,0.0,0.10715000000000001],[1.0,0.0,0.0,0.10715000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_end_screw_1_1_1,S,m,mm,True,True,True,False,True
service,WP01-RB-BRIDGE-R2,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:WP01-RB-BRIDGE-R2,S,m,mm,True,False,False,False,True
service,RB_upper_beam_20,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.10115],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_upper_beam_20,S,m,mm,True,True,True,False,True
service,RB_lower_beam_20,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,-0.10415],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_beam_20,S,m,mm,True,True,True,False,True
service,RB_upper_beam_160,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.10115],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_upper_beam_160,S,m,mm,True,True,True,False,True
service,RB_lower_beam_160,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,-0.10415],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_beam_160,S,m,mm,True,True,True,False,True
service,RB_pillar_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.0015],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_0,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_0_top,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.08715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_0_top,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_0_bottom,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.09015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_0_bottom,S,m,mm,True,True,True,False,True
service,RB_lower_spacer_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.09965],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_spacer_0,S,m,mm,True,True,True,False,True
service,RB_pillar_tierod_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.11715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_tierod_0,S,m,mm,True,True,True,False,True
service,RB_pillar_top_washer_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.11665],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_top_washer_0,S,m,mm,True,True,True,False,True
service,RB_pillar_bottom_washer_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.10765000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_bottom_washer_0,S,m,mm,True,True,True,False,True
service,RB_pillar_nut_0,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_nut_0,S,m,mm,True,True,True,False,True
service,RB_pillar_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.0015],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_1,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_1_top,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.08715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_1_top,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_1_bottom,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.09015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_1_bottom,S,m,mm,True,True,True,False,True
service,RB_lower_spacer_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.09965],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_spacer_1,S,m,mm,True,True,True,False,True
service,RB_pillar_tierod_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.11715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_tierod_1,S,m,mm,True,True,True,False,True
service,RB_pillar_top_washer_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.11665],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_top_washer_1,S,m,mm,True,True,True,False,True
service,RB_pillar_bottom_washer_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.10765000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_bottom_washer_1,S,m,mm,True,True,True,False,True
service,RB_pillar_nut_1,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_nut_1,S,m,mm,True,True,True,False,True
service,RB_pillar_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.0015],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_2,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_2_top,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.08715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_2_top,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_2_bottom,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.09015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_2_bottom,S,m,mm,True,True,True,False,True
service,RB_lower_spacer_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.09965],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_spacer_2,S,m,mm,True,True,True,False,True
service,RB_pillar_tierod_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.11715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_tierod_2,S,m,mm,True,True,True,False,True
service,RB_pillar_top_washer_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,0.11665],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_top_washer_2,S,m,mm,True,True,True,False,True
service,RB_pillar_bottom_washer_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.10765000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_bottom_washer_2,S,m,mm,True,True,True,False,True
service,RB_pillar_nut_2,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.09415000000000001],[0.0,0.0,1.0,-0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_nut_2,S,m,mm,True,True,True,False,True
service,RB_pillar_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.0015],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_3,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_3_top,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.08715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_3_top,S,m,mm,True,True,True,False,True
service,RB_pillar_plug_3_bottom,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.09015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_plug_3_bottom,S,m,mm,True,True,True,False,True
service,RB_lower_spacer_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.09965],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_lower_spacer_3,S,m,mm,True,True,True,False,True
service,RB_pillar_tierod_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.11715],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_tierod_3,S,m,mm,True,True,True,False,True
service,RB_pillar_top_washer_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,0.11665],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_top_washer_3,S,m,mm,True,True,True,False,True
service,RB_pillar_bottom_washer_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.10765000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_bottom_washer_3,S,m,mm,True,True,True,False,True
service,RB_pillar_nut_3,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.09415000000000001],[0.0,0.0,1.0,-0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:RB_pillar_nut_3,S,m,mm,True,True,True,False,True
service,WP01-MT-M3RA-REUSED,"[[1.0,0.0,0.0,0.09],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.12515],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:WP01-MT-M3RA-REUSED,S,m,mm,True,True,True,False,True
service,WP01-MT-M3RB-REUSED,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:WP01-MT-M3RB-REUSED,S,m,mm,True,False,False,False,True
service,M6_top_washer_-70_-70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.12565],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_top_washer_-70_-70,S,m,mm,True,True,True,False,True
service,M6_root_bolt_-70_-70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.12615],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_bolt_-70_-70,S,m,mm,True,True,True,False,True
service,M6_bottom_washer_-70_-70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.09465000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_bottom_washer_-70_-70,S,m,mm,True,True,True,False,True
service,M6_root_nut_-70_-70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.09115000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_nut_-70_-70,S,m,mm,True,True,True,False,True
service,M6_top_washer_70_-70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.12565],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_top_washer_70_-70,S,m,mm,True,True,True,False,True
service,M6_root_bolt_70_-70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.12615],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_bolt_70_-70,S,m,mm,True,True,True,False,True
service,M6_bottom_washer_70_-70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.09465000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_bottom_washer_70_-70,S,m,mm,True,True,True,False,True
service,M6_root_nut_70_-70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,-0.07],[0.0,0.0,1.0,0.09115000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_nut_70_-70,S,m,mm,True,True,True,False,True
service,M6_top_washer_-70_70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.12565],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_top_washer_-70_70,S,m,mm,True,True,True,False,True
service,M6_root_bolt_-70_70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.12615],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_bolt_-70_70,S,m,mm,True,True,True,False,True
service,M6_bottom_washer_-70_70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.09465000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_bottom_washer_-70_70,S,m,mm,True,True,True,False,True
service,M6_root_nut_-70_70,"[[1.0,0.0,0.0,0.02],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.09115000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_nut_-70_70,S,m,mm,True,True,True,False,True
service,M6_top_washer_70_70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.12565],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_top_washer_70_70,S,m,mm,True,True,True,False,True
service,M6_root_bolt_70_70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.12615],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_bolt_70_70,S,m,mm,True,True,True,False,True
service,M6_bottom_washer_70_70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.09465000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_bottom_washer_70_70,S,m,mm,True,True,True,False,True
service,M6_root_nut_70_70,"[[1.0,0.0,0.0,0.16],[0.0,1.0,0.0,0.07],[0.0,0.0,1.0,0.09115000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M6_root_nut_70_70,S,m,mm,True,True,True,False,True
service,M5_interstage_bolt_0,"[[1.0,0.0,0.0,0.14774247078195543],[0.0,1.0,0.0,0.02391771452281811],[0.0,0.0,1.0,0.128555],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_interstage_bolt_0,S,m,mm,True,True,True,False,True
service,M5_top_washer_0,"[[1.0,0.0,0.0,0.14774247078195543],[0.0,1.0,0.0,0.02391771452281811],[0.0,0.0,1.0,0.128055],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_top_washer_0,S,m,mm,True,True,True,False,True
service,M5_bottom_washer_0,"[[1.0,0.0,0.0,0.14774247078195543],[0.0,1.0,0.0,0.02391771452281811],[0.0,0.0,1.0,0.11265000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_bottom_washer_0,S,m,mm,True,True,True,False,True
service,M5_interstage_nut_0,"[[1.0,0.0,0.0,0.14774247078195543],[0.0,1.0,0.0,0.02391771452281811],[0.0,0.0,1.0,0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_interstage_nut_0,S,m,mm,True,True,True,False,True
service,M5_interstage_bolt_1,"[[1.0,0.0,0.0,0.11391771452281811],[0.0,1.0,0.0,0.05774247078195542],[0.0,0.0,1.0,0.128555],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_interstage_bolt_1,S,m,mm,True,True,True,False,True
service,M5_top_washer_1,"[[1.0,0.0,0.0,0.11391771452281811],[0.0,1.0,0.0,0.05774247078195542],[0.0,0.0,1.0,0.128055],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_top_washer_1,S,m,mm,True,True,True,False,True
service,M5_bottom_washer_1,"[[1.0,0.0,0.0,0.11391771452281811],[0.0,1.0,0.0,0.05774247078195542],[0.0,0.0,1.0,0.11265000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_bottom_washer_1,S,m,mm,True,True,True,False,True
service,M5_interstage_nut_1,"[[1.0,0.0,0.0,0.11391771452281811],[0.0,1.0,0.0,0.05774247078195542],[0.0,0.0,1.0,0.11015000000000001],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_interstage_nut_1,S,m,mm,True,True,True,False,True
service,M5_interstage_bolt_2,"[[1.0,0.0,0.0,0.0660822854771819],[0.0,1.0,0.0,0.05774247078195542],[0.0,0.0,1.0,0.128555],[0.0,0.0,0.0,1.0]]",p_S_m = R_S_step * p_step_m + t_S_m,STEP_LOCAL:M5_interstage_bolt_2,S,m,mm,True,True,True,False,True
