id,group,object,status,completed_evidence_scope,remaining_design,closure_responsibility,required_input,next_concrete_operation,closure_evidence,evidence_paths,execution_root_cause,next_source_edit,acceptance_action,execution_state,new_evidence
B05,B,完整任务模式与轨道能源收支,INTERNAL_DESIGN_OPEN,95 min 示例周期仅余 9.047632 Wh；1/2/5/10/20 min 敏感性计算存在,示例轨道/姿态/日照/阴影及操作占空未绑定现任务；启动/峰值/制动/恢复全负载模型不完整,系统任务与电源工程,现任务的轨道/日照区间、负载时序与适用 DM 模型,绑定适用范围并重算 SOC、充电恢复、峰值/稳态、遮挡与温度损耗,不删 360 W 筛查、不偷降任务，所有必需模式能源与保护均通过,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\ENERGY_SENSITIVITY.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\POWER_COMPLETION_ANALYSIS.json,"Existing high-power battery/converter candidate requires parallel current sharing and has incomplete charge/interfaces; select a documented single high-current protected pack and single converter, integrate without claiming unknown margins.",预留上界、真实任务能量和充电闭环,核验真实增量；整项状态保持,ACTUAL_SOURCE_INTEGRATION__WHOLE_ROW_STILL_OPEN,360W任务＋1W制动偏置；输入侧启动另预留0.25W，STOP16.8W独立 | power/LOAD_SIDE_BRAKE_CALCULATIONS.json; results/BRAKE_CONTACT_GEOMETRY.json | power/STARTUP_CIRCUIT_CALCULATIONS.json; power/STOP_FULL_FAULT_BUDGET.json
B06,B,A3200 唯一正式供电支路,INTERNAL_DESIGN_OPEN,76.2 mm P1 短线和源 3.29–3.32 V/热回路≤180 mΩ条件已定义,该范围不是所选 PDU 保证；启动/限流/热态接触电阻及 P1/FSI 实际互斥未闭合,低压电源/接口工程,PDU 全范围保证及中断曲线；端子/线材热阻抗与正式供电方式,用同版允许接口完成一个正式支路，替换无法保证的调节级并重算启动/压降,源/负载各电压界和故障保护有保证，禁止双源并接,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\power\POWER_DESIGN_ZH.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\POWER_CLOSURE_STATUS.json,,,,UNCHANGED_PARENT_SCOPE,
C01,C,GX11CAB 具体选择和正线切断拓扑,COMPLETE_SCOPED_SUBITEM,GX11CAB正线切断、连续回流、辅助NO身份已锁；原厂25°C表的Release Time Max=12 ms已更正，旧typical描述保留勘误,子项完成；不称全电隔离、不称辅助 NO 为镜像安全触点,停止硬件工程,既定 K1 型号,沿用真实端子极性，完整实现见 C03,型号/极性/额定值有来源,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\power\POWER_CONTRACT.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\ecad\MASTER_FROM_TO.csv,,,,UNCHANGED_PARENT_SCOPE,
C02,C,停止监督离线命令策略,COMPLETE_SCOPED_SUBITEM,真实 Python 状态机；13 项测试 PASS；未知/故障锁存、复位及新上升沿,仅命令策略；无 MCU 构建、实际驱动或安全时间证明,控制软件工程,现有观察/命令合同,保留已测试语义，物理适配器由 C03/E06 实现,测试回执和源哈希一致，physical_io=0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\control\stop_supervisor.py | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\STOP_POLICY_TESTS.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\control\README.md,,,,UNCHANGED_PARENT_SCOPE,
C03,C,独立停止链、线圈驱动/反馈/故障检测电路,INTERNAL_DESIGN_OPEN,76器件真实子页；TSR1-2433/2450静态供源、TC4420CAT输入电流边界与24V辅助触点连接；440设计检查和494独立检查,纹波/启动/瞬态及15.7/13.5mV恢复裕度、Schmitt连续电压域阈值、棕断行为、MCU/母线健康、PCB热布局与全链100ms仍未闭合,电气停止链工程,K1 全范围线圈/释放数据；母线/反灌/时间要求；已选器件保证界,完成真实驱动与监测原理图/PCB、独立允许/看门狗/复位链，逐故障算时序与功率路径,实际KiCad网表及状态逻辑/器件计算；不是板级瞬态或实物功能安全证明,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\electrical\README.md,,停止动态、连续阈值、启动掉电及复位验证,核验真实增量；整项状态保持,ACTUAL_SOURCE_INTEGRATION__WHOLE_ROW_STILL_OPEN,全部11开漏和输入漏电清点；主域LT3013/TPS3808/MOS启动源已集成 | power/LOAD_SIDE_BRAKE_CALCULATIONS.json; results/BRAKE_CONTACT_GEOMETRY.json | power/STARTUP_CIRCUIT_CALCULATIONS.json; power/STOP_FULL_FAULT_BUDGET.json
C04,C,掉电可用回生能量去路与脉冲/平均热,INTERNAL_DESIGN_OPEN,已指出 2Ω/50W 与 50 J需求不能互证；参数化动能表已算,真实组合体惯量/速度/重力项及电阻脉冲曲线、掉电吸收/过温处置、温升安装未闭合,驱动/回生与热工程,F02 质量惯量、B601允许速度/停止域、器件失电及脉冲能力,逐正常/断电/过温模式计算能量与去路，选能覆盖的吸收功率级和电阻并做热结构安装,最大残余能量、吸收容量/时序/温升及故障保持共同通过,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\STOP_REGEN_DESIGN.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\REGEN_ENERGY_SENSITIVITY.csv | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\power\POWER_DESIGN_UPDATE.md,,PG时序、过压峰值、回生能量、开关PCB与热,核验真实增量；整项状态保持,ACTUAL_SOURCE_INTEGRATION__WHOLE_ROW_STILL_OPEN,负载侧自供电绝对阈值制动已入原生源和三电阻局部装配 | power/LOAD_SIDE_BRAKE_CALCULATIONS.json; results/BRAKE_CONTACT_GEOMETRY.json
C05,C,失扭矩承托及完整 GSE 防护,INTERNAL_DESIGN_OPEN,正常停止策略要求承托先接管；RSP明确仅 GSE,承托实体/传感器/额定载荷、AC/PE/应变释放、制动罩壳及 PCB 固定尚不完整,机械保持与 GSE 电气工程,操作域/地面重力载荷、承托位置、线材与电阻热界面,设计保持/承托件和状态传感器；完成市电端子防护/PE与卸载/热罩，不计入随星质量,失驱动后支撑与可触边界成立、故障表和装配图一致,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\control\README.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\ecad\README.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\README.md,,,,UNCHANGED_PARENT_SCOPE,
D01,D,推进公开资料锁版及必要条件排除,COMPLETE_SCOPED_SUBITEM,四候选及C-POD同PN/Rev冲突保留；本轮再完成20项接口/上下界检查；0.50mNs MIB与<10ms阀响应分账,完成的是资料身份及条件排除；不构成实际推进能力,推进系统工程,已保存原厂资料,保持两个 SHA 身份，禁止混参数或虚构喷口,推导适用范围和源证据可复算,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\PROPULSION_SELECTION_REVIEW.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\sources\propulsion_intake\REVIEW_CHECK_RESULTS.json,,,,UNCHANGED_PARENT_SCOPE,
D02,D,具体推进模块的机械/电气/软件受控接口,EXTERNAL_INTERFACE_UNBOUND,C-POD公开安装螺纹.112-40 UNC-2B已绑定，不再误认M3；PDU200 CH1/Reg0的源侧针位已绑定,总孔数/坐标/深度/保持载荷、实际喷口方向/命令映射/并发/推进器针表/CRC遥测与故障态仍未获得受控ICD,推进接口工程；Owner 提供可访问受控资料,完整配置适用性+机械+电气+软件 ICD 四类文件，解除双参数表冲突,把一个真实配置绑定到源、端点、喷口与状态机；资料不支持时定点替换或改版,所有必需命令/针位/喷流和安装均来自同实际配置，不用 ATMOS 冒充,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\resume_20260908\PROPULSION_INTERFACE_CONTRACT.json,C-POD same-model conflicting public datasheets and missing nozzle/command/mechanical ICD; published catalog page cannot supply proprietary pinout.,power/PROPULSION_INTERFACE.json,Single-revision actual nozzle/pin/command/install mapping; admissible allocation at task inputs,PUBLIC_LOOKUP_NO_ACCEPTABLE_NEW_ICD,"manufacturer historical PDF URL returned HTML, rejected; prior propulsion review retained"
D03,D,推进实际任务与预算闭环,INTERNAL_DESIGN_OPEN,旧 MiPS 满资源平衡力偶上界2.84665<3.65099；C-POD 历史推进剂预算上界1.82586不足,现任务矢量/平移许可/时间窗、最终 mass/COM 与真实 nozzle 未绑定；缺受约束分配和必要时域,推进与总体工程,D02/F02，任务 H向量、允许平移、时间及资源边界,对真实喷口做方向/并发/脉冲/禁喷/功率/冲量/时间联合检查并反算预算,全部现行任务约束同时满足；单独 LP 或满秩不通过；不改历史科学裁决,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\sources\propulsion_intake\REVIEW_CHECK_RESULTS.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\PROPULSION_SELECTION_REVIEW.md,C-POD same-model conflicting public datasheets and missing nozzle/command/mechanical ICD; published catalog page cannot supply proprietary pinout.,power/PROPULSION_INTERFACE.json,Single-revision actual nozzle/pin/command/install mapping; admissible allocation at task inputs,PUBLIC_LOOKUP_NO_ACCEPTABLE_NEW_ICD,"manufacturer historical PDF URL returned HTML, rejected; prior propulsion review retained"
D04,D,推进实际安装、维护与工作喷流,INTERNAL_DESIGN_OPEN,旧110x160x75共享舱正交放置均不能直接容纳 C-POD 包络,未给最终空置净空间、受控安装变换/保持载荷、工具和羽流路径,推进结构/热接口工程,D02安装图、D03资源、现全星净几何,局部重分配受影响舱位并设计安装件/热面；独立核维护拔插与禁喷扫掠,实际实体/保持/热面和喷流条件一起通过，不把外壳尺寸当空舱,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\propulsion\PROPULSION_SELECTION_REVIEW.md | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\DELIVERY_STATUS.json,C-POD same-model conflicting public datasheets and missing nozzle/command/mechanical ICD; published catalog page cannot supply proprietary pinout.,power/PROPULSION_INTERFACE.json,Single-revision actual nozzle/pin/command/install mapping; admissible allocation at task inputs,PUBLIC_LOOKUP_NO_ACCEPTABLE_NEW_ICD,"manufacturer historical PDF URL returned HTML, rejected; prior propulsion review retained"
E01,E,现有系统 KiCad 与主 From–To 同源,COMPLETE_SCOPED_SUBITEM,新系统99器件/97网/72外部连接；194实际网表/身份检查；107行分层BOM与99ref对应,保留2项抽象保护/开关后电源驱动ERC诊断，不加PWR_FLAG；ERC数量不代表功能覆盖,ECAD工程,唯一 MASTER_FROM_TO,沿同源工程作后续真实电路改版,现有网络关系得到真实 KiCad导出验证,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\results\STOP_ECAD_INTEGRATION.json,,,,UNCHANGED_PARENT_SCOPE,
E02,E,独立 RS422 地面无源转接板,COMPLETE_SCOPED_SUBITEM,15焊盘/5网；ERC/DRC/网表一致性/未布线为0；实体为1.51mm基材,板级导体设计完成；罩壳、焊线卸载和成品工艺属于C05/E05，不是推进接口认证,PCB/线束工程,现有原生板源,保留可复现板源，按 GSE 安装责任完成外部固定,只给该独立板的已执行检查信用,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\ecad\rs422_gse_splice.kicad_pcb | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\ECAD_VERIFICATION.json | F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\reuse_closure\results\NATIVE_BOARD_MATERIAL.json,,,,UNCHANGED_PARENT_SCOPE,
E03,E,MotorBridge 原始源与 DM 离线适配,COMPLETE_SCOPED_SUBITEM,保留29项Python历史测试；本轮实际加载官方cp313 Win64 MotorBridge0.5.3 DLL，18项ABI版本/空句柄/未绑定控制器生命周期与错误传播通过；独立155项复核,未本机重编Rust；原生MIT编码/串口后端与硬件I/O未执行。ctypes布局仅匹配reprC声明，未在DLL内部探测布局,DM软件工程,已锁定源与测试,保持实际执行身份，真实部署见E04,父版29项Python测试保留历史；当前18项真实原生ABI边界执行，physical_io=0；不扩大为MIT编码或串口后端通过,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\system_completion\results\DM_NATIVE_VERIFICATION.json,,,,UNCHANGED_PARENT_SCOPE,
