case_id,target_type,tumble_rate_deg_s,approach_velocity_m_s,arm_speed_scale,pose_error_deg,inertia_scale,reaction_aware,visibility_ratio,capture_window_s,reach_time_s,base_peak_deg,v_max_m_s,post_capture_rate_dps,clearance_min_m,result,failure_reason
C0020,target_satellite_v0,0.5,0.005,1.0,1.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0021,target_satellite_v0,0.5,0.005,1.0,1.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0022,target_satellite_v0,0.5,0.005,1.0,1.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0023,target_satellite_v0,0.5,0.005,1.0,1.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0024,target_satellite_v0,0.5,0.005,1.0,1.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0025,target_satellite_v0,0.5,0.005,1.0,2.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0026,target_satellite_v0,0.5,0.005,1.0,2.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0027,target_satellite_v0,0.5,0.005,1.0,2.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0028,target_satellite_v0,0.5,0.005,1.0,2.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0029,target_satellite_v0,0.5,0.005,1.0,2.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0030,target_satellite_v0,0.5,0.005,1.0,2.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0031,target_satellite_v0,0.5,0.005,1.0,3.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0032,target_satellite_v0,0.5,0.005,1.0,3.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0033,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0034,target_satellite_v0,0.5,0.005,1.0,3.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0035,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0036,target_satellite_v0,0.5,0.005,1.0,3.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0037,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0038,target_satellite_v0,0.5,0.005,1.5,1.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0039,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0040,target_satellite_v0,0.5,0.005,1.5,1.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0041,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0042,target_satellite_v0,0.5,0.005,1.5,1.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0043,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0044,target_satellite_v0,0.5,0.005,1.5,2.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0045,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0046,target_satellite_v0,0.5,0.005,1.5,2.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0047,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0048,target_satellite_v0,0.5,0.005,1.5,2.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0049,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0050,target_satellite_v0,0.5,0.005,1.5,3.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0051,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0052,target_satellite_v0,0.5,0.005,1.5,3.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0053,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0054,target_satellite_v0,0.5,0.005,1.5,3.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0055,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0056,target_satellite_v0,0.5,0.01,0.5,1.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0057,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0058,target_satellite_v0,0.5,0.01,0.5,1.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0059,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0060,target_satellite_v0,0.5,0.01,0.5,1.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0061,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0062,target_satellite_v0,0.5,0.01,0.5,2.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0063,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0064,target_satellite_v0,0.5,0.01,0.5,2.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0065,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0066,target_satellite_v0,0.5,0.01,0.5,2.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0067,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0068,target_satellite_v0,0.5,0.01,0.5,3.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0069,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0070,target_satellite_v0,0.5,0.01,0.5,3.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0071,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0072,target_satellite_v0,0.5,0.01,0.5,3.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0073,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0074,target_satellite_v0,0.5,0.01,1.0,1.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0075,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0076,target_satellite_v0,0.5,0.01,1.0,1.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0077,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0078,target_satellite_v0,0.5,0.01,1.0,1.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0079,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0080,target_satellite_v0,0.5,0.01,1.0,2.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0081,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0082,target_satellite_v0,0.5,0.01,1.0,2.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0083,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0084,target_satellite_v0,0.5,0.01,1.0,2.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0085,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0086,target_satellite_v0,0.5,0.01,1.0,3.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0087,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0088,target_satellite_v0,0.5,0.01,1.0,3.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0089,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0090,target_satellite_v0,0.5,0.01,1.0,3.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0091,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0092,target_satellite_v0,0.5,0.01,1.5,1.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0093,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0094,target_satellite_v0,0.5,0.01,1.5,1.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0095,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0096,target_satellite_v0,0.5,0.01,1.5,1.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0097,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0098,target_satellite_v0,0.5,0.01,1.5,2.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0099,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0100,target_satellite_v0,0.5,0.01,1.5,2.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0101,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0102,target_satellite_v0,0.5,0.01,1.5,2.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0103,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0104,target_satellite_v0,0.5,0.01,1.5,3.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0105,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0106,target_satellite_v0,0.5,0.01,1.5,3.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0107,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0108,target_satellite_v0,0.5,0.01,1.5,3.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0109,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0110,target_satellite_v0,0.5,0.02,0.5,1.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0111,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0112,target_satellite_v0,0.5,0.02,0.5,1.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0113,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0114,target_satellite_v0,0.5,0.02,0.5,1.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0115,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0116,target_satellite_v0,0.5,0.02,0.5,2.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,SAFE,SAFE
C0117,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0118,target_satellite_v0,0.5,0.02,0.5,2.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,SAFE,SAFE
C0119,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0120,target_satellite_v0,0.5,0.02,0.5,2.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,SAFE,SAFE
C0121,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,0,1.0,90.1,16.0,6.807,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0122,target_satellite_v0,0.5,0.02,0.5,3.0,0.8,1,1.0,90.1,16.0,1.021,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0123,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,0,1.0,90.1,16.0,6.807,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0124,target_satellite_v0,0.5,0.02,0.5,3.0,1.0,1,1.0,90.1,16.0,1.021,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0125,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,0,1.0,90.1,16.0,6.807,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0126,target_satellite_v0,0.5,0.02,0.5,3.0,1.2,1,1.0,90.1,16.0,1.021,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0127,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0128,target_satellite_v0,0.5,0.02,1.0,1.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0129,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0130,target_satellite_v0,0.5,0.02,1.0,1.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0131,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0132,target_satellite_v0,0.5,0.02,1.0,1.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0133,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0134,target_satellite_v0,0.5,0.02,1.0,2.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,SAFE,SAFE
C0135,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0136,target_satellite_v0,0.5,0.02,1.0,2.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,SAFE,SAFE
C0137,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0138,target_satellite_v0,0.5,0.02,1.0,2.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,SAFE,SAFE
C0139,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,0,1.0,90.1,8.0,13.133,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0140,target_satellite_v0,0.5,0.02,1.0,3.0,0.8,1,1.0,90.1,8.0,1.97,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0141,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,0,1.0,90.1,8.0,13.133,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0142,target_satellite_v0,0.5,0.02,1.0,3.0,1.0,1,1.0,90.1,8.0,1.97,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0143,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,0,1.0,90.1,8.0,13.133,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0144,target_satellite_v0,0.5,0.02,1.0,3.0,1.2,1,1.0,90.1,8.0,1.97,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0145,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0146,target_satellite_v0,0.5,0.02,1.5,1.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0147,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0148,target_satellite_v0,0.5,0.02,1.5,1.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0149,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0150,target_satellite_v0,0.5,0.02,1.5,1.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0151,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,BASE_REACTION_FAIL
C0152,target_satellite_v0,0.5,0.02,1.5,2.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,SAFE,SAFE
C0153,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,BASE_REACTION_FAIL
C0154,target_satellite_v0,0.5,0.02,1.5,2.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,SAFE,SAFE
C0155,target_satellite_v0,0.5,0.02,1.5,2.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,BASE_REACTION_FAIL
C0156,target_satellite_v0,0.5,0.02,1.5,2.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,SAFE,SAFE
C0157,target_satellite_v0,0.5,0.02,1.5,3.0,0.8,0,1.0,90.1,5.33,18.502,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0158,target_satellite_v0,0.5,0.02,1.5,3.0,0.8,1,1.0,90.1,5.33,2.775,0.024,0.217,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0159,target_satellite_v0,0.5,0.02,1.5,3.0,1.0,0,1.0,90.1,5.33,18.502,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0160,target_satellite_v0,0.5,0.02,1.5,3.0,1.0,1,1.0,90.1,5.33,2.775,0.024,0.271,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0161,target_satellite_v0,0.5,0.02,1.5,3.0,1.2,0,1.0,90.1,5.33,18.502,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0162,target_satellite_v0,0.5,0.02,1.5,3.0,1.2,1,1.0,90.1,5.33,2.775,0.024,0.325,0.47,FAIL,POSE_UNCERTAINTY_FAIL
C0163,target_satellite_v0,1.0,0.005,0.5,1.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0164,target_satellite_v0,1.0,0.005,0.5,1.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
C0165,target_satellite_v0,1.0,0.005,0.5,1.0,1.0,0,1.0,84.79,16.0,6.807,0.02,0.542,0.47,FAIL,BASE_REACTION_FAIL
C0166,target_satellite_v0,1.0,0.005,0.5,1.0,1.0,1,1.0,84.79,16.0,1.021,0.02,0.542,0.47,SAFE,SAFE
C0167,target_satellite_v0,1.0,0.005,0.5,1.0,1.2,0,1.0,84.79,16.0,6.807,0.02,0.65,0.47,FAIL,BASE_REACTION_FAIL
C0168,target_satellite_v0,1.0,0.005,0.5,1.0,1.2,1,1.0,84.79,16.0,1.021,0.02,0.65,0.47,SAFE,SAFE
C0169,target_satellite_v0,1.0,0.005,0.5,2.0,0.8,0,1.0,84.79,16.0,6.807,0.02,0.433,0.47,FAIL,BASE_REACTION_FAIL
C0170,target_satellite_v0,1.0,0.005,0.5,2.0,0.8,1,1.0,84.79,16.0,1.021,0.02,0.433,0.47,SAFE,SAFE
