id,from_endpoint,to_endpoint,signal,source,status,note,physical_test,cut_length_mm
PV1_RET6,PV_BRANCH_1.RET,ACU.X1.TFM.6,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV1_RET8,PV_BRANCH_1.RET,ACU.X1.TFM.8,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV2_9,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.9,PV2+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV2_11,PV_BRANCH_2.BLOCKED_POS,ACU.X1.TFM.11,PV2+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV2_RET10,PV_BRANCH_2.RET,ACU.X1.TFM.10,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV2_RET12,PV_BRANCH_2.RET,ACU.X1.TFM.12,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV3_13,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.13,PV3+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV3_15,PV_BRANCH_3.BLOCKED_POS,ACU.X1.TFM.15,PV3+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV3_RET14,PV_BRANCH_3.RET,ACU.X1.TFM.14,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV3_RET16,PV_BRANCH_3.RET,ACU.X1.TFM.16,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV4_17,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.17,PV4+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV4_19,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.19,PV4+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV4_21,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.21,PV4+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV4_23,PV_BRANCH_4.BLOCKED_POS,ACU.X1.TFM.23,PV4+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV4_RET18,PV_BRANCH_4.RET,ACU.X1.TFM.18,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV4_RET20,PV_BRANCH_4.RET,ACU.X1.TFM.20,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV4_RET22,PV_BRANCH_4.RET,ACU.X1.TFM.22,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV4_RET24,PV_BRANCH_4.RET,ACU.X1.TFM.24,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV5_25,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.25,PV5+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV5_27,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.27,PV5+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV5_29,PV_BRANCH_5.BLOCKED_POS,ACU.X1.TFM.29,PV5+,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,Each parallel string requires separate series blocking diode; cell bypass diode is different,NOT_EXECUTED,
PV5_RET26,PV_BRANCH_5.RET,ACU.X1.TFM.26,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV5_RET28,PV_BRANCH_5.RET,ACU.X1.TFM.28,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
PV5_RET30,PV_BRANCH_5.RET,ACU.X1.TFM.30,PV_RET,ACU2.3 §3.1,PIN_DEFINED_ARRAY_UNBOUND,,NOT_EXECUTED,
L01,PDU.X2.TFM.9,A3200.P1.2,OBC_3V3,PDU2.6 §3.1; A3200 2.0 §3.1.1,PIN_DEFINED_CANDIDATE,Exclusive standalone ground P1 topology; all FSI supply removed,NOT_EXECUTED,
L02,PDU.X2.TFM.10,A3200.P1.1,EPS_RET,PDU2.6 §3.1; A3200 2.0 §3.1.1,PIN_DEFINED_CANDIDATE,,NOT_EXECUTED,
FPP_CH1,GSE_CHARGER.RETURN1,DOCK.P13.1,EPS_RET,Dock3.1 §5.4,REQUIREMENT_ONLY_EXTERNAL_CHARGER_UNSELECTED,FPP current <=1 A; no feed to P13.5 VBAT_DIRECT for spacecraft-off charge,NOT_EXECUTED,
FPP_CH2,GSE_CHARGER.RETURN2,DOCK.P13.2,EPS_RET,Dock3.1 §5.4,REQUIREMENT_ONLY_EXTERNAL_CHARGER_UNSELECTED,FPP current <=1 A; no feed to P13.5 VBAT_DIRECT for spacecraft-off charge,NOT_EXECUTED,
FPP_CH3,GSE_CHARGER.SENSE,DOCK.P13.3,VBAT_SENSE,Dock3.1 §5.4,REQUIREMENT_ONLY_EXTERNAL_CHARGER_UNSELECTED,FPP current <=1 A; no feed to P13.5 VBAT_DIRECT for spacecraft-off charge,NOT_EXECUTED,
FPP_CH4,GSE_CHARGER.CHARGE+,DOCK.P13.4,VBAT_CHARGE,Dock3.1 §5.4,REQUIREMENT_ONLY_EXTERNAL_CHARGER_UNSELECTED,FPP current <=1 A; no feed to P13.5 VBAT_DIRECT for spacecraft-off charge,NOT_EXECUTED,
RBF,FPP.RBF_JUMPER,DOCK.P14.6,RBF_ACTIVE_LOW,Dock3.1 §3–5,INTERFACE_DEFINED_SWITCH_PART_UNBOUND,Grounded=inhibit; 2Mohm pull-up to VBAT at FPP and 220ohm series near Dock per3.1 §5.1; floating exposed forbidden,NOT_EXECUTED,
DEARM,FPP.DEARM_JUMPER,DOCK.P14.7,DEARM_ACTIVE_LOW,Dock3.1 §3–5,INTERFACE_DEFINED_SWITCH_PART_UNBOUND,Grounded=antenna release inhibited; all deployment commands remain disabled,NOT_EXECUTED,
KILL1,DEPLOY_SWITCH1,DOCK.P10.4,KILL1,Dock3.1 §3–5,INTERFACE_DEFINED_SWITCH_PART_UNBOUND,P10 parallel vsP11 series configuration must not be mixed,NOT_EXECUTED,
KILL2,DEPLOY_SWITCH2,DOCK.P10.2,KILL2,Dock3.1 §3–5,INTERFACE_DEFINED_SWITCH_PART_UNBOUND,P11 series selected instead only via supplier-confirmed detailed connector mapping,NOT_EXECUTED,
K1_PWR,Q1.2,K1.A2(+),ARM_24V_PROTECTED,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
K1_OUT,K1.A1(-),U1.IN+,ARM_24V_SWITCHED,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
K1_COILP,STOP_CONTROL.PROTECTED_24V,K1.X1(+),COIL24,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
K1_COILR,K1.X2(-),STOP_CONTROL.RETURN,COIL_RET,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
K1_FB1,K1.T1,STOP_MONITOR.INPUT,AUX_NO,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
K1_FB2,K1.T2,STOP_MONITOR.REFERENCE,AUX_NO,GX11 Rev6 10/23/15 p3–4,PIN_DEFINED_CONTROL_HARDWARE_UNBOUND,"Main current direction A2→A1. Aux NO mechanically linked is observation, not validated safety mirror contact. Coil source upstream K1. No external flyback diode.",NOT_EXECUTED,
