owner,instance_count,unresolved_mass_instance_ids,minimum_missing_input
PRIMARY_STRUCTURE_FASTENER_KIT,60,"['shear_rail_screw_-1_-150_-94', 'shear_web_screw_-1_-150_-94', 'shear_rail_screw_-1_-150_94', 'shear_web_screw_-1_-150_94', 'shear_rail_screw_-1_-90_-94', 'shear_web_screw_-1_-90_-94', 'shear_rail_screw_-1_-90_94', 'shear_web_screw_-1_-90_94', 'shear_rail_screw_-1_-30_-94', 'shear_web_screw_-1_-30_-94', 'shear_rail_screw_-1_-30_94', 'shear_web_screw_-1_-30_94', 'shear_rail_screw_-1_30_-94', 'shear_web_screw_-1_30_-94', 'shear_rail_screw_-1_30_94', 'shear_web_screw_-1_30_94', 'shear_rail_screw_-1_90_-94', 'shear_web_screw_-1_90_-94', 'shear_rail_screw_-1_90_94', 'shear_web_screw_-1_90_94', 'shear_rail_screw_-1_150_-94', 'shear_rail_screw_-1_150_94', 'shear_rail_screw_1_-150_-94', 'shear_web_screw_1_-150_-94', 'shear_rail_screw_1_-150_94', 'shear_web_screw_1_-150_94', 'shear_rail_screw_1_-90_-94', 'shear_web_screw_1_-90_-94', 'shear_rail_screw_1_-90_94', 'shear_web_screw_1_-90_94', 'shear_rail_screw_1_-30_-94', 'shear_web_screw_1_-30_-94', 'shear_rail_screw_1_-30_94', 'shear_web_screw_1_-30_94', 'shear_rail_screw_1_30_-94', 'shear_web_screw_1_30_-94', 'shear_rail_screw_1_30_94', 'shear_web_screw_1_30_94', 'shear_rail_screw_1_90_-94', 'shear_web_screw_1_90_-94', 'shear_rail_screw_1_90_94', 'shear_web_screw_1_90_94', 'shear_rail_screw_1_150_-94', 'shear_rail_screw_1_150_94', 'WP06_nut_-1_-94', 'WP06_nut_-1_94', 'WP06_nut_1_-94', 'WP06_nut_1_94', 'WP06_screw_-1_-94', 'WP06_screw_-1_94', 'WP06_screw_1_-94', 'WP06_screw_1_94', 'WP06_washer_inner_-1_-94', 'WP06_washer_inner_-1_94', 'WP06_washer_inner_1_-94', 'WP06_washer_inner_1_94', 'WP06_washer_outer_-1_-94', 'WP06_washer_outer_-1_94', 'WP06_washer_outer_1_-94', 'WP06_washer_outer_1_94']",44 inherited web/rail fasteners plus16 WP06 side joint items: selected catalogue SKU/material/unit mass; STEP geometry alone does not set density.
PROPULSION_MOUNTING_KIT,21,"['MIPS_FOOT_0_SCREW', 'MIPS_FOOT_0_TOP_WASHER', 'MIPS_FOOT_0_BOTTOM_WASHER', 'MIPS_FOOT_0_NUT', 'MIPS_FOOT_1_SCREW', 'MIPS_FOOT_1_TOP_WASHER', 'MIPS_FOOT_1_BOTTOM_WASHER', 'MIPS_FOOT_1_NUT', 'MIPS_FOOT_2_SCREW', 'MIPS_FOOT_2_TOP_WASHER', 'MIPS_FOOT_2_BOTTOM_WASHER', 'MIPS_FOOT_2_NUT', 'MIPS_FOOT_3_SCREW', 'MIPS_FOOT_3_TOP_WASHER', 'MIPS_FOOT_3_BOTTOM_WASHER', 'MIPS_FOOT_3_NUT']",16 foot screw/washer/nut SKUs/material/unit masses; bracket and four shims already have source-bound candidate masses.
R01_EQUIPMENT_FASTENER_KIT,128,"['R01_D_lower_-1_-150_screw', 'R01_D_lower_-1_-150_washer_head', 'R01_D_lower_-1_-150_washer_nut', 'R01_D_lower_-1_-150_nut', 'R01_D_lower_-1_-50_screw', 'R01_D_lower_-1_-50_washer_head', 'R01_D_lower_-1_-50_washer_nut', 'R01_D_lower_-1_-50_nut', 'R01_W_lower_-1_-130_screw', 'R01_W_lower_-1_-130_washer_head', 'R01_W_lower_-1_-130_washer_nut', 'R01_W_lower_-1_-130_nut', 'R01_W_lower_-1_-70_screw', 'R01_W_lower_-1_-70_washer_head', 'R01_W_lower_-1_-70_washer_nut', 'R01_W_lower_-1_-70_nut', 'R01_D_lower_-1_50_screw', 'R01_D_lower_-1_50_washer_head', 'R01_D_lower_-1_50_washer_nut', 'R01_D_lower_-1_50_nut', 'R01_D_lower_-1_140_screw', 'R01_D_lower_-1_140_washer_head', 'R01_D_lower_-1_140_washer_nut', 'R01_D_lower_-1_140_nut', 'R01_W_lower_-1_60_screw', 'R01_W_lower_-1_60_washer_head', 'R01_W_lower_-1_60_washer_nut', 'R01_W_lower_-1_60_nut', 'R01_W_lower_-1_130_screw', 'R01_W_lower_-1_130_washer_head', 'R01_W_lower_-1_130_washer_nut', 'R01_W_lower_-1_130_nut', 'R01_D_lower_1_-150_screw', 'R01_D_lower_1_-150_washer_head', 'R01_D_lower_1_-150_washer_nut', 'R01_D_lower_1_-150_nut', 'R01_D_lower_1_-50_screw', 'R01_D_lower_1_-50_washer_head', 'R01_D_lower_1_-50_washer_nut', 'R01_D_lower_1_-50_nut', 'R01_W_lower_1_-130_screw', 'R01_W_lower_1_-130_washer_head', 'R01_W_lower_1_-130_washer_nut', 'R01_W_lower_1_-130_nut', 'R01_W_lower_1_-70_screw', 'R01_W_lower_1_-70_washer_head', 'R01_W_lower_1_-70_washer_nut', 'R01_W_lower_1_-70_nut', 'R01_D_lower_1_50_screw', 'R01_D_lower_1_50_washer_head', 'R01_D_lower_1_50_washer_nut', 'R01_D_lower_1_50_nut', 'R01_D_lower_1_140_screw', 'R01_D_lower_1_140_washer_head', 'R01_D_lower_1_140_washer_nut', 'R01_D_lower_1_140_nut', 'R01_W_lower_1_60_screw', 'R01_W_lower_1_60_washer_head', 'R01_W_lower_1_60_washer_nut', 'R01_W_lower_1_60_nut', 'R01_W_lower_1_130_screw', 'R01_W_lower_1_130_washer_head', 'R01_W_lower_1_130_washer_nut', 'R01_W_lower_1_130_nut', 'R01_D_upper_-1_-150_screw', 'R01_D_upper_-1_-150_washer_head', 'R01_D_upper_-1_-150_washer_nut', 'R01_D_upper_-1_-150_nut', 'R01_D_upper_-1_-50_screw', 'R01_D_upper_-1_-50_washer_head', 'R01_D_upper_-1_-50_washer_nut', 'R01_D_upper_-1_-50_nut', 'R01_W_upper_-1_-130_screw', 'R01_W_upper_-1_-130_washer_head', 'R01_W_upper_-1_-130_washer_nut', 'R01_W_upper_-1_-130_nut', 'R01_W_upper_-1_-70_screw', 'R01_W_upper_-1_-70_washer_head', 'R01_W_upper_-1_-70_washer_nut', 'R01_W_upper_-1_-70_nut', 'R01_D_upper_-1_50_screw', 'R01_D_upper_-1_50_washer_head', 'R01_D_upper_-1_50_washer_nut', 'R01_D_upper_-1_50_nut', 'R01_D_upper_-1_140_screw', 'R01_D_upper_-1_140_washer_head', 'R01_D_upper_-1_140_washer_nut', 'R01_D_upper_-1_140_nut', 'R01_W_upper_-1_60_screw', 'R01_W_upper_-1_60_washer_head', 'R01_W_upper_-1_60_washer_nut', 'R01_W_upper_-1_60_nut', 'R01_W_upper_-1_130_screw', 'R01_W_upper_-1_130_washer_head', 'R01_W_upper_-1_130_washer_nut', 'R01_W_upper_-1_130_nut', 'R01_D_upper_1_-150_screw', 'R01_D_upper_1_-150_washer_head', 'R01_D_upper_1_-150_washer_nut', 'R01_D_upper_1_-150_nut', 'R01_D_upper_1_-50_screw', 'R01_D_upper_1_-50_washer_head', 'R01_D_upper_1_-50_washer_nut', 'R01_D_upper_1_-50_nut', 'R01_W_upper_1_-130_screw', 'R01_W_upper_1_-130_washer_head', 'R01_W_upper_1_-130_washer_nut', 'R01_W_upper_1_-130_nut', 'R01_W_upper_1_-70_screw', 'R01_W_upper_1_-70_washer_head', 'R01_W_upper_1_-70_washer_nut', 'R01_W_upper_1_-70_nut', 'R01_D_upper_1_50_screw', 'R01_D_upper_1_50_washer_head', 'R01_D_upper_1_50_washer_nut', 'R01_D_upper_1_50_nut', 'R01_D_upper_1_140_screw', 'R01_D_upper_1_140_washer_head', 'R01_D_upper_1_140_washer_nut', 'R01_D_upper_1_140_nut', 'R01_W_upper_1_60_screw', 'R01_W_upper_1_60_washer_head', 'R01_W_upper_1_60_washer_nut', 'R01_W_upper_1_60_nut', 'R01_W_upper_1_130_screw', 'R01_W_upper_1_130_washer_head', 'R01_W_upper_1_130_washer_nut', 'R01_W_upper_1_130_nut']",128 R01 screws/washers/nuts: actual size-length-grade SKU list or one measured complete kit mass with contents list.
R07_ROOT_AND_RETENTION_FASTENER_KIT,92,"['R07_RAIL_-1_-1_15_screw', 'R07_RAIL_-1_-1_15_washer_head', 'R07_RAIL_-1_-1_15_washer_nut', 'R07_RAIL_-1_-1_15_nut', 'R07_RAIL_-1_-1_15_sleeve', 'R07_RAIL_-1_-1_164_screw', 'R07_RAIL_-1_-1_164_washer_head', 'R07_RAIL_-1_-1_164_washer_nut', 'R07_RAIL_-1_-1_164_nut', 'R07_RAIL_-1_-1_-164_screw', 'R07_RAIL_-1_-1_-164_washer_head', 'R07_RAIL_-1_-1_-164_washer_nut', 'R07_RAIL_-1_-1_-164_nut', 'R07_RAIL_-1_1_15_screw', 'R07_RAIL_-1_1_15_washer_head', 'R07_RAIL_-1_1_15_washer_nut', 'R07_RAIL_-1_1_15_nut', 'R07_RAIL_-1_1_15_sleeve', 'R07_RAIL_-1_1_164_screw', 'R07_RAIL_-1_1_164_washer_head', 'R07_RAIL_-1_1_164_washer_nut', 'R07_RAIL_-1_1_164_nut', 'R07_RAIL_-1_1_-164_screw', 'R07_RAIL_-1_1_-164_washer_head', 'R07_RAIL_-1_1_-164_washer_nut', 'R07_RAIL_-1_1_-164_nut', 'R07_RAIL_1_-1_15_screw', 'R07_RAIL_1_-1_15_washer_head', 'R07_RAIL_1_-1_15_washer_nut', 'R07_RAIL_1_-1_15_nut', 'R07_RAIL_1_-1_15_sleeve', 'R07_RAIL_1_-1_164_screw', 'R07_RAIL_1_-1_164_washer_head', 'R07_RAIL_1_-1_164_washer_nut', 'R07_RAIL_1_-1_164_nut', 'R07_RAIL_1_-1_-164_screw', 'R07_RAIL_1_-1_-164_washer_head', 'R07_RAIL_1_-1_-164_washer_nut', 'R07_RAIL_1_-1_-164_nut', 'R07_RAIL_1_1_15_screw', 'R07_RAIL_1_1_15_washer_head', 'R07_RAIL_1_1_15_washer_nut', 'R07_RAIL_1_1_15_nut', 'R07_RAIL_1_1_15_sleeve', 'R07_RAIL_1_1_164_screw', 'R07_RAIL_1_1_164_washer_head', 'R07_RAIL_1_1_164_washer_nut', 'R07_RAIL_1_1_164_nut', 'R07_RAIL_1_1_-164_screw', 'R07_RAIL_1_1_-164_washer_head', 'R07_RAIL_1_1_-164_washer_nut', 'R07_RAIL_1_1_-164_nut', 'R07_HOLD_0_-1_INNER_screw', 'R07_HOLD_0_-1_INNER_washer_head', 'R07_HOLD_0_-1_INNER_washer_nut', 'R07_HOLD_0_-1_INNER_nut', 'R07_HOLD_0_-1_OUTER_screw', 'R07_HOLD_0_-1_OUTER_washer_head', 'R07_HOLD_0_-1_OUTER_washer_nut', 'R07_HOLD_0_-1_OUTER_nut', 'R07_HOLD_0_-1_OUTER_sleeve', 'R07_HOLD_0_1_INNER_screw', 'R07_HOLD_0_1_INNER_washer_head', 'R07_HOLD_0_1_INNER_washer_nut', 'R07_HOLD_0_1_INNER_nut', 'R07_HOLD_0_1_OUTER_screw', 'R07_HOLD_0_1_OUTER_washer_head', 'R07_HOLD_0_1_OUTER_washer_nut', 'R07_HOLD_0_1_OUTER_nut', 'R07_HOLD_0_1_OUTER_sleeve', 'R07_HOLD_1_-1_INNER_screw', 'R07_HOLD_1_-1_INNER_washer_head', 'R07_HOLD_1_-1_INNER_washer_nut', 'R07_HOLD_1_-1_INNER_nut', 'R07_HOLD_1_-1_OUTER_screw', 'R07_HOLD_1_-1_OUTER_washer_head', 'R07_HOLD_1_-1_OUTER_washer_nut', 'R07_HOLD_1_-1_OUTER_nut', 'R07_HOLD_1_-1_OUTER_sleeve', 'R07_HOLD_1_1_INNER_screw', 'R07_HOLD_1_1_INNER_washer_head', 'R07_HOLD_1_1_INNER_washer_nut', 'R07_HOLD_1_1_INNER_nut', 'R07_HOLD_1_1_OUTER_screw', 'R07_HOLD_1_1_OUTER_washer_head', 'R07_HOLD_1_1_OUTER_washer_nut', 'R07_HOLD_1_1_OUTER_nut', 'R07_HOLD_1_1_OUTER_sleeve', 'R07_rear_axial_washer_-1_-1', 'R07_rear_axial_washer_-1_1', 'R07_rear_axial_washer_1_-1', 'R07_rear_axial_washer_1_1']",92 R07 rail/hold fasteners and sleeves: final SKU/material or complete kit mass and contents list.
RETENTION_ACTUATION_AND_SENSORS_0,8,"['hold_latch_puller_0', 'hold_shoe_spring_release_0', 'hold_electric_release_0', 'hold_torsion_spring_0', 'hold_position_sensor_0', 'hold_confirm_latch_0', 'hold_confirm_cap_0', 'hold_confirm_shoe_0']",Station0 actual puller/release/spring/sensor bill of hardware and assembly mass; distinguish alternate/overlapping actuator proxies before summing.
RETENTION_ACTUATION_AND_SENSORS_1,8,"['hold_latch_puller_1', 'hold_shoe_spring_release_1', 'hold_electric_release_1', 'hold_torsion_spring_1', 'hold_position_sensor_1', 'hold_confirm_latch_1', 'hold_confirm_cap_1', 'hold_confirm_shoe_1']",Station1 actual puller/release/spring/sensor bill of hardware and assembly mass; distinguish alternate/overlapping actuator proxies before summing.
RETENTION_CONTACT_PADS,6,"['hold_contact_pad_0_0', 'hold_contact_pad_0_1', 'hold_upper_pad_0', 'hold_contact_pad_1_0', 'hold_contact_pad_1_1', 'hold_upper_pad_1']","Six contact/upper pads: elastomer grade, finished dimensions/density or mass including adhesive."
RETENTION_GUIDE_FASTENER_KIT,8,"['WP07_guide_screw_0_-10', 'WP07_guide_screw_0_10', 'WP07_guide_washer_0_-10', 'WP07_guide_washer_0_10', 'WP07_guide_screw_1_-10', 'WP07_guide_screw_1_10', 'WP07_guide_washer_1_-10', 'WP07_guide_washer_1_10']","Eight M2 screw/washer proxies: selected SKUs, unit/kit masses; threadless proxies are not certified material."
RETENTION_GUIDE_RODS,4,"['hold_shoe_guide_0_-10', 'hold_shoe_guide_0_10', 'hold_shoe_guide_1_-10', 'hold_shoe_guide_1_10']",Four guide rods: selected material/grade and current shape volume or measured masses; do not apply aluminum by shape name.
RETENTION_LOWER_COLLARS,4,"['WP07_lower_collar_0_front', 'WP07_lower_collar_0_rear', 'WP07_lower_collar_1_front', 'WP07_lower_collar_1_rear']",Four changed collars: explicit candidate material/grade and current part volume receipt or measured finished masses.
RETENTION_LOWER_FASTENER_KIT,16,"['WP07_lower_nut_0_-17', 'WP07_lower_nut_0_17', 'WP07_lower_screw_0_-17', 'WP07_lower_screw_0_17', 'WP07_lower_washer_inner_0_-17', 'WP07_lower_washer_inner_0_17', 'WP07_lower_washer_outer_0_-17', 'WP07_lower_washer_outer_0_17', 'WP07_lower_nut_1_-17', 'WP07_lower_nut_1_17', 'WP07_lower_screw_1_-17', 'WP07_lower_screw_1_17', 'WP07_lower_washer_inner_1_-17', 'WP07_lower_washer_inner_1_17', 'WP07_lower_washer_outer_1_-17', 'WP07_lower_washer_outer_1_17']",16 catalogue M3 screw/washer/nut solids: procurement material/grade and unit mass or supplier exact complete kit mass.
RETENTION_REVISED_MASTS,2,"['hold_fold_mast_0', 'hold_fold_mast_1']",Two changed masts: current source-bound volumes and explicit retained/changed material; old geometry mass cannot be copied after cuts/additions.
ROOT_FRAME_FASTENER_KIT,72,"['RB_end_screw_-1_-1_-1', 'RB_end_screw_-1_-1_1', 'RB_end_screw_-1_1_-1', 'RB_end_screw_-1_1_1', 'RB_end_screw_1_-1_-1', 'RB_end_screw_1_-1_1', 'RB_end_screw_1_1_-1', 'RB_end_screw_1_1_1', 'RB_pillar_tierod_0', 'RB_pillar_top_washer_0', 'RB_pillar_bottom_washer_0', 'RB_pillar_nut_0', 'RB_pillar_tierod_1', 'RB_pillar_top_washer_1', 'RB_pillar_bottom_washer_1', 'RB_pillar_nut_1', 'RB_pillar_tierod_2', 'RB_pillar_top_washer_2', 'RB_pillar_bottom_washer_2', 'RB_pillar_nut_2', 'RB_pillar_tierod_3', 'RB_pillar_top_washer_3', 'RB_pillar_bottom_washer_3', 'RB_pillar_nut_3', 'M6_top_washer_-70_-70', 'M6_root_bolt_-70_-70', 'M6_bottom_washer_-70_-70', 'M6_root_nut_-70_-70', 'M6_top_washer_70_-70', 'M6_root_bolt_70_-70', 'M6_bottom_washer_70_-70', 'M6_root_nut_70_-70', 'M6_top_washer_-70_70', 'M6_root_bolt_-70_70', 'M6_bottom_washer_-70_70', 'M6_root_nut_-70_70', 'M6_top_washer_70_70', 'M6_root_bolt_70_70', 'M6_bottom_washer_70_70', 'M6_root_nut_70_70', 'M5_interstage_bolt_0', 'M5_top_washer_0', 'M5_bottom_washer_0', 'M5_interstage_nut_0', 'M5_interstage_bolt_1', 'M5_top_washer_1', 'M5_bottom_washer_1', 'M5_interstage_nut_1', 'M5_interstage_bolt_2', 'M5_top_washer_2', 'M5_bottom_washer_2', 'M5_interstage_nut_2', 'M5_interstage_bolt_3', 'M5_top_washer_3', 'M5_bottom_washer_3', 'M5_interstage_nut_3', 'M5_interstage_bolt_4', 'M5_top_washer_4', 'M5_bottom_washer_4', 'M5_interstage_nut_4', 'M5_interstage_bolt_5', 'M5_top_washer_5', 'M5_bottom_washer_5', 'M5_interstage_nut_5', 'M5_interstage_bolt_6', 'M5_top_washer_6', 'M5_bottom_washer_6', 'M5_interstage_nut_6', 'M5_interstage_bolt_7', 'M5_top_washer_7', 'M5_bottom_washer_7', 'M5_interstage_nut_7']","72 installed screws/tie rods/washers/nuts: final SKU, material grade and unit/kit mass; station BOM quantity mapping."
SOLAR_CURRENT_LEAF_LAMINATES,6,"['wing_-1_leaf_1', 'wing_-1_leaf_2', 'wing_-1_leaf_3', 'wing_1_leaf_1', 'wing_1_leaf_2', 'wing_1_leaf_3']",Six current leaf laminate/CIC/adhesive finished masses or source-bound layup;0.18kg/leaf is only a budget and does not include the unintegrated84-CIC delta.
SOLAR_RELEASE_KITS,2,"['wing_release_budget_-1', 'wing_release_budget_1']",Actual selected two release kits with unit masses replacing0.08kg/wing budgets; do not include frame/hinge masses twice.
SOLAR_WIRING_KITS,2,"['wing_harness_budget_-1', 'wing_harness_budget_1']",Unique wing harness BOM/cut-length/linear mass/terminations replacing0.05kg/wing budgets; separate body harness boundary.
THERMAL_INTERFACE_KIT,6,"['thermal_interface_battery', 'thermal_interface_adcs_propulsion_allocation', 'thermal_interface_arm_drive', 'thermal_interface_compute_communications', 'thermal_interface_navigation_electronics', 'battery_thermal_link']",Five interface pads and battery thermal link: installed dimensions/material/density (including bondlines) or finished kit mass.
