file,property,value
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,材料,"""SW-Material@FRM_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,单重,"""SW-Mass@FRM_MID_FRONT.SLDPRT"""
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,零件号,  
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,设计,   
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,审核, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,标准审查, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,工艺审查, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,批准, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,日期,"2007,12,3"
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,校核, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,主管设计, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,校对, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,审定, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,阶段标记S, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,阶段标记A, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,阶段标记B, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,替代, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,图幅, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,版本, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,备注, 
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,名称,“图样名称”
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,代号,“图样代号”
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,共X张,1
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,第X张,1
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,OBJECT_ID,V2-STR-008
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SYSTEM_OWNER,primary_structure
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,PARENT_ID,SV2_Primary_Structure
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,STRUCTURE_CLASS,PRIMARY_PROPOSAL
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,REPRESENTATION_LAYER,SYSTEM_MECHANICAL_DISPLAY
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EVIDENCE_STATE,DESIGN_PROPOSAL
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SOURCE_REFERENCE,b3_build_spec.yaml structure_display_proposal; load_path:LP_MID_FRONT_FRAME
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,FRAME_ID,CS_S
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,INTERFACE_IDS,
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,MASS_OWNER,NONE_DISPLAY_ONLY
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,NO_DYNAMICS_USE,true
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,MANUFACTURING_AUTHORITY,NONE
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EXECUTION_AUTHORITY,DISPLAY_ONLY
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,CLAIM_LIMIT,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;radial_outer_inset_to_panel_inner_110.15_D-V2-04
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,BLOCKED_CONSUMERS,FEA;dynamics;mass_properties;manufacturing;strength_claims
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,Description,
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,Weight,"""SW-Mass@FRM_REAR_BOUNDARY.SLDPRT"""
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,Material,"""SW-Material@FRM_REAR_BOUNDARY.SLDPRT"""
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,质量,"""SW-Mass@FRM_REAR_BOUNDARY.SLDPRT"""
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,材料,"""SW-Material@FRM_REAR_BOUNDARY.SLDPRT"""
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,单重,"""SW-Mass@FRM_REAR_BOUNDARY.SLDPRT"""
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,零件号,  
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,设计,   
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,审核, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,标准审查, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,工艺审查, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,批准, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,日期,"2007,12,3"
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,校核, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,主管设计, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,校对, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,审定, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,阶段标记S, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,阶段标记A, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,阶段标记B, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,替代, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,图幅, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,版本, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,备注, 
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,名称,“图样名称”
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,代号,“图样代号”
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,共X张,1
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,第X张,1
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,OBJECT_ID,V2-STR-002
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SYSTEM_OWNER,primary_structure
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,PARENT_ID,SV2_Primary_Structure
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,STRUCTURE_CLASS,PRIMARY_PROPOSAL
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,REPRESENTATION_LAYER,SYSTEM_MECHANICAL_DISPLAY
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,EVIDENCE_STATE,DESIGN_PROPOSAL
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SOURCE_REFERENCE,b3_build_spec.yaml structure_display_proposal; load_path:LP_REAR_FRAME
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,FRAME_ID,CS_S
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,INTERFACE_IDS,
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,MASS_OWNER,NONE_DISPLAY_ONLY
