file,feature,type
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,PLN_DECK_MID_FRONT_BASE,RefPlane
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,SK_DECK_MID_FRONT,ProfileFeature
01_Primary_Structure/parts/DECK_MID_FRONT.SLDPRT,EX_DECK_MID_FRONT,Extrusion
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,PLN_DECK_REAR_MID_BASE,RefPlane
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,SK_DECK_REAR_MID,ProfileFeature
01_Primary_Structure/parts/DECK_REAR_MID.SLDPRT,EX_DECK_REAR_MID,Extrusion
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,PLN_FRM_FRONT_TASK_BASE,RefPlane
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SK_FRM_FRONT_TASK_1,ProfileFeature
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EX_FRM_FRONT_TASK_1,Extrusion
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SK_FRM_FRONT_TASK_2,ProfileFeature
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EX_FRM_FRONT_TASK_2,ICE
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SK_FRM_FRONT_TASK_3,ProfileFeature
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EX_FRM_FRONT_TASK_3,ICE
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,SK_FRM_FRONT_TASK_4,ProfileFeature
01_Primary_Structure/parts/FRM_FRONT_TASK.SLDPRT,EX_FRM_FRONT_TASK_4,ICE
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,PLN_FRM_MID_FRONT_BASE,RefPlane
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SK_FRM_MID_FRONT_1,ProfileFeature
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EX_FRM_MID_FRONT_1,Extrusion
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SK_FRM_MID_FRONT_2,ProfileFeature
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EX_FRM_MID_FRONT_2,ICE
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SK_FRM_MID_FRONT_3,ProfileFeature
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EX_FRM_MID_FRONT_3,ICE
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,SK_FRM_MID_FRONT_4,ProfileFeature
01_Primary_Structure/parts/FRM_MID_FRONT.SLDPRT,EX_FRM_MID_FRONT_4,ICE
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,PLN_FRM_REAR_BOUNDARY_BASE,RefPlane
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SK_FRM_REAR_BOUNDARY_1,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,EX_FRM_REAR_BOUNDARY_1,Extrusion
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SK_FRM_REAR_BOUNDARY_2,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,EX_FRM_REAR_BOUNDARY_2,ICE
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SK_FRM_REAR_BOUNDARY_3,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,EX_FRM_REAR_BOUNDARY_3,ICE
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,SK_FRM_REAR_BOUNDARY_4,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_BOUNDARY.SLDPRT,EX_FRM_REAR_BOUNDARY_4,ICE
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,PLN_FRM_REAR_MID_BASE,RefPlane
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,SK_FRM_REAR_MID_1,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,EX_FRM_REAR_MID_1,Extrusion
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,SK_FRM_REAR_MID_2,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,EX_FRM_REAR_MID_2,ICE
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,SK_FRM_REAR_MID_3,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,EX_FRM_REAR_MID_3,ICE
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,SK_FRM_REAR_MID_4,ProfileFeature
01_Primary_Structure/parts/FRM_REAR_MID.SLDPRT,EX_FRM_REAR_MID_4,ICE
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,PLN_LNG_NY_NZ_BASE,RefPlane
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,SK_LNG_NY_NZ,ProfileFeature
01_Primary_Structure/parts/LNG_NY_NZ.SLDPRT,EX_LNG_NY_NZ,Extrusion
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,PLN_LNG_NY_PZ_BASE,RefPlane
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,SK_LNG_NY_PZ,ProfileFeature
01_Primary_Structure/parts/LNG_NY_PZ.SLDPRT,EX_LNG_NY_PZ,Extrusion
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,PLN_LNG_PY_NZ_BASE,RefPlane
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,SK_LNG_PY_NZ,ProfileFeature
01_Primary_Structure/parts/LNG_PY_NZ.SLDPRT,EX_LNG_PY_NZ,Extrusion
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,PLN_LNG_PY_PZ_BASE,RefPlane
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,SK_LNG_PY_PZ,ProfileFeature
01_Primary_Structure/parts/LNG_PY_PZ.SLDPRT,EX_LNG_PY_PZ,Extrusion
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,收藏,FavoriteFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,历史记录,HistoryFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,选择集,SelectionSetFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,传感器,SensorFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,设计活页夹,DocsFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,注解,DetailCabinet
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,标注,InkMarkupFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,光源与相机,EnvFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,实体,SolidBodyFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,曲面实体,SurfaceBodyFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,备注,CommentsFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,方程式,EqnFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,材质 <未指定>,MaterialFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,前视基准面,RefPlane
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,上视基准面,RefPlane
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,右视基准面,RefPlane
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,原点,OriginProfileFeature
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,Tables,ConfigTableFolder
01_Primary_Structure/parts/PNL_BOTTOM.SLDPRT,PLN_PNL_BOTTOM_BASE,RefPlane
