file,object_id,system_owner,evidence_state,claim_limit
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_ADCS.SLDPRT,VOL-MID-ADCS,ADCS_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_BAT.SLDPRT,VOL-MID-BAT,BATTERY_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_EPS.SLDPRT,VOL-MID-EPS,EPS_PMAD_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
03_Avionics_EPS_ADCS_Bay/parts/VOL_MID_OBC.SLDPRT,VOL-MID-OBC,C_AND_DH_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
04_Rear_Service_Module/parts/PNL_REAR_SERVICE_ACCESS.SLDPRT,V2-RS-PNL,secondary_structure,DESIGN_PROPOSAL,removable_panel_display;may_close_primary_path=false;no_fastening_method;NO_STRENGTH_CLAIM
04_Rear_Service_Module/parts/VOL_REAR_COMM.SLDPRT,VOL-REAR-COMM,COMMUNICATIONS_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
04_Rear_Service_Module/parts/VOL_REAR_PROP.SLDPRT,VOL-REAR-PROP,PROPULSION_OWNER,UNKNOWN_BLOCKED,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal;ZERO_SOLID_REQUIRED
04_Rear_Service_Module/parts/VOL_REAR_SERVICE.SLDPRT,VOL-REAR-SERVICE,INTEGRATION_AND_TEST_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
04_Rear_Service_Module/parts/VOL_REAR_THERMAL.SLDPRT,VOL-REAR-THERMAL,THERMAL_OWNER,DESIGN_PROPOSAL,geometry_NULL_unsourced;no_hardware_selected;no_real_dims;no_mass;no_thermal
05_Robot_Mount_Module/parts/SV2_MNT_ADAPTER_BOSS.SLDPRT,V2-MNT-003,robot_adapter,EVIDENCE_BOUND,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_D100x15_EVIDENCE_BOUND
05_Robot_Mount_Module/parts/SV2_MNT_ADAPTER_PLATE.SLDPRT,V2-MNT-002,robot_adapter,EVIDENCE_BOUND,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_12x160x160_EVIDENCE_BOUND
05_Robot_Mount_Module/parts/SV2_MNT_REFERENCES.SLDPRT,V2-MNT-005,robot_mount_references,DESIGN_PROPOSAL,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;wrench_overlay_symbolic_no_values;visual_arrow_is_not_load_evidence
05_Robot_Mount_Module/parts/SV2_MNT_RIB_SET.SLDPRT,V2-MNT-004,bus_structure,DESIGN_PROPOSAL,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;rib_count_shape_thickness_not_selected;suppressible_proposal
05_Robot_Mount_Module/parts/SV2_MNT_SERVICER_FLANGE.SLDPRT,V2-MNT-001,bus_structure,EVIDENCE_BOUND,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM;envelope_15x160x160_EVIDENCE_BOUND
06_B601_Visual_Arm/parts/B601_base_link_bbox_q0.SLDPRT,V2-B601-00,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_gripper_left_bbox_q0.SLDPRT,V2-B601-08,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_gripper_link_bbox_q0.SLDPRT,V2-B601-07,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_gripper_right_bbox_q0.SLDPRT,V2-B601-09,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link1_bbox_q0.SLDPRT,V2-B601-01,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link2_bbox_q0.SLDPRT,V2-B601-02,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link3_bbox_q0.SLDPRT,V2-B601-03,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link4_bbox_q0.SLDPRT,V2-B601-04,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link5_bbox_q0.SLDPRT,V2-B601-05,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
06_B601_Visual_Arm/parts/B601_link6_bbox_q0.SLDPRT,V2-B601-06,b601_visual_arm,EVIDENCE_BOUND,conservative_envelope_not_exact_vendor_geometry;q_zero_pose_only;no_mass_no_inertia_from_visual
07_Solar_Array_Interface_Module/parts/SOLAR_ROOT_L_IF.SLDPRT,SOLAR_ROOT_L_IF,DEPLOYABLES_OWNER,UNKNOWN_BLOCKED,hinge_release_latch_drive_UNKNOWN;zero_solid_owner;geometry_NULL_unsourced
07_Solar_Array_Interface_Module/parts/SOLAR_ROOT_R_IF.SLDPRT,SOLAR_ROOT_R_IF,DEPLOYABLES_OWNER,UNKNOWN_BLOCKED,hinge_release_latch_drive_UNKNOWN;zero_solid_owner;geometry_NULL_unsourced
07_Solar_Array_Interface_Module/parts/SOLAR_WING_L_DEPLOYED_REF.SLDPRT,SOLAR_WING_L_DEPLOYED_REF,DEPLOYABLES_OWNER,EVIDENCE_BOUND,deployed_reference_display_only;span_chord_thickness_frozen_SSOT;no_deployment_or_latch_claim;flexible_params_placeholder
07_Solar_Array_Interface_Module/parts/SOLAR_WING_R_DEPLOYED_REF.SLDPRT,SOLAR_WING_R_DEPLOYED_REF,DEPLOYABLES_OWNER,EVIDENCE_BOUND,deployed_reference_display_only;span_chord_thickness_frozen_SSOT;no_deployment_or_latch_claim;flexible_params_placeholder
09_Service_Access_and_Harness_References/SV2_SERVICE_ACCESS_REFERENCES.SLDPRT,V2-SVC-000,integration_and_maintenance,DESIGN_PROPOSAL,review_responsibility_only_not_real_accessibility;no_tool_size_no_fastening_no_reachability;tray_extraction_direction_TBD;harness_cross_section_null;keepout_rail_tab_optical_plume_antenna_thermal_UNKNOWN_BLOCKED
01_Primary_Structure/SV2_Primary_Structure.SLDASM,V2-STR-000,primary_structure,DESIGN_PROPOSAL,display_topology_only;section_material_joints_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
02_Front_Mission_Module/SV2_Front_Mission_Module.SLDASM,SV2_Front_Mission_Module,front_mission_bay,DESIGN_PROPOSAL,bay_owner_container_display_only
03_Avionics_EPS_ADCS_Bay/SV2_Avionics_EPS_ADCS_Bay.SLDASM,SV2_Avionics_EPS_ADCS_Bay,avionics_bay,DESIGN_PROPOSAL,bay_owner_container_display_only
04_Rear_Service_Module/SV2_Rear_Service_Module.SLDASM,SV2_Rear_Service_Module,rear_service_bay,DESIGN_PROPOSAL,bay_owner_container_display_only
05_Robot_Mount_Module/SV2_Robot_Mount_Module.SLDASM,V2-MNT-000,robot_mount_module,DESIGN_PROPOSAL,envelope_display_only;bolts_locators_loads_stiffness_UNKNOWN_BLOCKED;NO_STRENGTH_CLAIM
06_B601_Visual_Arm/SV2_B601_Visual_Arm.SLDASM,V2-B601-000,b601_visual_arm,EVIDENCE_BOUND,topology_frozen_10L9J;bbox_proxy_only;q_zero
07_Solar_Array_Interface_Module/SV2_Solar_Array_Interface.SLDASM,V2-SOL-000,DEPLOYABLES_OWNER,DESIGN_PROPOSAL,solar_interface_module_display;stowed_geometry_UNKNOWN
Assembly/Spacecraft_Service_Vehicle_V2_0.SLDASM,V2-TOP-000,system_architecture,DESIGN_PROPOSAL,system_mechanical_prototype_display;profile_COMPETITION_DISPLAY_V0_NON_FLIGHT;target_excluded_from_active_assembly;T_SB_UNKNOWN_BLOCKED;physical_TCP_disabled
