reference,pin,function,net,source
R205,2,B,WP10_HS_OVLO,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R206,1,A,WP10_HS_OVLO,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R206,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R207,1,A,WP10_HS_POWER_LIMIT,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R207,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C201,1,A,WP10_HS_TIMER,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C201,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C202,1,A,WP10_MAIN_FUSED,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C202,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C203,1,PLUS,WP10_PRECHARGED_PLUS,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=ELXG101VSN222MR50S
C203,2,MINUS,WP10_INPUT_RETURN,https://www.chemi-con.co.jp/en/products/detail-condenser.php?part_number=ELXG101VSN222MR50S
C204,1,A,WP10_CHB_LOCAL_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C204,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C205,1,A,WP10_CHB_LOCAL_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C205,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C206,1,A,WP10_RB_COMMON_DRAIN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C206,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C207,1,A,WP10_RB_CAP,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C207,2,B,WP10_RB_COMMON_DRAIN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C208,1,A,WP10_CHB_LOCAL_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C208,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C209,1,A,WP10_STOP_24V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C209,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C210,1,A,WP10_STOP_24V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C210,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
D201,1,A,WP10_INPUT_RETURN,lm5069_rev_g.pdf p25 reference; actual TVS datasheet pending
D201,2,B,WP10_MAIN_FUSED,lm5069_rev_g.pdf p25 reference; actual TVS datasheet pending
D202,1,A,WP10_INPUT_RETURN,lm5069_rev_g.pdf p25 reference; actual diode datasheet pending
D202,2,B,WP10_PRECHARGED_PLUS,lm5069_rev_g.pdf p25 reference; actual diode datasheet pending
U202,1,+VIN,WP10_AUX_FUSED,"thn30wir_20260901.pdf pp2-4,6"
U202,2,-VIN,WP10_INPUT_RETURN,"thn30wir_20260901.pdf pp2-4,6"
U202,3,REMOTE_OPEN_ON,EXPLICIT_NC,"thn30wir_20260901.pdf pp2-4,6"
U202,4,+VOUT,WP10_STOP_24V,"thn30wir_20260901.pdf pp2-4,6"
U202,5,TRIM_NC,EXPLICIT_NC,"thn30wir_20260901.pdf pp2-4,6"
U202,6,-VOUT,WP10_ARM_RETURN,"thn30wir_20260901.pdf pp2-4,6"
U203,1,+VIN,WP10_PRECHARGED_PLUS,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,2,NEGATIVE_ENABLE,WP10_CHB_ENABLE,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,4,-VIN,WP10_INPUT_RETURN,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,5,-VOUT,WP10_ARM_RETURN,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,6,-SENSE,WP10_ARM_RETURN,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,7,TRIM_NC,EXPLICIT_NC,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,8,+SENSE,WP10_CHB_LOCAL_PLUS,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U203,9,+VOUT,WP10_CHB_LOCAL_PLUS,cincon_chb500w.pdf V12; chb500w_application.pdf V13
U204,1,DGATE,WP10_RB_DGATE,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,2,A,WP10_CHB_LOCAL_PLUS,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,3,VSNS,WP10_RB_COMMON_DRAIN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,4,SW,WP10_RB_COMMON_DRAIN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,5,OV,WP10_ARM_RETURN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,6,EN_UVLO,WP10_RB_COMMON_DRAIN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,7,GND,WP10_ARM_RETURN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,8,HGATE,WP10_RB_HGATE,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,9,OUT,WP10_RB_OUTPUT_PLUS,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,10,VS,WP10_RB_COMMON_DRAIN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,11,CAP,WP10_RB_CAP,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,12,C,WP10_RB_COMMON_DRAIN,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
U204,EP,FLOATING_PAD,EXPLICIT_NC,"lm7480_q1.pdf RevC pp3-4; EP is project pad ID, not numbered OEM pin"
Q202,1,G,WP10_RB_DGATE,"csd19536ktt.pdf RevC May2025 pp1,3"
Q202,2,D,WP10_RB_COMMON_DRAIN,"csd19536ktt.pdf RevC May2025 pp1,3"
Q202,3,S,WP10_CHB_LOCAL_PLUS,"csd19536ktt.pdf RevC May2025 pp1,3"
Q203,1,G,WP10_RB_HGATE,"csd19536ktt.pdf RevC May2025 pp1,3"
Q203,2,D,WP10_RB_COMMON_DRAIN,"csd19536ktt.pdf RevC May2025 pp1,3"
Q203,3,S,WP10_RB_OUTPUT_PLUS,"csd19536ktt.pdf RevC May2025 pp1,3"
J201,1,CHB_ENABLE,WP10_CHB_ENABLE,PROJECT connector; external isolated enable driver unimplemented
J201,2,INPUT_RETURN,WP10_INPUT_RETURN,PROJECT connector; external isolated enable driver unimplemented
J202,1,UVLO,WP10_HS_UVLO,LM5069 RevG reset low; TIMER<0.3V required
J202,2,INPUT_RETURN,WP10_INPUT_RETURN,LM5069 RevG reset low; TIMER<0.3V required
TP201,1,PGD,WP10_HS_PGD,LM5069 RevG p12
J203,1,ARM_BUS_PLUS,WP10_ARM_BUS_PLUS,PROJECT connector: absolute voltage brake required
J203,2,ARM_RETURN,WP10_ARM_RETURN,PROJECT connector: absolute voltage brake required
U205,1,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2-3,11-13,17"
U205,2,OUT,WP10_STARTUP_BIAS,"lt3013.pdf RevE pp2-3,11-13,17"
U205,3,OUT,WP10_STARTUP_BIAS,"lt3013.pdf RevE pp2-3,11-13,17"
U205,4,ADJ,WP10_STARTUP_ADJ,"lt3013.pdf RevE pp2-3,11-13,17"
U205,5,GND,WP10_INPUT_RETURN,"lt3013.pdf RevE pp2-3,11-13,17"
U205,6,PWRGD_NC,EXPLICIT_NC,"lt3013.pdf RevE pp2-3,11-13,17"
U205,7,CT_UNUSED,WP10_INPUT_RETURN,"lt3013.pdf RevE pp2-3,11-13,17"
U205,8,SHDN,WP10_PRECHARGED_PLUS,"lt3013.pdf RevE pp2-3,11-13,17"
U205,9,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2-3,11-13,17"
U205,10,IN,WP10_PRECHARGED_PLUS,"lt3013.pdf RevE pp2-3,11-13,17"
U205,11,IN,WP10_PRECHARGED_PLUS,"lt3013.pdf RevE pp2-3,11-13,17"
U205,12,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2-3,11-13,17"
U205,13,GND_EP,WP10_INPUT_RETURN,"lt3013.pdf RevE pp2-3,11-13,17"
U206,1,RESET_N,WP10_CHB_ENABLE_GATE,startup_tps3808.pdf RevN Aug2026 pp4-7
U206,2,GND,WP10_INPUT_RETURN,startup_tps3808.pdf RevN Aug2026 pp4-7
U206,3,MR_N,WP10_STARTUP_PG_RECEIVER,startup_tps3808.pdf RevN Aug2026 pp4-7
U206,4,CT_OPEN_20ms,EXPLICIT_NC,startup_tps3808.pdf RevN Aug2026 pp4-7
U206,5,SENSE,WP10_STARTUP_INPUT_SENSE,startup_tps3808.pdf RevN Aug2026 pp4-7
U206,6,VDD,WP10_STARTUP_BIAS,startup_tps3808.pdf RevN Aug2026 pp4-7
Q204,1,G,WP10_CHB_ENABLE_GATE,"startup_2n7002k_diodes.pdf DiodesInc DS30896 Rev20-2 July2024 pp1,3"
Q204,2,S,WP10_INPUT_RETURN,"startup_2n7002k_diodes.pdf DiodesInc DS30896 Rev20-2 July2024 pp1,3"
Q204,3,D,WP10_CHB_ENABLE,"startup_2n7002k_diodes.pdf DiodesInc DS30896 Rev20-2 July2024 pp1,3"
R211,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R211,2,B,WP10_STARTUP_ADJ,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R212,1,A,WP10_STARTUP_ADJ,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R212,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R213,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R213,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R214,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R214,2,B,WP10_HS_PGD,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R215,1,A,WP10_MAIN_FUSED,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R215,2,B,WP10_STARTUP_INPUT_SENSE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R216,1,A,WP10_STARTUP_INPUT_SENSE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R216,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R217,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R217,2,B,WP10_CHB_ENABLE_GATE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R218,1,A,WP10_CHB_ENABLE_GATE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R218,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R219,1,A,WP10_PRECHARGED_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R219,2,B,WP10_CHB_ENABLE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R220,1,A,WP10_STARTUP_PG_RECEIVER,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R220,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R221,1,A,WP10_HS_PGD,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R221,2,B,WP10_STARTUP_PG_RECEIVER,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C211,1,A,WP10_PRECHARGED_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C211,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C212,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C212,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C213,1,A,WP10_STARTUP_BIAS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C213,2,B,WP10_INPUT_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U301,1,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2,3,11-13,17"
U301,2,OUT,WP10_BRAKE_12V,"lt3013.pdf RevE pp2,3,11-13,17"
U301,3,OUT,WP10_BRAKE_12V,"lt3013.pdf RevE pp2,3,11-13,17"
U301,4,ADJ,WP10_BRAKE_BIAS_ADJ,"lt3013.pdf RevE pp2,3,11-13,17"
U301,5,GND,WP10_ARM_RETURN,"lt3013.pdf RevE pp2,3,11-13,17"
U301,6,PWRGD,WP10_BRAKE_BIAS_PG,"lt3013.pdf RevE pp2,3,11-13,17"
U301,7,CT,WP10_BRAKE_BIAS_CT,"lt3013.pdf RevE pp2,3,11-13,17"
U301,8,SHDN,WP10_ARM_BUS_PLUS,"lt3013.pdf RevE pp2,3,11-13,17"
U301,9,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2,3,11-13,17"
U301,10,IN,WP10_ARM_BUS_PLUS,"lt3013.pdf RevE pp2,3,11-13,17"
U301,11,IN,WP10_ARM_BUS_PLUS,"lt3013.pdf RevE pp2,3,11-13,17"
U301,12,NC,EXPLICIT_NC,"lt3013.pdf RevE pp2,3,11-13,17"
U301,13,GND_EP,WP10_ARM_RETURN,"lt3013.pdf RevE pp2,3,11-13,17"
U302,1,OUTA,EXPLICIT_NC,"tlv6700.pdf RevB pp3,5,6"
U302,2,GND,WP10_ARM_RETURN,"tlv6700.pdf RevB pp3,5,6"
U302,3,INA+,WP10_ARM_RETURN,"tlv6700.pdf RevB pp3,5,6"
U302,4,INB-,WP10_BRAKE_OV_DIV,"tlv6700.pdf RevB pp3,5,6"
U302,5,VDD,WP10_BRAKE_12V,"tlv6700.pdf RevB pp3,5,6"
U302,6,OUTB,WP10_BRAKE_OV_N,"tlv6700.pdf RevB pp3,5,6"
U303,1,V+,WP10_BRAKE_12V,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
U303,2,P_OUT,WP10_BRAKE_GATE_SOURCE,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
U303,3,N_OUT,WP10_BRAKE_GATE_SINK,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
U303,4,GND,WP10_ARM_RETURN,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
U303,5,IN-,WP10_BRAKE_OV_N,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
U303,6,IN+,WP10_BRAKE_BIAS_READY,"https://www.analog.com/media/en/technical-documentation/data-sheets/MAX5048C.pdf Rev1 pp2,3,6,8"
R301,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R301,2,B,WP10_BRAKE_BIAS_ADJ,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R302,1,A,WP10_BRAKE_BIAS_ADJ,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R302,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R303,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R303,2,B,WP10_BRAKE_BIAS_PG,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R304,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R304,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R305,1,A,WP10_ARM_BUS_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R305,2,B,WP10_BRAKE_OV_DIV,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R306,1,A,WP10_BRAKE_OV_DIV,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R306,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R307,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R307,2,B,WP10_BRAKE_OV_N,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C301,1,A,WP10_ARM_BUS_PLUS,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C301,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C302,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C302,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C303,1,A,WP10_BRAKE_BIAS_CT,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C303,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C304,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C304,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C305,1,A,WP10_BRAKE_12V,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C305,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C306,1,A,WP10_BRAKE_OV_DIV,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C306,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB301,1,TERMINAL_1,WP10_ARM_BUS_PLUS,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
RB301,2,TERMINAL_2,WP10_BRAKE_BRANCH_1,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q301,1,G,WP10_BRAKE_GATE_1,"csd19536ktt.pdf RevC pp1,3"
Q301,2,D,WP10_BRAKE_BRANCH_1,"csd19536ktt.pdf RevC pp1,3"
Q301,3,S,WP10_ARM_RETURN,"csd19536ktt.pdf RevC pp1,3"
D311,1,A1,WP10_BRAKE_BRANCH_1,"stps30h100c.pdf Rev9 pp1,2,8"
D311,2,K,WP10_ARM_BUS_PLUS,"stps30h100c.pdf Rev9 pp1,2,8"
D311,3,A2,WP10_BRAKE_BRANCH_1,"stps30h100c.pdf Rev9 pp1,2,8"
R311,1,A,WP10_BRAKE_GATE_SOURCE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R311,2,B,WP10_BRAKE_GATE_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R312,1,A,WP10_BRAKE_GATE_SINK,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R312,2,B,WP10_BRAKE_GATE_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R313,1,A,WP10_BRAKE_GATE_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R313,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U311,1,OUTA,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
U311,2,GND,WP10_ARM_RETURN,"tlv6700.pdf RevB pp3,5"
U311,3,INA+,WP10_BRAKE_TEMP_1,"tlv6700.pdf RevB pp3,5"
U311,4,INB-,WP10_BRAKE_TEMP_OPEN_1,"tlv6700.pdf RevB pp3,5"
U311,5,VDD,WP10_BRAKE_STOP_3V3,"tlv6700.pdf RevB pp3,5"
U311,6,OUTB,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
RT311,1,SENSOR,WP10_BRAKE_TEMP_1,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
RT311,2,RETURN,WP10_ARM_RETURN,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R341,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R341,2,B,WP10_BRAKE_TEMP_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R342,1,A,WP10_BRAKE_TEMP_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R342,2,B,WP10_BRAKE_TEMP_OPEN_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R343,1,A,WP10_BRAKE_TEMP_OPEN_1,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R343,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C311,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
C311,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
RB302,1,TERMINAL_1,WP10_ARM_BUS_PLUS,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
RB302,2,TERMINAL_2,WP10_BRAKE_BRANCH_2,"lps300.pdf pp1-4; terminals project IDs, electrically interchangeable"
Q302,1,G,WP10_BRAKE_GATE_2,"csd19536ktt.pdf RevC pp1,3"
Q302,2,D,WP10_BRAKE_BRANCH_2,"csd19536ktt.pdf RevC pp1,3"
Q302,3,S,WP10_ARM_RETURN,"csd19536ktt.pdf RevC pp1,3"
D312,1,A1,WP10_BRAKE_BRANCH_2,"stps30h100c.pdf Rev9 pp1,2,8"
D312,2,K,WP10_ARM_BUS_PLUS,"stps30h100c.pdf Rev9 pp1,2,8"
D312,3,A2,WP10_BRAKE_BRANCH_2,"stps30h100c.pdf Rev9 pp1,2,8"
R314,1,A,WP10_BRAKE_GATE_SOURCE,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R314,2,B,WP10_BRAKE_GATE_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R315,1,A,WP10_BRAKE_GATE_SINK,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R315,2,B,WP10_BRAKE_GATE_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R316,1,A,WP10_BRAKE_GATE_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R316,2,B,WP10_ARM_RETURN,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
U312,1,OUTA,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
U312,2,GND,WP10_ARM_RETURN,"tlv6700.pdf RevB pp3,5"
U312,3,INA+,WP10_BRAKE_TEMP_2,"tlv6700.pdf RevB pp3,5"
U312,4,INB-,WP10_BRAKE_TEMP_OPEN_2,"tlv6700.pdf RevB pp3,5"
U312,5,VDD,WP10_BRAKE_STOP_3V3,"tlv6700.pdf RevB pp3,5"
U312,6,OUTB,WP10_BRAKE_THERMAL_FAULT_N,"tlv6700.pdf RevB pp3,5"
RT312,1,SENSOR,WP10_BRAKE_TEMP_2,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
RT312,2,RETURN,WP10_ARM_RETURN,"ntcle100.pdf Doc29049;10k2pct,B25/85=3977K"
R344,1,A,WP10_BRAKE_STOP_3V3,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R344,2,B,WP10_BRAKE_TEMP_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R345,1,A,WP10_BRAKE_TEMP_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
R345,2,B,WP10_BRAKE_TEMP_OPEN_2,PROJECT_VALUE_ALLOCATION_MPN_UNBOUND
