artifact_id,phase,session,gate,path_or_pattern,artifact_type,expected_count,current_count,current_status,acceptance_boundary
S00_WORKSET_INDEX,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_S00_WORKSET_INDEX.csv,CSV,1,1,CREATED,"all final workset files excluding self indexed by bytes and SHA"
S00_WORKSET_ZIP,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801.zip,ZIP,1,1,CREATED,"portable review copy only"
G1A_PASS_RECEIPT,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1_HUMAN_ADJUDICATION_PASS_RECEIPT.json,JSON,1,0,NOT_CREATED,"new immutable PASS receipt after signatures; do not rewrite HOLD receipt"
G1A_INPUT_LOCK_V2,S00,OFFLINE,G1A,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2A_INPUT_LOCK_V2_REFROZEN.json,JSON,1,0,NOT_CREATED,"minimum 35 locked items and PASS_HASH_LOCKED"
G1B_PASS_ADMISSION,S00,OFFLINE,G1B,09_DELIVERY/B51R1_PHASE2_S00_G1_REVIEW_WORKSET_20260801/B51R1_PHASE2_G1B_S01_ADMISSION_PASS.yaml,YAML,1,0,NOT_CREATED,"exactly S01 and one visible launch"
FINAL_MASTER_SKELETON,PHASE2A,S01_S02,G2,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2.SLDPRT,SLDPRT,1,0,NOT_CREATED,"0 bodies 0 external refs 0 mass three configurations"
S01_CREATION_RECEIPT,PHASE2A,S01,G2,07_VERIFICATION/PHASE2A/S01_MASTER_SKELETON_CREATION_RECEIPT.json,JSON,1,0,NOT_CREATED,"create save close normal exit"
S02_COLD_REOPEN_RECEIPT,PHASE2A,S02,G2,07_VERIFICATION/PHASE2A/S02_MASTER_SKELETON_COLD_REOPEN_RECEIPT.json,JSON,1,0,NOT_CREATED,"fresh process persistent names transforms and properties"
G2_MASTER_SKELETON_GATE,PHASE2A,S02,G2,07_VERIFICATION/B51R1_PHASE2A_G2_MASTER_SKELETON_GATE.json,JSON,1,0,NOT_CREATED,"S01 and S02 both pass"
CARRIER_PARTS,PHASE2A,S03_S04,G3,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_<accepted_link>.SLDPRT,SLDPRT_PATTERN,10,0,NOT_CREATED,"10 zero-body zero-mass reference parts"
S03_CARRIER_CREATION_RECEIPTS,PHASE2A,S03,G3,07_VERIFICATION/PHASE2A/S03_<accepted_link>_CREATION_RECEIPT.json,JSON_PATTERN,10,0,NOT_CREATED,"one immutable receipt per Carrier"
S04_CARRIER_COLD_RECEIPTS,PHASE2A,S04,G3,07_VERIFICATION/PHASE2A/S04_<accepted_link>_COLD_REOPEN_RECEIPT.json,JSON_PATTERN,10,0,NOT_CREATED,"one fresh-process receipt per Carrier"
G3_CARRIER_GATE,PHASE2A,S04,G3,07_VERIFICATION/B51R1_PHASE2A_G3_CARRIER_10_OF_10_GATE.json,JSON,1,0,NOT_CREATED,"10 of 10 pass no skipped failures"
CARRIER_CHAIN,PHASE2A,S05_S06,G4_G5,03_CAD/10_KINEMATIC_CARRIERS/B51R1_CARRIER_CHAIN_NATIVE.SLDASM,SLDASM,1,0,NOT_CREATED,"6R 1 fixed 2 independent P unique drivers"
J00_J09_CHECKPOINTS,PHASE2A,S05,G4,07_VERIFICATION/PHASE2A/J<00_to_09>_*_CHECKPOINT.json,JSON_PATTERN,10,0,NOT_CREATED,"baseline plus each joint increment"
T005_A0,PHASE2A,S05,G5,07_VERIFICATION/B51R1_PHASE2A_T005_A0_RECEIPT.json,JSON,1,0,NOT_CREATED,"immutable carrier-only seed configurations"
T005_B0,PHASE2A,S05,G5,07_VERIFICATION/B51R1_PHASE2A_T005_B0_RECEIPT.json,JSON,1,0,NOT_CREATED,"same document continuous drive and q0 return"
T005_C0,PHASE2A,S06,G5,07_VERIFICATION/B51R1_PHASE2A_T005_C0_RECEIPT.json,JSON,1,0,NOT_CREATED,"save close fresh-process persistence"
G4_NATIVE_CHAIN_GATE,PHASE2A,S05,G4,07_VERIFICATION/B51R1_PHASE2A_G4_NATIVE_JOINT_CHAIN_GATE.json,JSON,1,0,NOT_CREATED,"J00 through J09 plus branch continuity"
G5_CARRIER_T005_GATE,PHASE2A,S06,G5,07_VERIFICATION/B51R1_PHASE2A_G5_CARRIER_ONLY_T005_GATE.json,JSON,1,0,NOT_CREATED,"A0 B0 C0 independently pass"
B601_NATIVE_ARTICULATED,PHASE2B,TBD,G6,03_CAD/20_B601_NATIVE_ARTICULATED/B51R1_B601_NATIVE_ARTICULATED.SLDASM,SLDASM,1,0,NOT_CREATED,"fine geometry rigidly attached by link; URDF authority preserved"
FORMAL_T005_A_B_C,PHASE2B,TBD,G6,06_T005/B51R1_T005_<A_B_C>_RECEIPT.json,JSON_PATTERN,3,0,NOT_CREATED,"formal fine-geometry T005 all pass"
ADAPTER_TRADE_DECISION,PHASE2C,TBD,G7,03_CAD/30_INTERFACE_ADAPTER/B51R1_INTERFACE_TRADE_DECISION_SIGNED.json,JSON,1,0,NOT_CREATED,"human evidence-backed A B C downselect"
RESTRAINT_DOF_CONTRACT,PHASE2C,TBD,G7,03_CAD/40_STOWAGE_RESTRAINT/B51R1_RESTRAINT_DOF_ALLOCATION_FINAL.yaml,YAML,1,0,NOT_CREATED,"6-DOF contact Jacobian preload tolerance and state"
H10_LEDGER,PHASE2C,TBD,G7,05_H10/B51R1_H10_DISPOSITION_FINAL.csv,CSV,1,0,NOT_CREATED,"28/28 complete zero unacceptable zero unresolved"
TOP_INTEGRATION_ASSEMBLY,PHASE2D,TBD,G8,03_CAD/90_TOP_INTEGRATION/B51R1_SPACE_EMBODIED_ROBOT_INTEGRATION.SLDASM,SLDASM,1,0,NOT_CREATED,"exact state names native configs and failure branches"
CONTINUOUS_CLEARANCE_G8A,PHASE2D,TBD,G8A,07_VERIFICATION/B51R1_CONTINUOUS_CLEARANCE_RIGID_NOMINAL_GATE.json,JSON,1,0,NOT_CREATED,"rigid nominal CL-01 through CL-08"
CONTINUOUS_CLEARANCE_G8B,PHASE2E,TBD,G8B,07_VERIFICATION/B51R1_CONTINUOUS_CLEARANCE_ROBUST_POST_STRUCTURAL_GATE.json,JSON,1,0,NOT_CREATED,"reclosed with structural thermal tolerance harness and backlash envelopes"
STRUCTURAL_EVIDENCE,PHASE2E,TBD,G9,07_VERIFICATION/B51R1_STRUCTURAL_UNIT_LOAD_MODAL_CANDIDATE_GATE.json,JSON,1,0,NOT_CREATED,"load contract reactions convergence and applicability limits"
MASS_INERTIA_THREE_BOOK_GATE,PHASE2E,TBD,G9,07_VERIFICATION/B51R1_MASS_INERTIA_THREE_BOOK_RECONCILIATION_GATE.json,JSON,1,0,NOT_CREATED,"URDF CAD spacecraft and additive overlay no duplicate count"
MECH_CONTROL_HANDOFF,PHASE2E,TBD,G10,04_CONFIGURATION/B51R1_<MECH_CONTROL_8_FILES>,FILE_PATTERN,8,0,NOT_CREATED,"initially DRAFT_NOT_RELEASED"
SAFE_SENSOR_COLLISION_GATE,PHASE2E,TBD,G10,07_VERIFICATION/B51R1_SAFE_SENSOR_COLLISION_CONTRACT_GATE.json,JSON,1,0,NOT_CREATED,"typed SAFE sensor timing contact and fault injection"
ENGINEERING_DRAWING_RELEASE,PHASE2E,TBD,G10,09_DELIVERY/DRAWINGS/B51R1_<17_DRAWING_RELEASE_ITEMS>,DRAWING_PATTERN,17,0,NOT_CREATED,"configuration-bound views BOM GD&T sources and blank-view audit"
