finding_id,agent,discipline,attacked_claim,attack_method,evidence,severity,gate_impact,required_correction,closure_evidence,current_status,disposition_scope
MRT-A5-012,A5,Mass_Maturity,"URDF authority lock implies measured physical maturity","Read accepted URDF header and ledger labels","Physical weighing is pending medium confidence and gripper mode scope is ambiguous",HIGH,G9_G10,"Separate authority validation maturity uncertainty and configuration scope","Measured or approved supplier mass COM inertia correlation",DEFERRED_HOLD,G9_G10_BLOCKING
MRT-A5-013,A5,Mass_Inertia,"Three-book policy alone prevents inertia errors","Audit tensor transformation requirements","Displaced inertial origins and products of inertia require rotation and parallel-axis reconciliation",HIGH,G9_G10,"Freeze tensor convention transform equations checks and state configurations","Independent STOW DEPLOY SERVICE mass COM inertia recomputation",DEFERRED_HOLD,G9_G10_BLOCKING
MRT-CM-014,A0_A6,Configuration,"Files named CURRENT contain current prerequisites","Compare timestamps and nested statuses","July-30 H10/T005 records still say Single-CS NOT_RUN while Aug-01 Gate is PASS",HIGH,G1A_G5_G7,"Regenerate scoped records or reference a central current Gate without embedded stale snapshots","Hash-bound status composition has no contradictions",OPEN_G1A,G1A_BLOCKING
RBT-A2-001,A2,URDF_Dependencies,"Accepted URDF is a closed visual/collision simulator asset","Resolve all mesh URIs across workspace","Ten unique meshes_b601_gripper STL files are referenced twice each and none exists",HIGH,G6_G10,"Admit exact mesh files or an approved equivalent mapping with hashes","Consumer-specific import tests and collision/visual manifest",DEFERRED_HOLD,G6_G10_BLOCKING
RBT-A2-002,A2_A3,Gripper_Mode,"Two independent P joints have an unambiguous dynamics mode","Compare URDF header comment with XML joints","Header says gripper P locked for dynamics v1 while XML exposes two movable 0..0.0715 m joints",CRITICAL,G4_G10,"Ratify mode contract lock values state dimension and applicability","Versioned fixed/movable mode tests and model manifests",DEFERRED_HOLD,G4_G10_BLOCKING
RBT-A2-003,A2,Parser_Compatibility,"Fixed joint imports consistently in all target tools","Inspect fixed joint axis and parser assumptions","gripper_joint is fixed but carries zero axis vector",HIGH,G4_G10,"Create parser compatibility matrix and smoke imports while treating axis as ignored only where specified","SolidWorks MuJoCo Isaac/URDF parser receipts",DEFERRED_HOLD,G4_G10_BLOCKING
RBT-A2-004,A2,Feature_Ownership,"Expanded feature ownership is unambiguous","Compare frame mapping and input-locked carrier register","Frame token direction is counterintuitive and axis ownership initially conflicted; current candidate follows child/incoming carrier register",CRITICAL,G1A_G3,"Human-freeze frame/axis/plane ownership and register hash","Signed naming YAML plus 10-row expanded register with no conflicts",OPEN_G1A,G1A_BLOCKING
RBT-A3-005,A3,Free_Floating_Dynamics,"FREE_FLOATING_VALIDATION label defines a usable model","Audit generalized state and conservation/saturation oracles","No explicit bus model momentum invariant wheel/thruster saturation or fixed/free equivalence oracle exists",HIGH,G10,"Define floating-base state equations bus properties actuators and validation oracles","Cross-tool conserved-momentum and bounded-actuation evidence",DEFERRED_HOLD,G10_BLOCKING
RBT-A2-006,A2,Joint6_Periodicity,"J6 limit and persistence checks cannot hide branch flips","Compare [-3.14 3.14] URDF range with 0..6.28 native candidate","Near-2pi representation can pass shortest-angle tests after a branch flip",CRITICAL,G4_G5,"Use unwrapped bounded joint coordinate and explicit branch index across continuous drive save and reopen","Branch-continuity traces including limit neighborhoods",DEFERRED_HOLD,G4_G5_BLOCKING
RBT-A8-007,A8,Grasp_Frames,"A static grasp-center frame covers all 2P/contact states","Audit frame dependence on finger state object and contact","CS_GRASP_CENTER is q/contact/object dependent while OPEN/HALF/CLOSED labels lack physical calibration",HIGH,G6_G10,"Define parameterized grasp/contact frame schema and keep q0 as MIN_NUMERIC","State-dependent frame tests with object/contact authority",DEFERRED_HOLD,G6_G10_BLOCKING
RBT-A8-008,A8,Safety_Contract,"SAFE-00 prose is an enforceable safety interface","Audit types freshness UNKNOWN interlocks and fault handling","No machine-readable typed SAFE contract or fault-injection closure exists",CRITICAL,G10,"Define schema timestamp/frame validity UNKNOWN behavior interlocks and command bounds","Contract tests and injected stale/missing/conflicting input evidence",DEFERRED_HOLD,G10_BLOCKING
RBT-A3-009,A3,Mass_Dynamics_Overlay,"Future sensors brackets harness adapter and tools are reconciled with frozen arm inertia","Audit additive body and uncertainty path","Three-book policy separates ledgers but no versioned derived dynamics overlay is defined",HIGH,G9_G10,"Define additive-body/inertia overlay with uncertainty and no silent URDF overwrite","Versioned overlay and independent mass-property reconciliation",DEFERRED_HOLD,G9_G10_BLOCKING
RBT-A0-010,A0_A2,Admission_Enforcement,"New framework rules are enforced by the original execution entrypoint","Compare V1 authorization activation fields with G1A workset","V1 omits G1A receipt V2 lock red-team disposition and lockfile checks",CRITICAL,G1B,"Require G1B S01 admission V2 with authorized_session_ids exactly [S01] and one launch","Machine admission audit binds all hashes and exact human statement",OPEN_G1B,G1B_BLOCKING
FW-G1A-004,A0_A2_A6,Finding_Disposition,"Every Critical/High finding must close before zero-body S01","Test gate scope against intentionally downstream unknowns","A blanket zero-open rule would either overblock S01 or encourage false closure of G6/G8/G10 issues",HIGH,G1A,"Separate G1A-blocking closure from A0/A6-approved named downstream DEFERRED_HOLD","Disposition register has blocks_gate defer_to_gate and closure_kind for every finding",MITIGATED_PENDING_A0_A6,G1A_FRAMEWORK_BLOCKING
A3A8-G8-003,A3_A8,Sensor_Collision_Contact,"Sensor and collision contracts are complete enough for embodied operation","Audit optical/time/wrench/contact and uncertainty fields","No camera optical convention timing uncertainty F/T wrench frame allowed-contact matrix or margin inflation rule",HIGH,G8_G10,"Create typed sensor collision contact and swept-volume schemas bound to simulator versions","Round-trip calibration timing allowed-contact continuous-collision and sensitivity tests",DEFERRED_HOLD,G8_G10_BLOCKING
A3A8-G8-004,A3_A8,Release_FSM,"Release FSM prevents motion before confirmed release","Inspect command/confirmed states and fault branches","Sequence lacks HDRM_RELEASE_CONFIRMED and guards for stale sensing tracking force collision communication and base attitude faults",HIGH,G8_G10,"Separate command from confirmed state and add typed guards timeouts UNKNOWN and interlocks","Model checking and fault injection prove unconfirmed release blocks all arm motion",DEFERRED_HOLD,G8_G10_BLOCKING
