item_no,component_name,part_number,revision,quantity,material,native_path,native_sha256,configuration,source_class,provisional_mass_g,release_scope,status,holds
17,ARM_HDRM_RELEASE_SWEEP_ENVELOPE,SEI-V5-ARM_HDRM_RELEASE_SWEEP_ENVELOPE,V5-A,1,NON_PHYSICAL_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/hdrm/ARM_HDRM_RELEASE_SWEEP_ENVELOPE.SLDPRT,AC90D4FB3FAA6888198255922D0128E4C7B8702467FD3DA266B9A433BCEFAE42,DEFAULT,ENVELOPE_OR_PENDING,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
18,ARM_HDRM_60MM_MOUNT_ENVELOPE,SEI-V5-ARM_HDRM_60MM_MOUNT_ENVELOPE,V5-A,1,NON_PHYSICAL_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/hdrm/ARM_HDRM_60MM_MOUNT_ENVELOPE.SLDPRT,ED08F4BD92F41CD42A92C6D3F497C0570A1B842DA8A79F74ED03AF223A3A95D6,DEFAULT,ENVELOPE_OR_PENDING,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
19,SERVICE_CAMERA_ENVELOPE,SEI-V5-SERVICE_CAMERA_ENVELOPE,V5-A,1,NON_PHYSICAL_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/camera_harness/SERVICE_CAMERA_ENVELOPE.SLDPRT,2C9BFCC330A4EEEAE8F7FF062F090E580D393494007F9BE68BC5BC09523E613C,DEFAULT,ENVELOPE_OR_PENDING,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
20,B601_OD9_STATIC_HARNESS_ENVELOPE,SEI-V5-B601_OD9_STATIC_HARNESS_ENVELOPE,V5-A,1,NON_PHYSICAL_ENVELOPE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/camera_harness/B601_OD9_STATIC_HARNESS_ENVELOPE.SLDPRT,3E08F338C6BC7380C8D34CD8BEE748312EDC1A8687DDB2C735176A912A2CE301,DEFAULT,ENVELOPE_OR_PENDING,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1_NATIVE_IMPORT_PASS,NATIVE_MASS_MEASUREMENT_PENDING
100,B601_BASE_ADAPTER_REV_B2,SEI-V5-B601_BASE_ADAPTER_REV_B2,V5-A,1,ASSEMBLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/B601_BASE_ADAPTER_REV_B2.SLDASM,ED30FB19A040D7D4D389DE1A12DB29C6C2C740B2839104C03642868180158A66,DEFAULT,NATIVE_ASSEMBLY,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1A_COLD_REOPEN_PASS,TOP_CONTEXT_VALIDATION_PENDING
101,G07_PRIMARY_SUPPORT_V2,SEI-V5-G07_PRIMARY_SUPPORT_V2,V5-A,1,ASSEMBLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/G07_PRIMARY_SUPPORT_V2.SLDASM,7DC90F293DE9D63AD5939DBEDC019D11CA257A73188D3D704BB7CAA9E20747AB,DEFAULT,NATIVE_ASSEMBLY,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1A_COLD_REOPEN_PASS,TOP_CONTEXT_VALIDATION_PENDING
102,G08_PRIMARY_SUPPORT_V2,SEI-V5-G08_PRIMARY_SUPPORT_V2,V5-A,1,ASSEMBLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/G08_PRIMARY_SUPPORT_V2.SLDASM,346EC541A1E92C15AD6B8B06B16608BD361E494F0B7DB240DE3526273583A2C5,DEFAULT,NATIVE_ASSEMBLY,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1A_COLD_REOPEN_PASS,TOP_CONTEXT_VALIDATION_PENDING
103,MID_BACKUP_SUPPORT_V2,SEI-V5-MID_BACKUP_SUPPORT_V2,V5-A,1,ASSEMBLY,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/02_native_subassemblies/MID_BACKUP_SUPPORT_V2.SLDASM,11E70D9F5C523FAFAB726A4DEF6D021729261DA25E0A878B46CA8EA7D70EBD81,DEFAULT,NATIVE_ASSEMBLY,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1A_COLD_REOPEN_PASS,TOP_CONTEXT_VALIDATION_PENDING
104,B601_DIAMOND_DOWEL_4MM,SEI-V5-B601-DIAMOND-DOWEL-4MM,V5-A,1,HARDENED_STAINLESS_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/adapter/B601_DIAMOND_DOWEL_4MM.SLDPRT,6C18D56ED6B09E0042649AF338793BE60E0AC9D80B57F3BB4B2E94960AAA2F45,DEFAULT,NATIVE_PART,,COMPETITION_PROTOTYPE_MANUFACTURING_CANDIDATE,LOOP1A_DIAMOND_LOCATOR_PASS,PRESS_SLIP_PAIR_TBD
200,LEFT_HARNESS_SERVICE_LOOP_V22_ISOLATED,SEI-V5-LEFT_HARNESS_SERVICE_LOOP_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HARNESS_SERVICE_LOOP_V22_ISOLATED.SLDPRT,E652A34F87F12C920EF2CE90CBD7E58CBD7E8C082A4A9356E9AE9E6177321758,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
201,LEFT_PANEL_SIDE_U_LUG_NATIVE,SEI-V5-LEFT_PANEL_SIDE_U_LUG_NATIVE,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_PANEL_SIDE_U_LUG_NATIVE.SLDPRT,5E8BDB76637B7F394560A95A938C3FF363DDAE88950E93266CFE66837ABCD749,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
202,LEFT_WING_PANEL_PHYSICAL,SEI-V5-LEFT_WING_PANEL_PHYSICAL,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_WING_PANEL_PHYSICAL.SLDPRT,9EE77018D3F2DB0369545529739902C7129F72441BFEB5369AF0938C9A53CCC4,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
203,LEFT_HINGE_PIN_V22_ISOLATED,SEI-V5-LEFT_HINGE_PIN_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HINGE_PIN_V22_ISOLATED.SLDPRT,97F6BE610F93605B098590A0C0CD157BE3C14A620B58976AA8A74FF00368733F,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
204,LEFT_HINGE_AXIAL_RETAINER_NATIVE,SEI-V5-LEFT_HINGE_AXIAL_RETAINER_NATIVE,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HINGE_AXIAL_RETAINER_NATIVE.SLDPRT,501BA210A1200E641922D696E27DC9E09A86320D454A0C214A0B57E941BF153A,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
205,LEFT_TORSION_SPRING_1_V22_ISOLATED,SEI-V5-LEFT_TORSION_SPRING_1_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_TORSION_SPRING_1_V22_ISOLATED.SLDPRT,EA364E7FBDFBA43635FCBF9F47D1E9DAC3DE9F6DED2F269FB0DE2F18790EDFE3,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
206,LEFT_TORSION_SPRING_2_V22_ISOLATED,SEI-V5-LEFT_TORSION_SPRING_2_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_TORSION_SPRING_2_V22_ISOLATED.SLDPRT,3722582CED07A70FAE34798274B6897510033B9867EBD3E99F5FECC70B0B4E33,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
207,LEFT_HARD_STOP_V22_ISOLATED,SEI-V5-LEFT_HARD_STOP_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/LEFT_HARD_STOP_V22_ISOLATED.SLDPRT,AEA6D3374539658894BABFA0F18E7507FD2F6D552A543DC29417CD31B232786C,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
208,RIGHT_HARNESS_SERVICE_LOOP_V22_ISOLATED,SEI-V5-RIGHT_HARNESS_SERVICE_LOOP_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HARNESS_SERVICE_LOOP_V22_ISOLATED.SLDPRT,5884494BB30D49A515625D7D1F82980F8245341580DB13024EBC92B52F019D16,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
209,RIGHT_PANEL_SIDE_U_LUG_NATIVE,SEI-V5-RIGHT_PANEL_SIDE_U_LUG_NATIVE,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_PANEL_SIDE_U_LUG_NATIVE.SLDPRT,A5A86890E07990706D106170B99DA0E68A31103EA73BF7161497669BCA4C557B,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
210,RIGHT_WING_PANEL_PHYSICAL,SEI-V5-RIGHT_WING_PANEL_PHYSICAL,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_WING_PANEL_PHYSICAL.SLDPRT,6351231408F69C1D10DDACE75B64DAFF08E8B7DE4291CB8F57F27DF0507A6E77,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
211,RIGHT_HINGE_PIN_V22_ISOLATED,SEI-V5-RIGHT_HINGE_PIN_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HINGE_PIN_V22_ISOLATED.SLDPRT,82E009F39F2320F53BC8651F7F4282898B0D2ABB4F62C8144A1EAC27B1014AC6,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
212,RIGHT_HINGE_AXIAL_RETAINER_NATIVE,SEI-V5-RIGHT_HINGE_AXIAL_RETAINER_NATIVE,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_HINGE_AXIAL_RETAINER_NATIVE.SLDPRT,94A9BB7CE3BD14B38E9664B824B2E970D930DA0145072F0A4FA4F7AF097442EC,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
213,RIGHT_TORSION_SPRING_1_V22_ISOLATED,SEI-V5-RIGHT_TORSION_SPRING_1_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_TORSION_SPRING_1_V22_ISOLATED.SLDPRT,82F2E9EBD193D7EA39C6D48ED7D2E3818AA37B1C8D6CFFA94BE68BAA8BA2679C,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
214,RIGHT_TORSION_SPRING_2_V22_ISOLATED,SEI-V5-RIGHT_TORSION_SPRING_2_V22_ISOLATED,V5-A,1,DONOR_OR_CANDIDATE,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/01_native_parts/wing_root/loop1b/RIGHT_TORSION_SPRING_2_V22_ISOLATED.SLDPRT,24DEFC92428657C0EC695C4FCA7A6DD49949FD1009C572B5CCFC4BF1214B6066,DEFAULT,NATIVE_DONOR_ISOLATED,,COMPETITION_PROTOTYPE_GEOMETRY_CANDIDATE,LOOP1B_ARTIFACT_CHECKPOINT_PASS,TRUE_HINGE_ASSEMBLY_PENDING
