id,source_method,module_solid,structure_solid,legacy_aabb_overlap_mm3,b51_proposed_class,design_action,exact_common_volume_mm3,minimum_distance_mm,local_screenshot,replacement_part,closure_status
V14-11,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_NU,STRUCT_FRAME_FRONT_NY,2474.8,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-12,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_NU,STRUCT_FRAME_FRONT_PZ,1017.3,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-13,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_NU,STRUCT_LONGERON_NY_PZ,3154.1,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-14,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_ND,STRUCT_FRAME_FRONT_NZ,1017.3,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-15,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_ND,STRUCT_FRAME_FRONT_NY,2474.8,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-16,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,ADP_LOAD_BRIDGE_ND,STRUCT_LONGERON_NY_NZ_CASSETTE_POCKET_REVISED,3154.1,INTENDED_BOLTED_LAP,Replace undefined overlap with a discrete interface shoe and flush mating datum; hole/fastener selection remains TBD.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-17,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_MAIN_CROSSBEAM,STRUCT_FRAME_MID1_PZ,11778.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-18,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_MAIN_CROSSBEAM,STRUCT_LONGERON_NY_PZ,5625.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-19,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_MAIN_CROSSBEAM,STRUCT_LONGERON_PY_PZ,5625.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-20,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_MAIN_CROSSBEAM,STRUCT_DECK_MID1_WITH_D30_PASSAGE,8833.5,UNACCEPTABLE_COLLISION,Reroute the independent saddle load path to the main frame or longeron and preserve deck/panel clearance.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-21,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_MAIN_CROSSBEAM,FIDELITY_PANEL_TOP_FWD,21130.0,UNACCEPTABLE_COLLISION,Reroute the independent saddle load path to the main frame or longeron and preserve deck/panel clearance.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-22,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_NY_CASSETTE_POCKET_REVISED,1350.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-23,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_PZ,28267.2,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-24,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_FRAME_MID2_PY_CASSETTE_POCKET_REVISED,1350.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-25,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_LONGERON_NY_PZ,6750.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-26,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_LONGERON_PY_PZ,6750.0,INTENDED_BOLTED_LAP,Replace the legacy crossbeam overlap with a named frame/longeron interface shoe and verify exact BREP contact.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-27,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,STRUCT_DECK_MID2_WITH_D30_PASSAGE,23556.0,UNACCEPTABLE_COLLISION,Reroute the independent saddle load path to the main frame or longeron and preserve deck/panel clearance.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
V14-28,LEGACY_AABB_COARSE_OVER_1000_MM3_NOT_EXACT_BREP,SUP_GRIP_CROSSBEAM,FIDELITY_PANEL_TOP_AFT,25356.0,UNACCEPTABLE_COLLISION,Reroute the independent saddle load path to the main frame or longeron and preserve deck/panel clearance.,,,,,OPEN_REDESIGN_AND_EXACT_BREP_RECHECK_REQUIRED
